sha,message,date,result
0f33ecb0016a8f527a718b98b80c1a294481efba,Initial commit,2014-08-11 15:10:27+02:00,False
c2999db9690bcca956f9b73636e17e75a15a238f,Initial import.,2014-08-11 17:38:54+02:00,False
957634b2c22d8eb8e996069e63ba292d45693690,README fix,2014-08-12 10:23:58+02:00,True
c802d3371472a6e212f6d392692628576afbfc68,README fix,2014-08-12 10:26:19+02:00,False
2a2e890bc5a997b1bdb9d26c25a0a30f96329383,Various fixes and implementation changes. Hello example passes.,2014-08-12 12:10:34+02:00,True
c6c91fb186083b06c949f1f07470f1da761e19fd,README update,2014-08-13 15:59:24+02:00,True
33bdec45a67f653ae7b8b01de5e1f4a50ac2c140,Fixing README.,2014-08-13 16:02:22+02:00,True
a30992560867aeef6cd3b53095dc27237198fa18,Syntax in README,2014-08-13 16:03:13+02:00,True
ebee25d4fa886ba84ef2dd085fbc9c43a323a4b6,Fixing README,2014-08-13 16:07:09+02:00,True
2c3beb63488f006198ede59391eb1dfb67b5a3e7,Fixing README,2014-08-13 16:08:49+02:00,True
1147a2ae07a6c965ca4a57bf4a912a4fe2a3dfcc,Small change in example and readme.,2014-08-14 11:10:49+02:00,True
45fab1e421af4839ec2003d3cb509d1f394f9b16,Update README,2014-08-14 19:01:57+02:00,True
d2d14c2c37ccb68403c93d6db2c5e4ec5bde12f3,Small change in hello example,2014-08-14 19:10:41+02:00,True
08b225bd4c54c5c47b8ed67a622ef4684877c959,Updated README,2014-08-15 15:53:29+02:00,True
b851fb5e0ff1cb0e9ec1561c30be0893376f4887,A small update in README,2014-08-15 15:56:28+02:00,True
ec1ffb3c2d6f07461c1d9ba30bab26d5bf56e5cb,Link to arpeggio.,2014-08-16 18:41:11+02:00,False
4cbf6471ccb44b75c3fc30c048c8f12819f04c08,Installation section in README,2014-08-17 00:42:26+02:00,True
021fa47bcd22801b990dedb2735b40c612783808,Small addition to README,2014-08-17 00:46:08+02:00,True
9dbed25515bcb4ff5d9d2a6b4e2f0873888a2602,Addition to README,2014-08-17 00:52:58+02:00,True
0d74b69fbbeba8d73216c3635be5da25ae204662,Change in README,2014-08-17 00:56:44+02:00,True
0377696175de2f4374ec3408a911c62bba00d5b8,Switch to rst for README,2014-08-17 01:42:34+02:00,True
7a9d4a5fd883a9ff5b3743945f84dfad4f934c77,README -> markdown,2019-05-25 15:37:31+02:00,True
878753c2e7378adf1f87d4bcd6863c515a8919c5,refs #307 GitHub Actions,2021-06-19 13:28:28+02:00,False
159c97351ff7a17e84344fe3266a1c8be13ad1e8,Drop support for deprecated Python versions,2021-06-19 13:34:48+02:00,True
99875002da08a24d42cdd8fe709bd7077925f116,Add info about discussions to README.md,2021-10-18 14:13:05+02:00,False
