sha,message,date,result
f52d16723c78502110dde4b9662676707174aa94,Initial commit,2016-10-25 00:06:06+02:00,False
c24a84d32baafae7bbd16d11ce62181dc5529df6,"fixed mavenization, refactoring of API",2016-11-01 16:24:08+01:00,True
2a615c407ad9fd547eae901c96504f0a581a6e70,Small fixes to readme,2016-11-02 16:59:53+01:00,False
c8f8b19f6ff8a786da9f89548a80ac1a6b1845a0,"Upgrade to 1.1.1 (#7)

New snapshot file, updated milestone, upgraded to 1.1.1",2016-11-27 00:37:31+01:00,False
a0a14030a5a9f567e7a29028161f9086a46729b9,Update README.md,2016-11-29 21:58:12+01:00,False
d9e7d84e854157d4ea8665ae38c6f9192784b791,Testnet readme,2016-11-29 23:49:49+01:00,True
154be61d42cd1786f39714a4e53713c096827e32,Updated milestone,2016-11-30 17:54:24+01:00,False
7d70aebe8720c062de160aa6508e9b160a081264,added flags specifications to Readme,2016-12-02 23:16:18+01:00,False
d69f9ed4715e37730bc79786370159ad4c80c432,updated Readme,2016-12-02 23:26:10+01:00,False
cabeed54834fe2fce740434a7d5fba678817722f,Fixed conflict,2016-12-07 00:59:37+04:00,False
b427f791eeb931e4595487d2019197dbfb9bf4db,Small fix to readme,2016-12-07 01:00:58+04:00,True
3ec1b6b53060793398471648ed44d57fa122c18e,Add Travis badge to README,2016-12-10 15:34:10+01:00,False
1e4909a366a4fd05da77f0f13c18a34738baccc4,updated Readme,2016-12-12 13:20:01+01:00,False
702d85730b5a6ce0881e990d1bffde39cbeeb9af,1.1.2.1,2016-12-12 19:38:54+01:00,False
a83d3e2b86147360958f0f9d219d00baade953a7,Updated README,2016-12-14 12:08:24+01:00,False
66e2f8ff2a1ea69ed59bdadb2e57bfe299db5ae4,Updated README,2016-12-14 12:12:16+01:00,False
dc8fced95eff0b3c2d2645af47850ccf47f941a7,Updated README,2016-12-15 11:51:32+01:00,False
577f2ad2db561a4044cbf9a81beae15da599d2ab,Version 1.1.2.3,2016-12-23 13:41:09+01:00,False
632a20f32cc590b447b43b28d4aeb5e5fc72bf23,"1.1.2.4 (#36)

* Enabling (--remote) access.

* Updating PearlDiver

* UTF8 logo. Support for Repeater.

* Fixed regression on attachToTangle

* API statement log counter

* fixed debug parameter bill

* Version 1.1.2.3

* Threading issues in PearlDiver.java (#35)

* Thread safety and thread coordination

* Update PearlDiver.java

Indentation with spaces instead of tabs

* Obviated the bitIndex loop

* Updated milestone counter and snapshot (#45)

* added a new flag (--remote-limit-api) to restrict remote api access

* fixed responsechannel handling

* added pd unit test to dev

* Update pom.xml

1.1.2.3 -> 1.1.2.4

* Update README.md

* Update IRI.java",2017-01-17 10:57:10+01:00,False
56c4d673a650be6ebfa8fcc16fcd14b1b192e07a,"New version number for ""Latest Milestone Tracker"" bugfix.",2017-01-20 15:36:03+01:00,False
c2bd2fcc4808aff743857afdf1676b0694258b7d,Testing pull request #53: Filter out tips below depth on transactionsToApprove by paulhandy,2017-01-20 22:59:24+01:00,False
94fc00cc5194c61a9011680b31452dce8af01380,Changes to TipsManager.java by CfB,2017-01-26 11:53:02+01:00,False
9956d79ff83c22b967f148d528a3cb7c39e6ae0a,see changelog.txt version 1.1.2.4-4 testnet,2017-01-27 14:13:52+01:00,False
312ad29542baee7719e402de85c681405bd4539c,version update,2017-01-28 11:44:18+01:00,False
ca033f107734f2d4bfbd115d937408aed8690646,Update version number,2017-01-29 20:59:48+01:00,False
58ae3409b0eb697a8828d442657b02b083b95bca,Cash depth info. Limit transaction validation to depth+1.,2017-01-31 10:41:24+01:00,False
8aa7ac3ec6567b42122b1120e2af66aaa92ca9d2,"Reduced Logging, Simplified PearlDiver Thread Synchronization",2017-02-03 08:24:49+01:00,False
78741d9d0c74f890e0fccf657c7113fd58c7e90d,Handle temporary not solid condition,2017-02-03 10:48:15+01:00,False
a68fe98a7330a512898f517cc0de9c449e0f15d6,Merge with dev branch. Fixes in tip selector.,2017-02-07 11:21:49+01:00,False
f1e7a4c571b8d6d4cabab17e9d9a44e9b4cca0ff,Version number 1.1.2.7,2017-02-08 16:06:06+01:00,False
52ce0b0ddcf124590cf6329daa7711e21cafecd1,Update version numbers,2017-02-10 21:25:29+01:00,False
dffcaa018190145fb8afd2ad20f0e1af83df9357,Added timestamp filter,2017-02-12 18:02:23+01:00,False
2152a31374b81239695d584dbe57cb291671191f,Updated version number to 1.1.2.10,2017-02-14 10:32:24+01:00,False
6f24a5b78e37228c7b8193bda3bcea8fee61b89e,Upgrade to version number 1.1.3.2,2017-03-13 17:04:52+01:00,False
0f476430299482e3d8e6ea1098174cbf12d83e8c,Testnet Release 1.1.3.3,2017-03-30 08:06:35-06:00,False
e07c1899fd2355d6fcc48adb8c1bc091c98e8c66,updated tags to 1.1.3.4,2017-03-30 15:28:11-06:00,False
91e8dc62be6a53fa1539eeb0346c58776012eb91,Incremented tag,2017-04-01 12:19:22-06:00,False
d541fdafecea71d0fbac1ecf0caf8be83beef4fa,v1.1.3.6 for Persistent Milestone Snapshot,2017-04-11 23:14:08-06:00,False
ec2e8897a30270d92fba8c31d16b99be46d845a8,Version number 1.1.3.7 / Some adjustements of README.md,2017-05-10 18:27:54+02:00,True
49fd46bd9953a92045a35abcca4ccd725bec3c2a,Updated readme,2017-05-10 20:58:28+02:00,True
64fadbed80c5e54276bf473aa24fd8476a869da0,Quick changes,2017-05-10 21:02:46+02:00,True
7434ad25187ae31df0d8d9f5b15081bf767c4d7c,Example INI file.,2017-05-10 21:04:01+02:00,True
894ced1c8e1126e2859450e80832f6e26f57a851,Bumped version # to 1.1.3.8,2017-05-12 10:50:40+02:00,False
61b4e83a6b45b90b023ce2b57c19e66abde960e8,Bumped version to 1.1.3.9,2017-05-16 11:20:33+02:00,False
6a48f362a2ecc0891fd6124829cb9b92679493bd,Updated flags,2017-05-17 15:50:29-07:00,True
