sha,message,date,result
9fd040262e90d67aa92da9bca590545f2519a667,Added README,2016-02-21 09:32:09-08:00,True
27a165d6801b63604dbaf5d4cde0d375dc548121,Minor formatting improvements,2016-02-21 09:32:59-08:00,True
9a50fcca45bbad7f2263ad287e6ee1fde24eb498,Update README.md,2017-01-03 10:35:50+02:00,False
17d63641943f0c420fe16ca1a5afc090df01ad08,"detail on dev

Signed-off-by: olivier lamy <olamy@apache.org>",2017-04-28 11:11:13+10:00,False
0ae43799e6957694e0ea53b178626fbee37cef6d,"get rid of spdy

Signed-off-by: olivier lamy <olamy@apache.org>",2017-05-04 10:24:02+10:00,False
2f1476b2dd77a2eacd96423eea2a8fda7d2ab5bd,"README: Update documentation to reflect Winstone 4 state

The previous documentation is just incorrect for the new release: we use Jetty 9.4 && do not support SPDY anymore",2017-06-08 09:37:34+02:00,False
67e49ebd823e7d70e898e338aa0a415c089efff5,"improve readme with details on new http2 configuration option

Signed-off-by: olivier lamy <olamy@apache.org>",2017-07-20 10:54:10+10:00,False
93a5ce1f2091e6a88997a87e8f7b42649cbaab8e,Update README.md,2017-07-23 21:55:59+02:00,False
0ec8c5a75d5520cc5510c9f1c162e25abbd2f335,Add link to alpn vs jdk version,2017-07-24 21:01:23+10:00,False
95694412413b82d39189baaa9ce020bf809c429f,"Update README.md

fix link",2017-07-24 21:06:27+10:00,False
3b185766bdb4709de1e8bb42374e585adca4398b,grhh fix typo,2017-07-24 21:07:05+10:00,False
2d37e5da4cfbaf72f25925184411bdf32e5dfe7e,README.md: fix typos,2017-07-27 10:39:50+02:00,False
6bbc6fd23ae4de73d0ad1b6b0faab8f22a91f7a5,correct spelling mistake,2017-09-01 09:51:20+01:00,False
5ac4a32947be1977649b879babfa1ee91abe0866,trivial README edit: delegated *to* Jetty,2017-11-02 13:23:43-05:00,False
15941f8e757eb8e0614b30ac5326724a7820dca0,[JENKINS-49596] - noting and documenting 4.1.1,2018-02-22 12:00:28+01:00,False
a18027d72ab9e38652e25920caead985dac24e39,[JENKINS-49596] - Increase the default session eviction timeout to 30min,2018-02-23 13:15:14+01:00,False
69078734ee918d1fd0b3fea61a1af0775d8136db,typo,2018-04-26 22:27:34-04:00,False
52c42a9578727385486e48f2768d37094c278088,"update README as well

Signed-off-by: olivier lamy <olamy@apache.org>",2018-04-30 20:50:02+10:00,False
889a3cacd0bfcb851a90254a15f872eb41dd7065,"[JENKINS-52358] fix broken http/2 support (#53)

* [JENKINS-52358] fix broken http/2 support
add an extra lib directory option to be able to add alpn processor

Signed-off-by: olivier lamy <olamy@apache.org>

* update help and readme with new option

Signed-off-by: olivier lamy <olamy@apache.org>",2018-08-23 08:13:48+02:00,False
74775cc02ef92feaf247e45a32b193e45800805a,"[JENKINS-53239] Use default Jetty QueuedThreadPool (#54)

* [JENKINS-53239] Use default Jetty QueuedThreadPool and get rid of BoundedExecutorService

Signed-off-by: olivier lamy <olamy@apache.org>

* cleanup

Signed-off-by: olivier lamy <olamy@apache.org>

* changes after review

Signed-off-by: olivier lamy <olamy@apache.org>",2018-08-29 22:24:02+02:00,False
