sha,message,date,result
cdc3bc35ecdddd9b66d34b0bb10c0659f7efc8fe,Adding initial readme file,2012-04-15 20:14:47-07:00,False
7b6fa9e4093c9b7a923859781e2d5ac201359c0d,First real version of the README; still WIP,2013-01-21 21:36:17-08:00,True
ee919417af610d93bd60425a751bda4cb6dd542c,Managing memory from the C interface better,2013-01-22 19:40:05-08:00,False
440a2c17f20ea4f467fa3b09ee33a197013e0191,Updating docs and the example ycm_clang_options.py,2013-01-22 21:05:32-08:00,False
19637caddae6d14d8a21f1b096c34317a6e910af,Renaming ycm_clang_options to ycm_extra_conf,2013-01-24 09:59:21-08:00,False
a2343cad4c3960903090956feeecbe7f67b51f40,Added an entry to the FAQ,2013-01-24 18:07:46-08:00,False
96bee8a025bd65bde55c7c2981219289a0fcc0ca,"Docs now instruct to build ycm_core, not all",2013-01-24 19:17:39-08:00,True
8ce2aa8ab7ed4e1cb2db2135a87de47950593074,Adding a new entry to the FAQ,2013-01-25 14:49:23-08:00,False
421e15f1e1f1a7bbde5ec5eb0d1135162e5fa09a,Readme rewording,2013-01-25 14:50:45-08:00,False
396309a5b6dfd96598f054a0190fecf47a30505a,Adding a note to step 5 of the install guide,2013-01-26 16:44:58-08:00,True
05f57e16d11907fc64b689713010676f0fad753b,Stronger install guide wording and warning,2013-01-26 16:47:59-08:00,True
1f923b55d7d1c2e34b40412e2d6a44dc31a101bd,New entry to the FAQ,2013-01-26 16:52:37-08:00,False
873528d472a1f131b2db0379aced925c4ee523a8,Extra items to the README user guide TODO,2013-01-26 17:38:11-08:00,False
a36f449baaacd1569aae74eabc7a60227af0f74e,FAQ question rewording,2013-01-26 17:47:05-08:00,False
60860d82f38bfc8a70556ebd2151c3b9f4ef60ff,Adding shift-tab for prev completion too,2013-01-26 17:58:34-08:00,False
9b3e009ed191a3867ede33da0f117439b5f3186c,Mappings can now be easily remapped,2013-01-26 18:45:27-08:00,False
68f0bcb1c1f718df508301b420ec8e3d35c26761,Adding :YcmDebugInfo to the readme FAQ,2013-01-28 10:03:32-08:00,False
5c7adfdec7a632ded4fd032389a3427e607ecc89,YCM gif screencast for readme file,2013-01-29 23:46:10-08:00,False
79f834f97ea05bf01a13b3bd4cf502de9f07e9ee,Now possible to specify a global ycm_extra_conf,2013-01-30 13:23:57-08:00,False
8452914046963c47bf61aa0b5866f260a68749e1,Adding a command to force recompilation and diags,2013-01-30 14:46:58-08:00,False
33e0431abcddbd2e11c40f83442e5505c4c8c924,Extra FAQ item about Syntastic,2013-01-30 14:48:41-08:00,False
ede69a710a3e853eef21aa4360629165df6f5b13,Explanation for the YCM gif demo,2013-01-31 11:05:49-08:00,False
e5e8a38f8de4c67529d894bff7f4e26b54581fd4,Typo fixes in the readme,2013-01-31 11:09:08-08:00,False
d9032eaa68207da3ab87c2c77422b5ad89c67724,Pointing out the red X in the demo,2013-01-31 11:12:00-08:00,False
8f6ebce42cbb5d72218b2dff68b168aa16fb05d6,Documenting the show-full-diag-message command,2013-01-31 12:32:07-08:00,False
1779cbbb55030a18e9f9920d98321198583c7532,Typo fix,2013-01-31 14:14:06-08:00,False
7c573528ed5c5cefc4a4856f5c4d1816d9b524f6,"New YcmDiags command that shows diagnostics

Docs updated to mention it. Syntastic is still a better option than calling this
command.",2013-01-31 19:21:11-08:00,False
69363626fff4ff62e30bb7a375155f2dccc85c6f,Correct Ubuntu CMake install command typo,2013-02-01 15:34:13-08:00,True
3ea7f442d0e56fae3f70e3354766de58b925804f,New entry to FAQ in README,2013-02-01 16:06:48-08:00,False
77d631d9792bf23f03cb9f2198896c30db91a276,Mappings in README now show up correctly; fixes #5,2013-02-02 10:41:31-08:00,False
6e3205ee345ccf0245cea03bb39ffbcfe9ca1dd9,Linking to wiki page on building Vim,2013-02-02 13:29:27-08:00,True
36ad7e484c23ed0c3b787a070118d5a09c0ba668,New FAQ items,2013-02-02 13:29:38-08:00,False
bd108573307509f0e98e75fc983eb4f260bb3e29,Adding command descriptions to README,2013-02-02 13:38:04-08:00,False
aa233a7a42a20b43d42b081c1410ae4841ddcfb8,Adding a link to the issue tracker,2013-02-02 13:43:13-08:00,False
02659826ae339e8848ff8e7ef833391ac75b19b5,Yet another FAQ item,2013-02-02 22:28:11-08:00,True
29b01e6a218afc22ee21ecc6946b87826286e89b,Yet another FAQ item,2013-02-02 22:32:44-08:00,False
b4a9fabc3961063a51eb8cae461a6cba554da450,Telling Mac users that MacVim has a console Vim,2013-02-02 22:36:15-08:00,True
0bfe578a35fab1b94e62813333f1ffed00984dbf,Clarifying a FAQ item,2013-02-04 09:48:55-08:00,False
f97d00250dfd4409671e59a93f3de6adac6a3c2b,Fix typo in install code.,2013-02-04 23:10:44-08:00,False
b7eded14172d47d7eb505ca48fe50ccdf6a4e259,More makedir -> mkdir,2013-02-04 23:12:34-08:00,False
64d8735fab7ff5b652514dab4baa0f190bd6dec9,Update README to clarify steps for commandline vim users on OS X.,2013-02-05 19:18:42+11:00,True
2a03c254d40aa7315a7ef632363257fdaf55ac14,Typofix :has('python') -> :echo has('python'),2013-02-05 23:45:55+01:00,True
3feefce1975977d95b32e904c83c04c02b5954ce,"Docs for Homebrew Python/MacVim

This can't really be fixed on YCM's side since it's a system configuration
issue, but we can at least warn the user and provide him with information on how
to resolve this.

Fixes #18 (not really, but it's the best we can do).",2013-02-06 10:21:01-08:00,True
7cf179e2b8e65a3dd98c73d827cbc77049960b0e,"Some default mappings can be set to empty strings

This allows the user to not have a mapping. Also, showing a detailed diagnostic
is now possible through a new command.

Fixes #64.",2013-02-06 18:34:08-08:00,False
d396fe193c38af1caa7f3efa4665dcca38ade435,"Extra item in FAQ

This one's about conflicting versions of Python detected.",2013-02-07 09:55:41-08:00,False
a61036eede726dc6e4747c1b5103d9b457faee66,Formatting fixes for readme,2013-02-07 09:57:22-08:00,False
a5048f6aa6a6e1071d8ccf1b48450c25a1a82f61,Typo fix,2013-02-07 09:58:16-08:00,False
54560abbad283f8713abf1926ace9b97ea706eae,"Note about python headers to install guide

Fixes issue #73",2013-02-07 16:56:58-08:00,True
6e6271ddf214aec5cd8b13f81415a1867d764e0d,"FAQ entry about the ""nosy"" completions",2013-02-07 18:06:12-08:00,False
2897d56d958b2deba99694e211efe310830320a7,Update the README mentioning install.sh,2013-02-07 19:29:59-08:00,True
561dc26b86e53cfc66df4082daaa1d99757b1281,New FAQ item about not using vim-autoclose,2013-02-07 21:06:16-08:00,False
4b5cbdbc9d61c8fb8f823a43cade182c383235c2,"Multiple mappings possible for selection cycling

This change also makes the arrow keys behave like Tab and Shift-Tab.

Fixes issue #83.",2013-02-08 18:30:28-08:00,False
66ff461aa8c2a577ca2cbc372145951f2564dd33,Fixing typo in readme,2013-02-10 14:24:04-08:00,False
dbad91e75873af9bd76440158c92427b1e4c86f8,"The docs now reflect the new omni-completer

... and the new, fleshed-out Completer API.

YCM now provides semantic completions for every language that Vim has
omnicomplete support for, which is _a lot of them_.",2013-02-12 20:31:46-08:00,False
dcae48adf9e72ac2dacb03a57e708d499b00bbb0,"Changing the wording of the warning to recompile

Since YCM now checks for the version of the ycm_core library, the user will
always know when he needs to recompile.",2013-02-12 20:58:00-08:00,True
48881f14de20d7605592dad066e750c1284e2810,Doc note for Mac users about having latest Xcode,2013-02-14 09:50:44-08:00,True
86881d01dd10b51ce4de544bec2faec4abf0a5e4,Improve default semantic triggers,2013-02-15 04:27:58+01:00,False
3f1b5c9283b3ef26164e0c1487a38b7c6e268bd7,"Option to complete inside comments and strings.

Fixes issue #105.",2013-02-16 12:56:21-08:00,False
e743076e14a30b6041c7088c90254dfb7c9bef49,"Option to collect identifiers n comments/strings

Fixes #98.",2013-02-16 14:00:46-08:00,False
40504177c39a31ed52170253fa6696c13c8f28bd,Docs rewording; have other lang semantic support,2013-02-16 14:26:24-08:00,False
3d1a86c382b23394f654edbf35f2b36b8c9bb023,"Let local YCM config file override global config file

Currently, when VIM opens a source file, YCM always defaults to
'g:global_ycm_extra_conf_file' if it exists.

This commit changes YCM's behaviour so that it first tries to find the config
file in the source file's folder (or any of its parents folder), before
falling back to 'g:global_ycm_extra_conf_file'.",2013-02-17 19:06:48+01:00,False
9501c649aa8e499e70531fde93535c6430575bdf,New FAQ entry; segfaults on some linux distros,2013-02-17 19:08:30-08:00,False
97c7b5b0822a79e2c57e6839d953bd0935693ff9,"Let local YCM config file override global config file

Currently, when VIM opens a source file, YCM always defaults to
'g:global_ycm_extra_conf_file' if it exists.

This commit changes YCM's behaviour so that it first tries to find the config
file in the source file's folder (or any of its parents folder), before
falling back to 'g:global_ycm_extra_conf_file'.",2013-02-17 19:12:39-08:00,False
69997ef20a196bed56ac74642d5412ce5cad6001,New FAQ entry; segfaults on some linux distros,2013-02-17 19:12:40-08:00,False
a4affacdd77b86d417cf2e868259cc7fbebed3b2,Fix README typo for g:ycm_semantic_triggers value,2013-02-20 14:06:03+00:00,False
78b5ef93cf33ec4ebc76f000c9c972817e03504b,Ubuntu install docs now mention build-essential,2013-02-23 11:44:58-08:00,True
78dd01804df26e2e5fa9a22ce2d33bf6d54b724a,"Docs linking to Windows installation wiki page

That wiki page along with the last several commits that make YCM compiled
cleanly with MSVC should make it possible to use YCM on Windows. Fixes #62.",2013-02-23 16:50:21-08:00,True
05f707344bcf82beac30183f4425d42ac5d1ea95,Updating docs with semantic trigger changes,2013-02-25 11:21:25-08:00,False
bae3665602c73132cdaff7c2b1181cf607519482,Adding semantic triggers for Go,2013-02-25 19:09:58-08:00,False
e9cce297615f1632ce890146bfaa7cac0f27848f,"Ask before loading .ycm_extra_conf.py files

To prevent the execution of malicious code the new default is
to ask the user before a `.ycm_extra_conf.py` file is loaded.
This can be disabled using the option `g:ycm_confirm_extra_conf`.

This commit introduces a helper class `FlagsModules` that keeps track of
and caches the currently loaded modules. To introduce further criteria
for a module look at `FlagsModules.ShouldLoad`.

Also `:YcmDebugInfo` now lists the file that was used to determine
the current set of flags.

`Flags.ModuleForFile` could be used in a user-facing command that
opens the `.ycm_extra_conf.py` corresponding to the current file.
A second command could then force a reloding of this module via
`Flags.ReloadModule`.",2013-02-26 11:16:26+01:00,False
263b405ab44e8c62298be40ce0706772560c59ba,Very minor post-pull style-related changes.,2013-02-26 18:28:58-08:00,False
3d305f9c74522160e4002f6241f5e8ad2ed5274e,"Implement completer-specific commands

This provides a framework for completer-writers to create
completer-specific commands. I have in mind to use this for the clang
completer to force reloading of a flags module via `:YcmCompleter reload`.",2013-02-28 11:32:07+01:00,False
1d566bad808f6162454afdebf8d6d9823ff486e6,Implement white-/blacklisting,2013-02-28 18:15:09+01:00,False
67bf88b7263674adf44f5d5fc14236733c3dd422,Minor rewording in the README,2013-02-28 09:57:56-08:00,False
a6e83bfe76f0d38611a19b1792c59f3263bddd3a,"Smart-case sensitive filtering

Fixes #120",2013-03-01 22:18:43-08:00,False
c46b9c6b31cf4f790cea00e2b7cdff12eba522dc,Removing outdated sentence from the README,2013-03-08 22:44:23-08:00,False
005175d3f3e2f7b975260e5411f634406bc80a15,"Filetype whitelist option added.

Also renaming the filetype blacklist option for the sake of symmetry.
Fixes #178.",2013-03-09 20:32:31-08:00,False
6d6f53fdfe27ef332c1248185ccb3a9d29623a0f,New FAQ entry for screen flicker on cursor move,2013-03-14 18:33:35-07:00,False
a2595d6f7ef706f5661701703e08dc7614a81113,"Option to close preview after leaving insert mode

Added the `g:ycm_autoclose_preview_window_after_insertion` option
(similar to `g:ycm_autoclose_preview_window_after_completion`).
If set, the preview window is automatically closed when the user leaves
insert mode.",2013-03-15 20:40:48+01:00,False
4f12febb44111dcb558afa2df85897145a3e6509,"Clarifying that ycm_extra_conf needs to be changed

Also tweaked YCM's extra conf file so that the flags variable that needs to be
changed is closer to the top of the file.",2013-03-20 18:31:49-07:00,False
b00287a6a2e7bae0472f2d374f25e655b74377a9,FAQ entry for Vim segfault in Ruby files,2013-03-22 10:37:48-07:00,False
b0c7c8e680f5a37d72987ccf1cb970d16b01b0a1,"Note about configuring eclim with YCM in README

Fixes #103.",2013-03-23 11:57:19-07:00,False
3e10152cbd60948e50a763b32fa2b81b1260d324,"Note about <C-U> being effectively broken.

Related to issue #24.",2013-03-23 16:42:00-07:00,False
26d81c3c5fee54c585984a736d7262801b9db9e0,"Note about <C-U> being effectively broken.

Related to issue #24.",2013-03-24 14:13:14-07:00,False
bdc93974aff3e2f7602050ccd6be6d687ad3af6e,Updated docs noting the new Jedi engine for Python,2013-03-24 15:38:45-07:00,False
bc4e7fb8507982d014ecf825ce3c523fe007b043,"Option to disable YCM-Syntastic integration

Fixes #210.",2013-03-25 19:48:07-07:00,False
99a699cb030a6a54cf09f16646700358f2f425ba,Docs now state there's no need to install Jedi,2013-03-29 09:52:07-07:00,False
1f094e50d03ea2655ac8adc8e37e43461cac3466,"GoToDefinition/Declaration commands for C-family

These are accessible through the :YcmCompleter command. The docs have more
information.",2013-03-31 20:38:29-07:00,True
cd7f5355fcc9c960534fe0b71379cd56c1f7e74e,More docs on the new go-to-definition/declaration,2013-03-31 20:42:29-07:00,False
90ab0d07a0dec981680bbbdd60360fe411770011,Replace YcmCommand with YcmCompleter in README.md,2013-04-01 09:55:37-03:00,False
ac1dc85fd66e77d0c0f93d0675c20877a3e7f5e9,Note about the jumplist mappings in docs,2013-04-01 09:58:20-07:00,False
74705cc0e00b30bf12d5c48bf9fed06d3fe9f353,Github now serves page from github.io; update docs,2013-04-05 18:02:00-07:00,False
1b4eb6122c98aef7a8578cda5a968cba6d8c7754,Make caching optional in the omnicompleter,2013-04-11 10:22:16+01:00,False
882c6b5d18da50ad20bd3b8e02f13ceda20efaca,Note about syntastic var for loclist population,2013-04-12 11:08:04-07:00,False
7ca11d41f0e213565fc31820c8d70b7534909c7f,Small clarification for docs intro,2013-04-14 22:12:05-07:00,False
589f157aa63b5c041897d56b517107bad9ac7f8b,"Docs now explain how to turn off ident-completion

Fixes #53",2013-04-14 22:27:27-07:00,False
02bcc1fe51ee741856b6c9d98eed21e5d8856d19,Minor docs formatting change,2013-04-14 22:36:35-07:00,False
3b52482d568b64eefcee6390b6c459cc5a19748e,Updating var default in docs from code,2013-04-14 22:40:08-07:00,False
12c1583ecf81fa2e2749e3152c1aeb8bd7015d29,Proper em-dash use in docs,2013-04-14 22:42:32-07:00,False
604b79a5a2fc93ceeb3f6e17c0e3da9f3076bc69,Travis CI build status image in README,2013-04-18 23:42:03-07:00,False
6d0c736d04e0b4f8179c5f3e810b8f549ac056a2,"Making sure that <C-Space> works in console Vim

Fixes #256.",2013-04-19 18:33:48-07:00,False
e0d39f9bc3f755fe82f9adc0162293b442c08f91,FAQ entry about too old system glibc,2013-04-22 13:43:07-07:00,False
18427a14a95aed2286f0eeae7601db5ba328347a,Version string in FAQ question now less specific,2013-04-22 13:44:43-07:00,False
8d20637295ede470afa4bb01fc4663fc994c11ef,User can now pick the root for relative paths,2013-04-22 22:30:10-07:00,False
7d38fdd258ba0e638d421a932bf2c252a4ba88c5,"Removing some out-of-date instructions from README

Fixes #266",2013-04-23 11:15:24-07:00,True
a7203d97c8aacf5e9da8872ff2b269e8af75bb41,Small README clarification,2013-04-23 11:17:45-07:00,True
f4615c00c07545205a9a601dfb44815ab8079cd2,"Separate options for completion in string/comment

We want to turn on completion in strings by default, but not for completion in
comments.",2013-04-24 23:15:13-07:00,False
7cef111e01d05f21202098e48d2dde41b15e7ee2,Updated vimdoc from readme,2013-04-30 10:18:15-07:00,False
bec04aaa047e24763ca5e6f3804976bf451f8492,Updating docs to mention Python GoTo* support,2013-05-05 09:49:37-07:00,False
d4ca726fac446fccfbbc564717f03ef98592b4e7,Minor README typo fix,2013-05-11 14:15:34-07:00,False
8fe6b87e459487c52251484579b454d76cb0be97,"More detailed Eclim configuration instructions

Knowing those two things (that you need to run latest Eclipse Juno) and you need to create a new project from vim would have saved me a lot of time when trying to make it all work.

I think it's worth adding this information to the README.",2013-05-15 13:15:42+03:00,False
d8f3272dd499c543943ee4b9b14315103bb0136e,"Including `:` in the command names in docs

This will ensure the correct tag is used when we process readme to create the
vimdoc help file. See #330.",2013-05-20 18:18:00-07:00,False
38faa0e94e1ce68ee55beae883554bb8f45e247c,"Adding the ClearCompilationFlagCache subcommand

With this command the user can clean the in-memory cache of the compilation
flags that the clang completer uses.",2013-05-24 14:48:46-07:00,False
48bc4e224f6d48185dc3e963e82caf99c86d7f69,Small README doc rewording,2013-05-24 14:59:42-07:00,False
80624205f13cf15c454aee51dc595ecaede78f2b,fix 404 in README link,2013-05-26 00:49:49+04:00,False
454a961318e2aef4b3c6dcbff9a9451b9df1f541,"The identifier completer now reads tags files

See the docs for details. Fixes #135.",2013-05-26 13:33:40-07:00,False
973064d0bde8121ab8b538f5b60fea7a69d2649e,"Can now seed identifier database with keywords

By toggling the g:ycm_seed_identifiers_with_syntax option, the user can now tell
YCM to seed the identifier database with the language's keywords.

This is off by default because it can be noisy. Since the identifier completer
collects identifiers from buffers as the user visits them, the keywords that the
user cares about will already be in the database, regardless of the state of the
new option. So the only keywords added will be the ones the user is not using.

Meh. But people want it so there.

Fixes #142.",2013-05-27 00:08:21-07:00,False
80dd5c2317e377c5a2aa63ba38ef49b37e413132,Listing the ctags options YCM needs,2013-05-27 13:51:10-07:00,False
8ecbc6e836233d9be7668f8ed8fdd5a3a6d1c818,Fix a couple of minor typos in readme,2013-05-28 12:21:43-06:00,False
989967506c083298f084be65b9209ce5e628f54a,"Tags file reading is now off by default

As the updated docs now say, this is off by default because it makes Vim slow if
your tags are on a network location.",2013-05-28 13:46:18-07:00,False
273170d70f9485f179a2cff5ba6537ca949a482a,New FAQ entry about RHEL/Centos compilation errors,2013-06-09 11:12:51-07:00,False
ee3ede504054d10076d64f1d3e4b42ed039942e5,"Adding `::` as a semantic trigger for Ruby

Fixes #367.",2013-06-09 11:21:41-07:00,False
011af9620d8200ab582616d766ebc63b6afcdc0a,Updating a FAQ item on Syntastic,2013-06-10 18:20:52-07:00,False
972b0a92cbc9a56dd5deac2c7f2b57094374e3ff,Updating docs to state clang 3.3 is preferred.,2013-06-19 22:01:34-07:00,True
04ca6ec4de076a3480996a351be3e0ccd47a7dfa,"g:ycm_semantic_triggers now only adds new triggers

Fixes #164.",2013-06-29 11:53:16-07:00,False
6df01471d81c86a99a50a901e999d8b32acf63bd,"FAQ item for UltiSnips key conflict

Related to #381",2013-06-29 13:02:11-07:00,False
54969849313f2eb5fe49ec9c45a4141e8a9497d9,"Option to set min length for suggestions

Only works with the identifier completer. Fixes #387.",2013-06-29 15:43:10-07:00,False
ac5b5bfdbe2cafff4da054327ff67672e6f7def9,Typo fix in docs,2013-07-08 10:31:17-07:00,False
398d06ab80ea11e065c64d46037e9333226c26e9,"Update README.md

Small tweaks to the README to make extended installation steps more obvious. It's not perfect yet, but it's a start.",2013-07-10 15:45:19-04:00,True
affe3e8d312753ba3ec8f7d476a49c0190a55fb5,Docs now mention the new ycm-users mailing list,2013-07-13 11:39:28-07:00,False
61a294a33baba6ba4926a862db22ed38eaa63f96,"Update README.md

Added small description for the C# completer",2013-07-16 17:42:46+02:00,False
1f25d5ae33805a96ff985581879468b95229e68f,Updating README with more info on new C# completer,2013-07-17 19:36:25-07:00,True
294a3f3338bb8953257d0dad346535b39adf74d7,Updating docs with new defaults for blacklist,2013-07-27 13:09:34-07:00,False
a267192b506828cf876233e1d0b1fc02e7ea5595,More doc info for `g:ycm_confirm_extra_conf`,2013-08-02 16:12:48-07:00,False
f2b14557adc1ed644dd4cdf5953589a746286b76,Added missing docs for C# semantic completer,2013-08-12 17:00:05-07:00,False
f58a3e126d4c8ba64f93ee5a89e992a04cd4e31b,Added new flag (g:ycm_auto_stop_csharp_server) to docs.,2013-08-12 21:58:08-03:00,False
16d1365d127c51b9039b986370be203536b1e1ae,"Better smart-case query-candidate matching

Previously, ""Foo"" would match ""Foo"" but not ""FOO"". Now it matches both. Bottom
line, an uppercase char matches only uppercase chars but lowercase chars can
match either. We used to insist that lowercase chars in the query match
lowercase chars in the candidate strings IF the query also had uppercase
letters; this was dumb and a poor user experience.

Fixes #501.",2013-08-12 19:49:43-07:00,False
5f9021e3e62bc270e3658832c82ef98429cbec46,Typo fix in docs,2013-08-12 19:54:26-07:00,False
cd6491290f5c95b929defd0381b193e5188b3550,flake fix and readme update,2013-08-16 11:11:32+02:00,False
cbb43ba4a597472f33528061e21b167b1089fad3,Adding repo analytics,2013-10-07 11:01:01-07:00,False
d35832da619ffcdc1ecd56476dc2d6f10bbc4e0e,"Updating README with ycmd info

Lots of things changed on the ycmd branch!",2013-10-24 12:31:38-07:00,True
d6b2331d416464a56b9e086e71289221309f9aef,Mentioning submodule init in full install guide,2013-10-24 15:58:45-07:00,True
4c88ea5249f4b980181579a2ab428168fdf8ef27,Adding submodule rationale to docs,2013-10-24 16:00:00-07:00,True
6e782508b36645052d99f82d3eb66920a498c157,"Now possible to sent Vim data to FlagsForFile func

Fixes #612.",2013-10-26 16:22:43-07:00,False
b04684b8ee78e989508812d61781e9921da4e5f1,Clarifying docs for FlagsForFile client_data,2013-10-27 10:19:22-07:00,False
b288dce5ba7c44ad45bd6c2900b148bd9bd07519,Minor docs rewording,2013-10-27 10:22:08-07:00,False
e14ffadbd25298edf1dd642d947cd35d2150b398,Suicide timer docs now state 0 turns off timer,2013-10-29 10:51:27-07:00,False
0a05ba8c212c6c1e84b6286bf4b2020db7042bcd,Updating README with ft blacklist updates,2013-10-29 19:20:16-07:00,False
2ce227fc15725b5ce796cb147f439b569fc4e616,add FAQ for internal compiler error #267,2013-11-09 18:06:11+00:00,False
8ee2ad76a88373a50038e38f41c17a8fa0686dfa,remove link from ICE FAQ,2013-11-09 18:57:56+00:00,False
450403044bdcaf5a79b7f9c85a8392faaa968921,"Adding new g:ycm_path_to_python_interpreter option

Fixes #663",2013-11-14 10:50:53-08:00,False
64078f20a0976f1d6aa064ccd51bf50ea26dd8ea,"Added the g:ycm_use_ultisnips_completer option

This can be used to turn off UltiSnips completion candidates.

Fixes #596.",2013-11-15 16:22:20-08:00,False
44d5747d235e8ef27094920e3337bd4284bb6ff9,"Add possibility to disable identifier completion engine

Setting negative value of 'g:ycm_min_num_of_chars_for_completion'
disables identifier completion.",2013-11-17 23:05:49+01:00,False
eb74ed614543a816ef41177838e0ff9b1c2d207e,Clarified the new -1 setting for min chars,2013-11-17 14:37:35-08:00,False
06b5411fb3e113547008c6479a7f268ad373bd72,"Revert ""Add possibility to disable identifier completion engine""

This reverts commit 44d5747d235e8ef27094920e3337bd4284bb6ff9.

Conflicts:
	README.md",2013-11-17 14:44:43-08:00,False
3a1ef4eddbd3ba3ebe38ecc2ca64ec968603ef28,Note in FAQ about C++ standard headers not found,2013-11-18 20:23:39-08:00,False
8d42f72517cb5343c8ec8d8b038a13940269113e,Linking to issue 303 from docs.,2013-11-18 20:26:20-08:00,False
cf6211055e96e085f0bed6976cca946deab76da1,"Removing the server_idle_suicide_seconds option

This option existed so that the user can tweak it if they found the default idle
timeout too short, for instance if they leave their machine on over the weekend.

This use case is now covered by the new YcmdKeepalive system that pings ycmd
every 10 minutes as long as Vim is running. This prevents ycmd shutting down if
one leaves their Vim instance alone for a long time.

Thus the old option is useless now; ycmd now shuts down after 3 hours of
inactivity, which should only ever happen when its corresponding Vim instance
has shut down abnormally.",2013-11-20 12:33:57-08:00,False
aeb2c5c227632bc5a8d8ffe9acf1623ad51f1f85,"Adding the g:ycm_auto_trigger option

Toggling this option off turns off the identifier completer and the semantic
triggers.

Fixes #597",2013-12-02 16:37:59-08:00,False
1e99f517bb1d7d6a2899276b8ad03adb255265e2,"New entry to FAQ about Vim crash

Happens sometimes when users tab through the completion menu. Related to #593.",2013-12-10 10:52:50-08:00,False
a3918788c0e3560196bddedbdb50f5e79076e0a5,FAQ item about dropped Syntastic support,2014-01-06 15:24:05-08:00,False
eca30e356d8f9d129b96bc2145c599d1e5cd607b,Minor README rewording,2014-01-06 15:24:06-08:00,False
5f9a5bdcfba3ba2253f1f08059a098b0813c4d25,Typo fix,2014-01-06 15:24:06-08:00,False
4a9b7cb63e00cec02b2c7d752ba4cc9b44d49fe5,"More doc updates since Syntastic support removed

Not done yet, still a way to go.",2014-01-06 23:05:01-08:00,False
5efd920815ad64bff6c0f77a899098e1bd8fc0e6,Renaming and documenting the new options.,2014-01-08 19:43:21-08:00,False
34f654e3a429c38b9d0dc6e4983bf5b0229a375f,More doc updates for diagnostics UI,2014-01-08 20:03:42-08:00,False
63cc559f1a809715a265b2f88523c93626f3109c,Minor doc rewording,2014-01-08 20:04:43-08:00,False
5216fee8a1e1458df95e70e342515b5738c46d60,Typo fix,2014-01-09 10:59:44-08:00,False
f8f20b8eeaae3267bc8249af214b765d65876ca8,Typo fix,2014-01-09 13:21:11-08:00,False
365f67f82c0974e84673c61bb45deb84f7ab0873,Docs now mention line highlight depends on signs,2014-01-09 14:11:15-08:00,False
2ebea627d939498fca3e4048ad367432a80f0b86,Docs now mention libclang 3.4 is recommended,2014-01-11 12:21:03-08:00,True
