sha,message,date,result
1b10524ac6b25b025fe3f65257d25850f5ff6026,"Add README.md file

Currently, only have the command lines of the commands there. Add some
text later (hopefully).",2018-03-05 21:33:37+01:00,False
cf7307419926c2ba52c41b88513935cf66db814c,"Add dependencies to README

Tell the world what it needs to run this tool.",2018-03-05 22:31:14+01:00,True
0ca22385eee2b46dcaa1f45628e2e58ef02de0eb,"Run apt-get Travis command with sudo

This should fix the permission denied error...",2018-03-05 22:37:25+01:00,False
a0d5aec1789ae16478945d0a3984ef7cb75cd8b3,"Do not run pip3 as sudo

pip3 correctly downloads and installs packages, but installs them in the
wrong directory. This should work now.",2018-03-05 22:56:38+01:00,False
efea63cbfee2b3f9ca782b8078816898bc319991,"Pretty up README file

Auto-generate README from the help texts within the command line to
always have consistency there. Also wrap the command descriptions to
look properly formatted.",2018-03-06 21:32:05+01:00,True
74416592023470e545ecc289ba237e2b6f13679b,"Graph example

Include image of Graphviz vizualisation.",2018-03-06 21:42:04+01:00,True
a87a9c403bd2135e2156f59af69da81a121afe72,"More documentation

More doc is better than less doc.",2018-03-06 21:50:13+01:00,True
1ba6c6c283daf0b29582d12a7be3ccd2bb824185,"Allow buildchain command to output on stdout

Instead of requiring an output file, make stdout the default and
optionally allow writing to the given file name.",2018-03-20 19:29:05+01:00,True
25f706a61baaeedd93c83a1be587ccfa2e1337b2,"Refactoring of OIDs and start of forging facility

Refactored OID databases spread across multiple modules into the OIDDB
module and started implementation of the ""forgecert"" facility (not yet
exposed on the command line, work in progress).",2018-03-22 16:36:39+01:00,True
c862761299947b9d23a87a60bea04e5d50a75fcf,"Add given certificates to trustpool by default

By default, add all certificates to the trustpool when a PEM is given
in ""builchain"" mode. This makes creating a certificate hierarchy easier
when piping the output of ""openssl s_client"" into ""buildchain"" because
the intermediates that the server delivered will automatically be
trusted.",2018-03-22 16:42:43+01:00,True
bd5a6e9eb66f928cad27ab2e5c53b6a42b6860d1,"Further work on X.509 forging

Forging facility further extended, but not working yet. Also, further
refactoring of code and cleanups/consolidation.",2018-03-22 20:05:09+01:00,False
d0f5059de666f15e596882247d5bcf4a26f417b7,"Make forgecert facility public

It's wonky and hairy, but it works somewhat. Release it.",2018-03-22 23:13:55+01:00,True
f0fe078134111982a1afd29dd1dbd37fd555b3aa,"Put new functionality into readme

Run upd_readme to get new recalc-keyid functionality into the README.",2018-03-23 21:11:40+01:00,True
b2e2c8ed82da76f1b3706c67b4781f4084c5d081,"Mention new pyasn1_modules requirement in README

README now mentions versions of pyasn1_modules that are a prerequisite.",2018-03-24 17:22:47+01:00,True
