sha,message,date,result
be1d2198cba2e22634e417c9b8c8105f271a5c4f,"(feat) initial commit: includes user registration and authentication, friendship ant team management, matchmaking initialized",2017-06-01 18:30:33+02:00,FALSE
ddb3375b4a4515d965e1f9996055e3f49129fdc0,(doc) short project description,2017-09-12 23:33:41+02:00,FALSE
823387e964ee706330d7c93b9ec78b36ce4a9ed0,(doc) cleanup,2017-10-03 14:50:23+02:00,FALSE
4f23b41072cdb81a336fd02ec7beff3556f8458b,"(doc) project information: profile, branches, license",2017-10-03 14:50:23+02:00,FALSE
233c4a02d14d3d7d67657bbaadcbb402a93443b9,(doc) Spring 5 branch (spring5) is now stable,2017-10-22 14:45:32+02:00,FALSE
eda516038e2b8847b7207617c4687a6b602c45f2,"(feat,lib,refac) Spring Boot 2 and JDK9 migration, code cleanup and refactoring",2018-01-15 00:16:44+01:00,FALSE
ad9f4d665a14945c929ba3b049d2acdbf67f5dbf,"(doc,refac) code and doc cleanup",2018-01-27 13:20:10+01:00,FALSE
382af562e91d098329a3f82546419428e8070483,(doc) explain branches status,2018-01-27 14:25:18+01:00,FALSE
bd1b16a2d696298d5408a0cd98ce59f0dcfefdb9,(feat) AppVeyor CI support,2018-01-27 15:07:43+01:00,FALSE
9014d28d3279edadabcd431b72939f3e145cc35c,"(feat,refac) Travis CI support, user version API, test Logback xml",2018-01-29 00:49:31+01:00,FALSE
5c1b195e27669179ab5e1f24529906c578b44a06,"(lib,refac,test) upgrade libs, code cleanup, reduce test contexts creation",2018-02-11 14:09:59+01:00,FALSE
67758837a85f3605318b8c9842d9992456465386,(doc) add build information to readme,2018-02-18 15:29:02+01:00,FALSE
37132803b9ea9c838b212a3ad84fd7f5d2725ba7,(doc) explain project goals,2018-02-20 21:30:24+01:00,FALSE
9f605683a60585a47f21b2f9878c7a2f8b4e7cce,(doc) note about Spring Actuator web endpoints,2018-03-05 20:03:32+01:00,FALSE
93a6e13210133d2fbd8ae84962c5bdfb468b962b,(feat) CodeCov support,2018-03-07 22:19:32+01:00,FALSE
04f991f47b71104e99ae4f2eaa09898a87701fa3,(doc) reference to swagger branch,2018-03-18 16:31:51+01:00,FALSE
44db3e091c561492bab8dc14c97a934378bca810,(doc) reference to redis branch,2018-03-18 22:29:58+01:00,FALSE
6ec9b11107f028a93093437840ba0e69559bab8c,(doc) reference to redis branch,2018-03-19 00:03:20+01:00,FALSE
9662682990f1a701e974d2e9bc85d3c0f5fa3aab,"(lib,refac,test) upgrade libs, switch to JDK8, huge refactoring, improve code coverage and quality",2018-04-07 17:31:37+02:00,FALSE
ffc6ef5b166c00b3c416d1105ee27f032207c098,(test) enable osx test on travis,2018-04-07 17:58:16+02:00,FALSE
a069f220aa19cca4ef694ebe1c439af2a15a7559,"(doc,test) improve do.cmd: tsc combines tc and sc",2018-04-08 16:17:31+02:00,FALSE
5f7c0c228fa190e651c005a4e99bf5b63c613dc1,(feat) do.cmd: package and run application with dev profile,2018-04-14 17:34:25+02:00,FALSE
ce8100f8a0b241faa667170453c049fd8d0149ef,(doc) spring5-redis branch: add a link to latest fix,2018-04-16 00:27:16+02:00,FALSE
3f84012b4239d34f569534e8c79f2511692c99c5,(feat) bash util script (similar to Windows do.cmd script),2018-05-01 14:16:02+02:00,FALSE
c389eb3f8ec6ecaef3fbc9559be8bf36e0eaaffa,"(doc,lib) branches status, upgrade libs",2018-05-08 13:36:41+02:00,FALSE
03b2e65ce78c96ed51c60d7b39c3248d59206d7d,(doc) link badges to branch,2018-05-10 18:22:09+02:00,FALSE
f1b3600755433b2891dc26a12202f67c3aa9a6d3,(doc) spring5-light branch documentation,2018-05-10 18:24:41+02:00,FALSE
3f48bb1a2a72643374a3da294f6d97911884b733,"(doc,lib) add banner, update branches desc, upgrade libs",2018-05-18 19:22:08+02:00,FALSE
c9942770c1ea1166d78fcbbecf55604d67f06bbf,"(doc,lib) upgrade Lombok, should fix jdk10 build and run",2018-05-29 19:03:54+02:00,FALSE
6d99e71b037c7bf1c6d8421f5233e2e20e003938,"(test) enable oracle jdk10 build on travis

Remove openjdk10 since it's not supported by travis yet.",2018-06-12 13:47:28+02:00,FALSE
58c6144fa4181553a036cf42765d0d573f21ba35,(doc) reflect latest changes about jdk usage,2018-07-30 14:43:45+02:00,FALSE
b4d5c1827d57c5e82a2e62e7fea5025c90a3db97,(doc) reflect latest changes about jdk usage,2018-07-31 11:28:14+02:00,FALSE
dd5130fa5f4bbfb51bc3a14f808280d1901768c9,(doc) fix link to codecov report,2018-08-13 18:45:41+02:00,FALSE
de7335b2be850ca6a7b683bdbe2b86adc990b594,(ops) build Docker image via Jib,2018-09-17 00:45:27+02:00,FALSE
f9ef9566a1b09670d2d55b714d75ba7c8665c1d8,"(doc) reorder branches, add a link to spring5-light-docker-jib commit",2018-09-17 00:52:25+02:00,FALSE
7ca57bd43c1f9c6f4130445a4f4a17fbd2bff823,(doc) add twitter badge,2018-09-27 00:53:28+02:00,FALSE
d8cab224c9ebce8f6c32361b2425465e58c4adca,(doc) add LGTM badges,2018-10-07 02:08:33+02:00,FALSE
54fd0e3919744400010a27a22734b5b74098c6ba,"(feat,test) enable Cirrus CI build",2018-10-07 02:32:23+02:00,FALSE
9238cd022a1ee9114d6712fb5fd60d298d1d2e59,(doc) add docker-compose and jdk11 support in project description,2018-10-13 18:57:56+02:00,FALSE
b055ae5f3a86c45a37d0ee794f721a79611e54d7,(doc) reformat,2018-10-13 22:03:57+02:00,FALSE
c41bd7d3d0e38a47d623abe37a2da20754fac0a9,(doc) update branches description to reflect reworked Swagger support,2018-10-14 17:11:14+02:00,FALSE
ecc8812decf713c714c30d0b9555fb992887a001,(doc) fix branches description,2018-10-14 17:27:34+02:00,FALSE
7bdc30efdbd8276bd7e42efaa7c18601b25113c8,(doc) cleanup,2018-10-14 18:40:22+02:00,FALSE
a435bade8f3f272f08e704b62aeec55409323507,(feat) do.sh can now clean up dangling Docker images,2018-10-17 00:29:00+02:00,FALSE
60650f1f1f894b78c300bc2dbb7a2d365e5e3817,(feat) do.sh can now stop application and remove its containers and images,2018-10-17 00:29:01+02:00,FALSE
026d9e7b0e3348bc83f8ab6198cc0bcc24e3a667,(doc) add a link to spring5-light-mongo4.0.x branch in README,2018-10-22 22:03:18+02:00,FALSE
c710bb67b52c26b2ce79ff447a549a4e235be634,(doc) remove deprecated build instructions from README,2018-10-23 00:27:27+02:00,FALSE
364956e6bf7faf80e7b06a22f386678f5983b6be,(doc) rework branch description and build instructions,2018-10-23 00:32:16+02:00,FALSE
fccf3870ce4f5693ce5af4fc91348bcc50aa952e,(doc) add a link to spring5-light-batch branch in README,2018-10-26 00:38:39+02:00,FALSE
0aa7de6165b92062fd5507c4770e90de05e2a94a,"(doc) use ""./do.sh"" instead of ""do"" for Linux, minor documentation fixes",2018-11-16 22:51:02+01:00,FALSE
11186e63ebe8522048c6e604cb51978654487941,"(refac) rename ""do.sh"" to ""do"" because "".sh"" part is useless",2018-11-19 20:07:45+01:00,FALSE
af441e2a0aaddc8ccd3ad19d5a13aec4bf0eb3ec,(doc) add link to spring5-light-hsqldb-to-h2 branch,2018-12-01 15:04:39+01:00,FALSE
3f012fe706b9625ffde6b9f79d76a20cf86f418e,(feat) enable ELK stack + Cerebro,2018-12-09 16:20:19+01:00,FALSE
3e33a98a9fe36807cf3019e1ea6b913df8b19e41,(doc) add link to spring5-light-elk branch,2018-12-09 16:29:46+01:00,FALSE
46e1a850a32aa87a3755c35b664f0383e4f273c6,(doc) add ELK to main branch description,2018-12-09 16:33:15+01:00,FALSE
4063a6cdbb9256b461f34e3565938363088160a8,(doc) removed twitter badge,2018-12-11 00:02:49+01:00,FALSE
16cfb0b8723e10d755ca462564c4c2eb22a96916,(doc) rework: explain why I use TestNG and REST Assured,2018-12-11 00:21:31+01:00,FALSE
ce5fc52af6e251782d62b62c8b974a36253fe647,"(doc) typo in readme: replace ""./do.sh"" by ""./do""",2018-12-11 00:33:58+01:00,FALSE
a8f74b4cceb0c83839d12bf15fe2aba3be102769,(doc) update commits list related to ELK stack,2018-12-12 22:05:11+01:00,FALSE
c8885d96e6296a002af82f3de7173b7227155caa,"(doc) clarification about Linux and Windows ""do"" script's capabilities",2018-12-23 20:02:00+01:00,FALSE
48ec51762bac19f35c2ad7ba595f55e4555bacc1,"(doc,pom,test) switch build from jdk8 to jdk11, target jre8 with jdk11",2018-12-26 15:25:40+01:00,FALSE
f32eae6ebedb02e5b9c12ab529da9e9bde1409d4,(doc) add spring5-light-jre8-with-jdk11 to branches list,2018-12-26 15:31:09+01:00,FALSE
cb3a6f6f9c69c85c4c311de954e24f3c7852170a,(doc) add link to maven-wrapper's git repo,2018-12-26 23:22:10+01:00,FALSE
231ce2d0d4da23f83f251153d641297e56f23942,(doc) add link to spring5-light-testng-to-junit5 branch,2018-12-30 16:23:25+01:00,FALSE
2452d4712e6dae80e762dea9391fcd885b884497,"(doc,feat) add FindBugs support",2019-01-01 00:35:14+01:00,FALSE
ba5ea50a0ff0ff4076021877c7fa9f70a2d20f0a,"(doc) add link to spring5-light-findbugs branch, typo",2019-01-01 00:39:58+01:00,FALSE
fba970a519770673dbe6c4016f4d1a0dca47e7a3,"(fix) cli should invoke spotbugs, not findbugs. Also, enable all spotbugs hints",2019-01-01 16:38:11+01:00,FALSE
1ec6b5d3457472403307ac2c9c69e9125a7a3e17,(doc) update spring5-light-testng-to-junit5 commit list,2019-01-01 23:47:17+01:00,FALSE
1d76d84c4e57643af849c353399122d0bbc4ee67,(doc) cleanup + clarify branches in readme,2019-01-04 00:48:40+01:00,FALSE
b59bedb7f7f87f1931a670289f3e58fd9ebff832,(doc) update spring5-light-testng-to-junit5 commit link after rebase,2019-01-04 17:24:16+01:00,FALSE
a21db57e53598b5fbc29731573073a5d557fedca,(doc) update spring5-light-testng-to-junit5 commit link after rebase,2019-01-04 19:15:22+01:00,FALSE
287dcc39a1415f67fc1b12db9cd809ffe179d994,(doc) update spring5-light-testng-to-junit5 description after rebase,2019-01-06 03:22:34+01:00,FALSE
6a92fe119bfbbfa339eb80fef521b7f195c2f74c,(doc) improve branches description,2019-01-06 15:22:00+01:00,FALSE
