sha,message,date,result
62025e1ed4f958c61d0197424fec140618644fa4,v1,2012-04-06 12:52:36-07:00,False
a9976d6c3f921ead937b3ecd3b3fa128e8110d51,link,2012-06-07 15:52:17+02:00,False
86013191fa58161eb1aa1028d2ee9cbd503fd270,MIT license,2013-03-22 16:56:32-07:00,False
993431e47a3d6ce978978d3537fda237213c63a6,readme,2013-04-15 21:16:21-07:00,True
5450a3109001c484dd9a63c303526a4d2cbfc889,Added documentation to README,2013-04-16 14:40:41-07:00,True
f7d645c90f52442acb688c71c29ec074ae47510e,Update README.md,2013-04-17 18:10:15-07:00,False
beeb1e25a3de1339557c00ad131980395bb15988,Update README.md,2013-04-19 17:04:50-07:00,False
baca7ef081034d726fab212ffa1ba8d10d05f908,renaming library in README,2013-04-23 15:35:18-07:00,True
d2f6ed05808be49a2b7ee6f4fa052f9c57aeaa73,updated async example,2013-05-29 20:51:38-07:00,False
ff3676aea199ab69d57d4c56a43dd7156b13d532,readme updated with version 1.1.0,2013-05-29 20:54:26-07:00,False
27dc2c1b9294d328d254087d641497f0377df19e,travis in readme,2013-05-29 21:43:59-07:00,False
0bcbdb93d536d97025ece47e4df4a3fc2bdb273f,better logo positioning,2013-05-29 21:46:48-07:00,True
fdd4d5e5412b3b9cc55c0d4034e943e7fe4a7e88,removing duplicate,2013-05-29 21:47:12-07:00,True
0d1831e1deb180ae10aae6838d89dc3aa1b85fc4,version bump,2013-06-14 11:28:15-07:00,True
5cc4b1ae1c6c6196cc9b080a525b0041e00d8da6,basic auth support and version bump,2013-07-22 16:56:42-07:00,True
987a014cff3b4ffb5bdccfe0ad651b6c94c30c5e,readme updated,2013-07-22 16:59:49-07:00,True
86ce679a2b08e7fc39987dbcc44d8abd7e567c2c,readme,2013-08-30 15:51:01-07:00,True
af91fa91061e73c144bd37d29d9217fdfdd78732,readme,2013-08-30 16:40:18-07:00,True
fb6a39cebb63d4303d05d0bc3ea1b5fe18a95aa0,fixes #10,2013-09-02 17:38:27-07:00,True
76cafdf660d14747cb1e06b08cdda6a8f5e0e7d1,readme,2013-09-02 17:42:00-07:00,True
55b3d40e824fe21a4965829805ebb88a98e009a9,updated to httpclient 4.3 and version bump,2013-10-01 14:19:25-07:00,True
99fbcae00a0811cc371a3f4dd5e4e2033c99523f,readme,2013-10-09 17:09:54-07:00,True
11d66c09fda46b9c06e84e15b1baa3ad7a209aad,readme timeouts,2013-10-09 17:14:54-07:00,True
21a5eeaa7467e2f4a8279ec3421ab6a145a7c107,Update README.md,2013-10-09 17:15:27-07:00,True
2fc8136de2c29cb481c1593c44332bda7227fdf3,Update README,2013-10-21 02:10:13-07:00,True
cfcec1cb28367201910c3af474549e10b4e2f450,Update README.md,2013-10-21 02:40:58-07:00,True
06b1dee60ee86cca499b506b17198c339bcf858a,default req headers,2013-10-22 11:34:36-07:00,False
7333f4da88f39bd14ee36d762af7288f682f79f2,readme,2013-10-22 11:36:59-07:00,False
f63f7f40dd57dc7fc3db2230cbd3a05a159d979a,readme,2013-10-22 11:40:24-07:00,True
5ad8adde4d9bda106f0d15f4753ab4004ca53da4,delete with body,2013-10-22 17:08:34-07:00,False
cb9822e0f761b9acf82b2b69b610aaa2c2a1556c,readme,2013-10-25 15:08:00-07:00,True
8410c265576d7060096cb9b57fb721730ec327d1,version bump,2013-10-27 02:24:40-07:00,True
15a410c35fcfc8e46075e14a937226807730784b,Update README.md,2013-10-28 17:31:48-07:00,True
ec0a881793bbdf44b8a0f378f96255a9fdb749ef,Update README.md,2013-10-31 12:37:51-07:00,True
6e862dbe4f50d7e7dd13f9f2bfa4c4a584367ea9,Update README.md,2013-10-31 12:38:25-07:00,False
2637a84bd9f32fb3f77286bfda15a8f031c37b75,closes #5,2013-11-01 12:59:54-07:00,True
1afb95d8d73bb87119fea7883c6ec78fce03bbf2,version bump,2013-11-02 17:24:07-07:00,True
637c68a34b56e7441c94ed1c9a7ae7b69d19b604,readme,2013-11-04 15:17:57-08:00,True
027aabfeb08c414f09a768d9dcfa3b14fee1202c,Update README.md,2013-12-03 11:00:51-08:00,True
cf6b278007c7ca69ba044fa1e3fc536c4e380bf3,readme,2013-12-03 17:36:21-08:00,True
b85824cbec41444ecbc2f20ecacb5535f20aa226,Update README.md,2013-12-07 22:36:53-08:00,True
b757be8db45c8c42b9d20a1814dc235038c82875,readme,2013-12-12 12:43:39-08:00,True
59d0d6f0423e62ffaf9c48391f50fce3f08082e0,readme,2013-12-13 18:15:11-08:00,True
60a0e5412115bf198ead5a8de9d57e8a3ad3e16b,readme,2013-12-13 18:17:21-08:00,False
528266c3f571ad71e2431b1490b18ec22857e562,better support for route parameters and libraries update,2014-02-10 16:49:16-08:00,True
9730c694a44dbdf8e9d7213de103db4d34f8f559,readme,2014-02-10 17:54:44-08:00,True
866f4fbaeb70b8cc63789b7df03cc8a70ec8a78b,readme,2014-02-10 17:56:09-08:00,True
b84273e405d2ec54da8ce835fd05b8658c4ee170,readme,2014-02-10 17:56:30-08:00,True
1390a120e0b7f1bf9f5180eadaf381192eae76f8,readme,2014-02-13 16:41:41-08:00,True
7881a6d08743558de78656ecb27fb3ff4c955170,readme,2014-02-27 12:08:22-08:00,True
f5b0d18f5ba702db2a0ae45a43a9f55f36781228,readme,2014-03-07 15:03:44-08:00,True
827c5986e76d8eac5ea2f92555d7a179406308bd,readme,2014-03-18 12:31:36-07:00,True
4bd6c3f27535b632283e4986675d260c2a1765c4,readme,2014-03-24 20:36:44-07:00,False
aef224df9718839071c0dc3054b26e21d4fa958a,readme,2014-03-24 20:44:04-07:00,True
2ad6cd4a929668c15361d36ff6e918665874b2a1,updating dependencies,2014-04-16 19:28:52-07:00,True
127f9ad3de36819333fae1a816962c70b8df6baa,readme,2014-04-16 20:03:00-07:00,True
94fd4d6339b8cacac63535381dcbb6c7f793dcd6,readme,2014-04-24 14:59:08-07:00,True
0f7aac6c6f0221dfa7b1af4fc6e218d538ad8661,readme,2014-04-24 15:25:18-07:00,True
