sha,message,date,result
d0391642e30a6529bfc46b57851b1b06490c83c6,Initial commit,2015-09-21 08:35:25-07:00,False
bc990a77088225fd782780aa1994f01ed3ca90d5,"README file

Added proposal",2015-09-23 18:23:57-07:00,False
2769412109611cff29d6922cc4b85774202e5bdd,Pip install and installation notes,2016-02-29 11:31:51-08:00,True
88ff4c99b2b166a07d387ac4e2173fffcfcd1cfd,Markdown formatting,2016-02-29 11:33:19-08:00,True
1df0dbe55a84b940d76ea565bc60e8c51313ecc8,working,2016-02-29 14:25:53-08:00,True
f95f59784ab535232b9e4a0dc8324d4a5f09f788,README.md modification,2016-02-29 14:45:54-08:00,True
09d7589d5933b699b119af2f4843e39b2cefd4b8,README edits + screenshots,2016-03-01 13:12:20-08:00,False
b852a491bdaf28ad79fd23ca1e251b65e5313aee,"README updates, architecture section, contributing section",2016-03-01 14:43:16-08:00,False
3b05ef1edd07f1e57e6decd85018dc7c38ab8611,Wording,2016-03-01 14:47:22-08:00,False
66c732ba8dc824aa5e9442d2496a3703282da7bb,Remove 'Ipython',2016-03-01 14:48:43-08:00,False
2d0a54c92f6f3263de0bbcfeea5517d31a42bc92,Help screenshot,2016-03-01 14:59:53-08:00,False
c30aee6629692a57420e5b8b71f540a8c3c6b196,"Sparkmagic, autovizwidget, and hdijupyterutils (#243)

* Refactor from agu

* Fix travis

* Adding nosetests for all projects in the repo

* Ignore vscode tasks

* Changing setup.py urls

* Move exceptions and constants first take

* Separate logging, configuration, constants, and events from hdijupyterutils and autovizwidget

TODO: sparkmagic

* Remove plotly hack

* Separate logging, config, events, constants for sparkmagic

* Add sparkevents changes

* Fix base64 configuration

* Fixed configuration unit tests (but one) by making _overrides global. This won't work...

* config 2 work

* Fix configs

* Create SparkLog

* Fix ensure_file_exists

* Really fix fsrw

* Fix emitting events

* Fix events for autovizwidget

* Address comments from PR

* Making plotly version less restrictive

* Fix autovizwidget with ipywidgets>5.0

* Last fixes

* Fixing README

* Fix dev install installation steps

* Add unit tests to README",2016-06-02 16:48:44-07:00,True
9236d753ec559df5336dca8d53bc4407b6694f7b,"Add magics in ipython kernel sample notebook (#245)

* Add example to autoviz

* Change order of visualizations

* Add information to README

* Add magics in ipython kernel sample notebook

* Address feedback so far

* Addressing notebook file feedback",2016-06-09 19:43:57-07:00,False
3791afbfdd37ca11d9bfed9fcc0fe7556e95aa41,"Add Pyspark and Spark Sample Notebooks (#263)

* Add example to autoviz

* Change order of visualizations

* Add information to README

* Add magics in ipython kernel sample notebook

* Address feedback so far

* Addressing notebook file feedback

* Delete remotespark notebook

* User error on sql query should not be DataFrameParseException

* Add Pyspark and Spark sample notebooks

* Remove kernel explanation",2016-06-21 14:49:01-07:00,False
deaa794d01756b18ffae430c134ee87c10b08fdf,Move server extension to sparkmagic package,2016-08-30 18:32:03-07:00,True
f8be80e97a5afb87868a2ddb620b69af2d48aa00,Move server extension to sparkmagic package,2016-08-30 19:07:29-07:00,True
b9d155f37240ebb27dcb22804b3b07946d6aacd5,Fix API documentation,2016-08-30 19:09:12-07:00,True
77bcc7eed24041cff04322ee1665c77f8ea708b4,Add unit tests,2016-08-31 14:46:12-07:00,True
e2dc72f478a6ddb0914095beba0159dbdab64f43,Add cluster change event,2016-08-31 15:27:48-07:00,True
0ccd82dc973512be9e117ddfe66bb809ca68ca22,Fix teletype and make tests reliable,2016-09-06 12:31:21-07:00,False
b5cf41dec090129e704e25be56ff9dab2e271aff,bump version,2016-09-27 16:40:56-07:00,True
a4a35239b7409ace2661e2d7069517e12653f092,"Added PySpark3 kernel. (#292)

* Added PySpark3 kernel.

* Addressed feedback.

- README.md
- Removed version from __init__.py.",2016-11-03 20:15:48-07:00,False
a455634209d64b9e18926addfbf627d21a7a9b4e,"Add SparkR kernel

* SparkR kernel in Jupyter

Add SparkR kernel and corresponding tests",2016-12-16 14:26:46-08:00,False
ba60462aceab7dc4fd7738955c7bc2e5790dae74,"Merge master to release 

* Print a warning message early if detected resource limitation at session startup.

* Addressed review comments.

* More change after comments.

* Message change after comments.

* Fix unicode as commented.

* Fix default heartbeat configuration (#299)

* Add SparkR kernel

* SparkR kernel in Jupyter

Add SparkR kernel and corresponding tests",2016-12-16 14:33:29-08:00,False
af02a33612a2fbfd351b78fc0296f451be80ca8c,"Revert ""Merge master to release"" (#302)",2016-12-16 15:04:18-08:00,False
3c66b3954dcfc09b2a30fc58e299ec2a96cedc8a,"Merge master to release (#304)

* Print a warning message early if detected resource limitation at session startup.

* Addressed review comments.

* More change after comments.

* Message change after comments.

* Fix unicode as commented.

* Fix default heartbeat configuration (#299)

* Add SparkR kernel

* SparkR kernel in Jupyter

Add SparkR kernel and corresponding tests

* Update version",2016-12-16 15:56:13-08:00,False
67fcf744b94f5c96eea26a8729a0f004576cdcf0,"Server extension allows optional kernel name parameter and creates new kernel if needed (#313)

* first take at adding kernel name

* working

* clean up code

* started unit tests

* first take unit tests

* fix method to mock

* finished tests

* bump versions

* update readme

* remove extra dot

* fix python 2 return and yield",2017-01-05 11:22:16-08:00,True
e0d70ee39740a681ea11a29fcda248885d5027c2,"Merge master to release (#316)

* Print a warning message early if detected resource limitation at session startup.

* Addressed review comments.

* More change after comments.

* Message change after comments.

* Fix unicode as commented.

* Fix default heartbeat configuration (#299)

* Add SparkR kernel

* SparkR kernel in Jupyter

Add SparkR kernel and corresponding tests

* Update version

* Add missing comma (#307)

* Fix indentation (#310)

* Server extension allows optional kernel name parameter and creates new kernel if needed (#313)

* first take at adding kernel name

* working

* clean up code

* started unit tests

* first take unit tests

* fix method to mock

* finished tests

* bump versions

* update readme

* remove extra dot

* fix python 2 return and yield

* Port commit on release not made on master so that branches can be automatically merged now (#315)

* Fix indentation (#311)

* Print a warning message early if detected resource limitation at session startup.

* Addressed review comments.

* More change after comments.

* Message change after comments.

* Fix unicode as commented.

* Fix default heartbeat configuration (#299)

* Add SparkR kernel

* SparkR kernel in Jupyter

Add SparkR kernel and corresponding tests

* Update version

* Add missing comma (#307)

* Fix indentation (#310)

* Remove extra line",2017-01-09 07:44:14-08:00,True
