sha,message,date,result
3e576250b1bfe1c62c556f2fa0425103b0ede1f9,First commit,2019-10-15 15:06:09-07:00,False
2597a18d95d01109d2250487b7550a501edaf77b,readme update,2019-10-15 15:32:23-07:00,False
e83170b7ec7ed2123bfde69be263b6034c7afa53,readme update,2019-10-15 16:28:42-07:00,False
021b6924e24e1cf0f971246244b174cd3181c0a6,documentation updates,2019-10-17 12:15:27-07:00,False
ed320cf0f4bb11cee1e69e9dc9176ba109df1b86,change netstat pid field to integer,2019-10-17 13:04:34-07:00,False
8073d15fe11546a17cacd81409e255bb8aecd602,readme update,2019-10-17 15:03:32-07:00,True
756c2bc9acd60111281b76085a40778e51ca06cc,add acknowledgments,2019-10-18 09:57:10-07:00,False
367ab54f94bf7f456377ec9d20f8daf99dbdc1ed,formatting,2019-10-18 13:34:28-07:00,False
4d93b38fe47329e3175025878e87f7c963061f98,add route documentation,2019-10-18 14:18:34-07:00,False
d54d906c571b4683f01cab2eca63ae5f0725a87b,update readme,2019-10-18 19:03:11-07:00,False
be81b5e1ed93eb65e5dbed4f52905439cde86f62,readme update,2019-10-21 13:47:22-07:00,False
1d110be6cb25d169ae0dde6532cbcdf05d93d42f,update doco,2019-10-21 14:13:31-07:00,False
fab80bb3b4a1897da29d818e98e9b80ce45443dd,readme update,2019-10-21 17:20:12-07:00,False
30080c01659cf611666876b7b063b7b329822352,reorder parsers,2019-10-21 17:26:00-07:00,False
8e71b8e3522b9b1af4d869a0854223eb5c300b63,fix jq example,2019-10-21 18:11:51-07:00,False
b5ea08e55bfd22c9da5ba73c124791012df119a0,fix transport protocol,2019-10-21 18:22:51-07:00,False
e3750b49628794fd4d563013b1f3a7471c27ce68,documentation enhancements,2019-10-22 07:40:42-07:00,False
a023001cd350e320ce30f47af214ed7a9bb43185,"add df, env, and free parsers",2019-10-22 11:10:11-07:00,False
36bc55a3109278d663b675a09829200f5474c3d8,fix df,2019-10-22 11:11:41-07:00,False
c2c189f3e6e900e5f3d35df9a9b9d033448baff6,readme update,2019-10-22 11:14:19-07:00,False
73a0d70c9294ad392792e690a7bfbcc4f51b0a5b,readme update,2019-10-22 11:15:44-07:00,False
753d5fd9fe5a8e4b67b1a0ec018a9f811e27f8bf,readme update,2019-10-22 11:17:21-07:00,False
b15227e7ba5377e5fb6799d1b9e4ed5a11c6d92f,add lsblk parser,2019-10-22 11:55:11-07:00,False
a3e55d97c0fd4397b42e9146afb0ba9558274fdb,add mount parser,2019-10-22 12:54:41-07:00,False
9ac57469967443b195be09d580beaa76ce0e1095,add uname parser,2019-10-22 13:28:15-07:00,False
f3087b8a8ede88834285bb5d0655fc96341c174c,update readme and formatting,2019-10-22 16:40:27-07:00,False
306d539b6bbfb272c7b955e4847adc3a6b4afa5f,readme update,2019-10-22 16:50:01-07:00,False
