sha,message,date,result
24d3c3e090fe420126c16573cae24fbd692bf727,Initial commit,2017-05-24 14:05:41+03:00,False
33bea07deaaa31ae36b93e3be00b7b59faf3a1fb,Generated classes for XML mapping of ffprobe output,2017-05-27 13:12:49+03:00,False
cebe533b8fa655a55d893480b62ee54c2f71e750,Add readme,2017-06-11 07:17:39+03:00,False
3a40be3ad248707d3cdcae82270aa05ebf8d3109,Add maven dependecy to README,2017-06-16 08:05:48+03:00,True
6ce6e8348ecd2b34f624e09e5418cc523c3b6f57,"Add JEBML dependency, log4j test dependency, JEBML functional test",2017-06-26 08:39:26+03:00,False
8a4b8a318e361938629375528e4815e2d7ffbb38,"Refactor external process handling, prepare for std in and out handling",2017-06-28 15:46:53+03:00,False
b70ceeaf67c39d53ade88134a5f45bd5d9deba9c,Add credit to ffmpeg-cli-wrapper,2017-07-01 12:17:03+03:00,False
f2264a8d8d788ba7eb4c58863e60e4646f824e7a,Add credit to ffmpeg-cli-wrapper,2017-07-01 12:23:09+03:00,False
7813f259acaa55296bbdd21c131fccd095a0b17a,Reading video frames as images,2017-07-02 16:00:28+03:00,False
b9adb438b91563846b9e432e1e926d447c9b38e1,Update readme,2017-07-11 07:17:14+03:00,False
1e041104147ff8147cba475e4fda4038c54bd6d6,Set version to 0.2,2017-07-11 08:02:12+03:00,True
5021adb6f73d0027a2ccb9b6a729e6783d945de9,Fix readme,2017-08-24 15:40:26+03:00,True
eceb06b0f3df3dcecd733a28cbf8fcb06e38ee38,Fix README,2017-08-24 15:55:23+03:00,False
3d2314000c4bdeb2397ade79a242ec36046c0efc,Improve API,2017-10-15 12:08:16+03:00,False
60fbc36ad212052ca1c5e7afcc12dee78e3bf332,Rename Track to Stream,2017-12-30 12:54:32+02:00,False
1281d2f35ad65fdcb123372bec7e1ce3ec934ded,Set version to 0.4,2017-12-30 13:13:00+02:00,True
2bf78378fa079600055a02183e50e300443af405,"Support producing video with alpha channel, improve image parsing performance",2018-01-30 08:13:57+02:00,False
2bab7e9f340b55008a6a759c55a07363a77ca14a,Set version 0.4.1,2018-02-01 08:17:21+02:00,True
ee610a6c347502d537872eb0cb8a3a9f54c0ba13,Rename options to arguments.,2018-02-04 20:12:58+02:00,True
9ebc5e80a475ac15cf2c38eee78e45b699955111,Fixed readme,2018-04-09 12:12:59+03:00,False
fa6ffa636c36f342b7983e807959c07bceaa2c99,"Add missing attributes to side_data, fixes #7.",2018-04-15 10:39:40+03:00,True
5bdb624b924e4258ea29ff502f3e84497afc3704,"Error handling, fixes #9",2018-04-29 13:24:56+03:00,True
6c66f0689cc6f523ec1ec8f2fc1575b500ff42ea,Update readme,2018-05-06 12:00:34+03:00,True
aeb37e2b7174cb627b07dc6b1b42d7a7e6bd1c19,"Refactor Input&Output, fixes #14",2018-06-02 10:16:14+03:00,True
5897ef777be53cc78cc48a959cec58e55209cf61,"Fixes #17, #18",2018-06-09 10:55:19+03:00,True
2ff1a005093e906b42a5f229641db105ee6df4a8,"Set version to 0.5.6, update Readme",2018-06-24 10:33:47+03:00,False
7c24d3da3abff7eeeaaac2205ea4ffc03ed3b4e4,"Update readme, set version 0.5.7",2018-06-29 09:47:55+03:00,True
154d41f836fbda6642602807fc8b3877e5adb45c,"Move examples to tests, add ShowStreams",2018-06-30 10:03:24+03:00,False
296995af3878c38bee0d5fb097edf62c6e63cc67,"Fix frames in Mosaic example, add ProduceGif example",2018-07-03 06:58:37+03:00,False
b0b16a56ed11d2c671440150d0272fa1c8ee1c17,ExtractFrames and ReEncode examples,2018-07-06 08:05:34+03:00,False
17820fbd27db3e65d423d26b996393b76b587e9e,Set version to 0.5.8,2018-07-07 09:58:55+03:00,True
e800851bdebffdb89dbe5b0f41ed59487c71f589,Fix build on JDK9+,2018-10-13 15:48:29+03:00,True
7aa14c95f8bbffd1eecd3482351a0ef908ea15d6,Set version 0.6.0,2018-11-17 07:20:05+02:00,True
3874f438ed8dae459d954a86a4386377742e2929,"Replace String with StreamType for Packet and Stram, fix #24",2018-11-19 08:36:56+02:00,True
d762cbb553b00ef4dd44ba863a1aff5375e23875,"WIP: Chapter, extra getters, Apache copyright notice",2018-12-01 07:07:36+02:00,True
bc472aaf38abae0e16f43d1cb4feb5d8cfa168c0,Set version to 0.7.0,2018-12-01 07:17:28+02:00,True
b712b917c49ddaa9dceb530b4d7282a8c19b1563,"FFprobe accepts String inputs, fix #34",2018-12-08 08:07:09+02:00,True
0143125d000d96a7bd0941ec8d4f4923c635fee4,"Zero progress parsing, fix #36",2018-12-22 14:37:47+02:00,True
50b5d3aadc2b46e282d9f29cd63dd036bed2271e,Set version to 0.7.3,2019-01-20 17:16:38+02:00,True
f7783d6280f636f874daa1dab784d1545d0ffc80,"Support custom output parsing, fix #38, set version 0.7.4",2019-02-13 19:53:34+02:00,True
4e867e41876d8e57e3cb8e039e598e3458a99fd0,Update README,2019-02-16 07:45:00+02:00,True
30323511175ac5654bbbbf8502a15520d27d3639,"Improve ffprobe values parsing, fix #40",2019-02-24 07:47:28+02:00,True
662f27a758b59123f0ec54b554fce1f975caea51,"Pipe Input & Output, fix #39",2019-02-24 12:49:15+02:00,True
a08f3fd409fa354d34eac0365756e412945b342c,FlatFormatParser,2019-02-27 08:43:17+02:00,True
b69f08e558dd5492c14e98202570ab9f197b73f5,Set version 0.8.2,2019-03-23 07:21:10+02:00,True
630bbc14aa7f1b85e033fadbda659c7df66de8e9,Compare format parser results. set version to 0.8.3,2019-04-13 07:25:16+03:00,True
b80eef845b88e64032a0e7da96fa162f5b47cf00,Add notes how to stop processes,2019-07-17 06:32:14+03:00,False
2264b1322efad2223bf6b95462609666ccb61c68,Clean up,2019-07-25 15:25:20+03:00,False
bc8171388f3f96bead35623c640da63b023679ea,Set version 0.9.0,2019-07-25 15:25:20+03:00,True
fbf20982d2656caaeb834b50c9188687da90989e,"More clear log messages, fix #45",2019-07-27 13:12:25+03:00,False
edbda98c00d11e30ccf6985972dc1c5d0348abab,Add examples how to stop ffmpeg,2019-07-28 10:43:41+03:00,False
41c405e29c771049b5b5f282f42d29195afc44d1,Set version 0.9.1,2019-07-31 06:42:57+03:00,True
e267d901e11a92de70c2cf56b896f9c23f60c145,Set version 0.9.2,2019-09-16 06:30:57+03:00,True
a8b6801b81a57280a3eeb1de78f670108f7f6b1a,"Add non-seekable output warning, fix #56",2019-09-17 20:33:27+03:00,True
3765fe94fae8c3e9527f7b91cff48b448d35672b,Update README.md,2019-11-22 13:29:14+02:00,False
d3aa42a7540766c6a81c8bf2f560b919e03069eb,Add duration to ffprobe/ffmpeg examples,2019-12-29 13:59:35+02:00,False
28bc128cddf05dfff66687b3101824bc10ac894e,Set version to 0.9.4,2020-04-18 16:41:04+03:00,True
308554b0013430b63361dbb2ea90d7b9f27bc642,"Update Readme, add test results badge",2020-04-20 14:14:28+03:00,True
f6488b006f98acc1d31b0f83f38326427127be50,Fix Readme,2020-04-20 14:42:28+03:00,False
fcd67670ae67668353fa61726725f3d822e201d6,Next version,2020-06-28 13:41:04+03:00,False
1f45e0864bda8e605ed6224aeb4dfcddaf612c4b,"Graceful stop (#84)

Graceful Stop",2020-06-28 14:09:01+03:00,False
bf2648b95bfab8889549321a90f2f0d74bdb0139,Next develop version,2020-06-28 14:54:08+03:00,False
64d076880e2ff5c7686514fc834f05a36a36c81c,Next develop version,2020-07-25 10:39:38+03:00,False
fdfcd1714718a1d9e066ee1ad93ef6a5e5790970,Next develop version,2020-10-27 19:54:10+02:00,False
2038c54fe5ab5bf88e85b523b23dc461e1962e45,Maven Central badge,2020-10-28 06:20:08+02:00,False
d6fe6a78a6336ecdca63ed9f0ea0129e73fcd20c,Next develop version,2021-01-23 13:49:51+02:00,False
f68641fd5c8392fb72f434189025a578fbbdcba7,Next development version,2021-01-29 08:25:27+02:00,False
99e6d3131ef0911260a3ed62f56b41d1a27ed474,Next develop version,2021-02-11 08:14:45+02:00,False
2473169d48ff96480f659c2b5958afc50bbbe08f,Fix README.md,2021-02-11 09:06:16+02:00,False
9e33fc226830ef4737baa1ae6d0f7a3139bb668d,Readme & examples,2021-02-12 10:01:01+02:00,False
6603682b12dc64997611dc3895645ec5ef916c3d,"Readme & examples, fix build",2021-02-15 09:57:24+02:00,False
b7c67afd690853645ebe1ea2891b5a86c29029b9,Next develop version,2021-02-22 09:41:55+02:00,False
b9118a21b3b076067ab640dcc624e888f44cee5e,Next develop version,2021-03-21 10:16:22+02:00,False
2fcd33ea67c6558d0d27f54cb94f5d7da1d0cf18,"Configure release version, generate publiccode.yml",2021-03-31 20:08:14+03:00,True
8b9bc01c935fc11b29f96a7df1d342723714f2bf,"Frame static factory methods, remove some todos",2021-04-13 08:24:06+03:00,False
a551332b490c53a6c2e0362c757a55d7f5ebdda9,Add addArguments usage to CutAndScaleExample & ReEncodeExample,2021-04-20 08:27:32+03:00,False
629ab1b481c5863fcff1086d2a837035e170945b,Checkstyle: Stream,2021-04-30 09:02:40+03:00,False
de29dacf89ee9c5dc437b934000a5d9ac8d86cac,"Add SonarCloud coverage bage, fix Github Actions link",2021-05-14 08:32:01+03:00,False
a46d78cc511068a496439f3449cb216427a976cc,add support for Java 8 completions (promises) API in executeAsync,2021-05-23 16:57:51+03:00,False
06034abae7022289d8aa038b35f57eec19775f3b,fixed indentation,2021-05-24 09:58:12+03:00,False
