sha,message,date,result
7f5125e34a3d0be9aa7e1f31dcbc98138a9f46f0,Add README.,2021-03-25 21:19:27+01:00,True
83a3b55563cb96cb64ba095942224df52233c4c2,Add missing configuration settings.,2021-03-25 21:33:50+01:00,False
44a362ab8de092070ff2481d124f110e043e2a07,Update README.md,2021-03-29 22:10:38+02:00,False
7a29bb85ebcb03656dc0db22c5d8fe412cdd8548,Add hyperlinks and version specifiers - ci skip.,2021-03-29 22:24:04+02:00,False
c8ba46cf56f45fd61e4d8147270a6de489f5cf1c,Add smilies :-) - ci skip.,2021-03-29 22:27:43+02:00,False
197ca89a9c831c78a2ab24f1166fcefa0d573f6d,Add members to automodule - ci skip.,2021-03-29 22:30:25+02:00,False
e5b9731386d319ad488565240b0456979ebf3f12,Test github actions,2021-03-30 15:39:47+02:00,False
64172721a8a0888b439a2e7d5d0a639dccb15f7c,Update readme - skip ci.,2021-03-30 18:20:13+02:00,False
b23d079e100c5018ecae9e2799d4a5e8639caa96,Remove badges - ci skip,2021-04-02 20:58:58+02:00,False
8fa1c402c077c24c56cbb74c5c62dddf6bf6343e,Change pydantic support to > 1.5.,2021-04-17 18:32:56+02:00,False
b486718f6a0ba58d83a4654da3fcfabc1a34c8f5,Update README.md,2021-04-23 17:54:17+02:00,True
bc3d821488a7727f12a2c9c8e6c7b286586ff23b,Add example gif - ci skip.,2021-04-24 21:00:13+02:00,False
630d79ba132a332b98d064964944b6a12c676104,Update example. Update version to 1.1.0 - ci skip.,2021-04-24 21:06:17+02:00,False
f1f0321d10f2b83df2e911efe67fc31e3e60747a,Add RTD badge - ci skip.,2021-04-25 21:31:35+02:00,False
43e4d0f471413ae65c43ee74b673eed25d5d1ba8,Add logo to README - ci skip.,2021-04-26 12:19:56+02:00,False
1112857fa28582250c467f5d9c4129c93971a5f3,Update readme and index.rst.,2021-05-10 13:16:02+02:00,False
9063d410e1c1a793b3cac07723cf68135015af34,Update readme with absolute hyperlinks.,2021-07-17 21:33:16+02:00,False
