sha,message,date,result
9b7e6356b6362a721463c9d9bfeba5239089e0ee,Initial commit,2019-06-19 12:50:05+02:00,False
eb85f5ce37f8ba514492ad6dca934566e22cb333,Update README.md,2019-06-19 18:24:37+02:00,False
f9322b6ba939137b292a4e926ba2fb2b716c026f,Update README.md,2019-06-25 17:45:28+02:00,False
806bb2b059ef645463114b3e695ec25d52c4f2bd,Update README.md,2019-06-25 17:56:15+02:00,False
01bd78d17a42bd7c83577e9b27d9c30f6375b37b,Update README.md,2019-06-26 14:17:45+02:00,False
74477f4749879587af92c68f1c9cf5baaf7a1c96,Update README.md,2019-06-26 14:22:17+02:00,False
f73f0ca7f2592b5ee28eb40e2f4faebcc74082d2,Update README.md,2019-06-26 15:37:49+02:00,False
acd2766176c9bccff0b16ce2bfdcbd08c18fe65d,Update README.md,2019-06-26 15:42:55+02:00,False
6e5ee6192bde69364c0bba89593376043e2a8abe,Update README.md,2019-06-28 14:01:13+02:00,False
311b2b8825b4601bd8330c36591e768df000d1ee,Update README.md,2019-06-28 19:23:52+02:00,False
099ff65788ead3061e38466b8ba3de7b7c5185bc,"refactoring, readability",2019-07-09 14:47:22+02:00,False
42c88d6ccca69d77d1465b84d7bab30d0da66f1e,Update README.md,2019-08-26 23:52:19+02:00,False
51788fc05e18af56fb3bd82850efb73585df2aba,update README.md,2019-09-09 14:18:29+02:00,True
0dcf598df9a21029478cd9198597d3ee186e9e05,Update README.md,2019-09-11 23:44:27+02:00,False
14b0dabb12e7f25243098fd2f1b64d92da3a8882,Update README.md,2019-09-11 23:53:09+02:00,False
c97208ac49dfc8cf4efc996887736999e31c364a,restructuring,2019-09-27 17:23:45+02:00,False
af3d4cbbbd965ee4a4ac702ab608a35f36d9e257,update README.md,2019-10-01 18:06:23+02:00,False
fc5f34e0c5583ad26d75ef1291f2e37282796961,added SLAV,2019-11-27 21:15:17+01:00,False
2fc4c10939ff4854dd2875171137c57d2c309bb6,"add file example, some fixes in file_reader.py",2020-01-10 10:46:05+01:00,False
f6998ae3c1caee6bb3acdeffef96d2d5af30c926,start implementing python 3 compatibility,2020-01-15 10:18:06+01:00,True
c0531637df0a6db7f41dd4a8e8347e5e47403f1f,add requirements.txt,2020-01-21 09:41:19+01:00,False
8abbd1a5b864d057ed26177cf419df3080714b71,add rules and examples to README.md,2020-01-27 11:54:53+01:00,False
9682eac77b6d4f3719614a33cae230bdd8f73105,update readme,2020-01-27 14:00:12+01:00,False
3649b365789c4de72cdea80777d172025266f6b5,add rule phragmen_enestroem,2020-01-28 14:54:05+01:00,False
518504ffb0b6dbaec1712c154d3997a121239c5c,Update README.md,2020-01-29 13:38:10+01:00,False
56265ec747f313fc48723d3eda540f8187db96cf,update README.md,2020-03-05 13:46:18+01:00,False
24dd2f8457f3db50ba7d81873bec5961ad8da410,readme,2020-03-06 15:58:15+01:00,False
