sha,message,date,result
d52f4b94b0c7ef9187b07a99c81b91e65ddffb79,Add simple README,2020-11-15 11:22:36-05:00,False
df9b92894fae8daa62606edab44642298b7379bd,Add basic pip installation instructions to README,2020-11-15 20:07:48-05:00,True
6cf9c8f8b39550bb029aed68f62f45c8d0de489c,Add badges to README,2020-11-15 20:13:45-05:00,False
008b88fd26f039aa4e85130ed5586d82ef5e81ba,Add testing coverage report with codecov,2021-03-03 23:13:12-05:00,False
74e968a650672577b1d014dceb4b4d115e43c6e4,Fix mardownlint errors,2021-03-04 10:06:42-05:00,True
2635f86510a6badcac15b2ab22c8024efd454f21,"Update README to point to stable docs, not latest",2021-03-04 20:09:52-05:00,True
23433d430d82c1009427349a6b3105dc1b62f67a,Add python supported versions to README,2021-03-04 20:16:36-05:00,False
15441ff239eac488c3c233af356342e63d667388,Add performance metrics to README,2021-03-05 15:59:39-05:00,True
00ef00a72c38f3161a07981aa0dd4f7bcd95c8f6,Add some basic usage examples to documentation,2021-03-06 22:58:08-05:00,True
7b2ed094b985b6e8bedcccf58e43bb3d377bb846,Fix typos in README,2021-03-07 10:04:40-05:00,False
ba585f2bf97803cd2be2413cd455988b90b540cc,Refactor sphinx documentation,2021-03-24 19:55:06-04:00,False
2c04b2f90aa28f76898bb16ee798af60a7dfb5b1,Rename Poly.NonZero() to Poly.Degrees(),2021-03-28 08:59:58-04:00,False
d18b7e368794073e9f514e0bcc1dbd00ccbac301,Make display() method a context manager,2021-03-28 22:03:30-04:00,False
2bdde9b6129e6cbd8aafaf0491bfd620118c2bb1,Add more detail to README,2021-04-01 19:53:51-04:00,True
a42fdc73bc0f7b53647969747baf271092d02d2b,Use single argument order for GF_factory(),2021-04-06 12:34:20-04:00,False
8d2deb75573b8eaf958deda2177150eab550ca95,Make GF array class string mimic np.ndarray,2021-04-06 12:34:20-04:00,False
c589f8b4c773c9b533eb51b63f4f16c59c4d4792,Add versioning info to README,2021-04-09 17:17:19-04:00,True
16a8674496af595e816a7b88a97d7aa8b9d1993d,Rename GF_factory() to GF(),2021-04-09 17:17:19-04:00,False
d070b367959bc8b35f2f6a926cece351c8e3d6b8,Use metaclasses to refactor Galois field arrays,2021-04-17 01:09:31-04:00,False
c516d79dfd97abf5c7f2c5711806a0692d1ec6f1,Update performance section in README,2021-04-23 11:44:12-04:00,False
53b0d6ca48bf0114f42e0c769d61f41560080925,Update basic usage documentation,2021-04-23 11:44:12-04:00,True
f1dd0ec9ffa9ad9260528fff62e0a8aa06812e2f,Add power representation display mode to README,2021-04-26 10:17:59-04:00,False
5461c176b926b6aa32f74e9bc0d729daad2473d5,Rename Eye() to Identity(),2021-05-04 14:12:20-04:00,False
b0404d3948656d42138d4d18f80d127d0977485a,Add future roadmap to README,2021-05-07 14:48:24-04:00,False
e89b839f8af1bb0d62abd3694f07ba699deba945,Add linear algebra performance to docs,2021-05-08 13:25:10-04:00,False
f3bf3fea460fd31e4510ffcb09ba9f8371d878ad,Update performance examples in docs,2021-05-08 13:25:10-04:00,False
656671f1d12c47ab23df120dc4c26edb08ce9b6e,Minor README updates,2021-05-09 15:26:37-04:00,False
7baa72b8efa96a61359ae975120fd436f60fe7e0,Rename GFArray/GFMeta to FieldArray/FieldMeta,2021-05-16 13:55:42-04:00,False
5a9107e30bab86955b992b156f073f1e0e9a3801,Add release notes to docs,2021-05-16 13:55:42-04:00,False
5f1a0574ed8cc760772f95b1ac23a4222898d70a,Add `vdot` linear algebra function,2021-05-19 10:12:15-04:00,False
555f69657ddac98ce076440912403fc057d6d75a,Add `poly_factors` functions,2021-05-19 10:12:15-04:00,False
d9f0ba28a961256adfa4a64eb7f20ba8c1b1456c,Add `Poly.String` constructor,2021-05-19 10:12:15-04:00,False
96211b4f6dd6c10a91d9d43a81ed2733a10c298f,Fix broken hyperlinks in README,2021-05-19 15:39:05-04:00,False
5504b711ca0e8c2a603fec5d475067da9d65a0ef,Fix typos in README,2021-05-30 16:57:03-04:00,False
59bc0cc4acf952be74e873f35b92b4cd8ef7302c,"Fix bug in ""power"" representation display mode",2021-05-30 16:57:03-04:00,False
a5f9f1691819f2e160b7df32b541e1b1b9dce0e3,Rename `FieldMeta` to `FieldClass`,2021-06-15 16:03:44-04:00,False
8d463469065637ce698bafbcd132945ab6447344,Remove `target` keyword until there is better support,2021-06-15 16:03:44-04:00,False
8c65c4d13c633a039f9df9f3d2500c30f2423ad2,Update README with FEC basic usage,2021-06-19 10:41:42-04:00,True
6de731daac0a5c20860f1f5e667c0b5131a61ba8,Fix hyperlinks in README,2021-07-30 12:07:16-04:00,True
cc6fd295fd6601f0c09e53dd8b8b8c9f69b1db4a,Remove cryptographic ciphers from roadmap,2021-07-30 12:07:16-04:00,False
fd6b05649054f3f788bae2006e116e6b1582b1c4,Add hyperlinks to API reference in features section of README,2021-08-04 20:21:52-04:00,False
6237b1981952a751a6430afc125c8108a62a1a32,Add downloads badge to README,2021-08-07 21:02:00-04:00,True
a9cd379b53ce88739436138c7ab8f9b5ab08ef3e,Add first version of project logo,2021-08-07 21:02:00-04:00,True
69a2b4d69109a28451745a75b76629a981afe925,Update basic usage examples,2021-08-07 21:02:00-04:00,False
489244a18e36c568dc6c50a65198c0d1ad60ea49,Make TOC in README have only one level,2021-08-07 21:02:00-04:00,False
960fb028f0a3819f89fb1205d47e14d190512a8b,Add citation style,2021-08-07 21:02:00-04:00,False
731e3a4e3583d9559ed30df3be1a432c8c9e4825,Add acknowledgements section to docs,2021-08-07 21:02:00-04:00,False
d764b4b1f69f5acc7d85a3ae1c7cc2aea726da0f,Use latest docs badge in README,2021-08-09 16:49:50-04:00,False
3ce5fd90f442a998bb0e57acb9ed1332c776d2c5,Fix display of logo on PyPI's website,2021-08-13 14:16:16-04:00,True
41d67846a8454b9d3531acbcbac6ea63b75e5762,Add `<meta>` HTML tag to README,2021-08-17 15:36:01-04:00,False
575354e6adc84679d781a37359ae52153a44022e,Remove lint badge from README,2021-08-24 19:24:30-04:00,False
16645b5f882837bf297b4936e1c95128d4af36e1,Remove known mirrors from PyPI downloads badge,2021-08-24 19:24:30-04:00,False
e3c8ff26b068346e2f3fed7b6e1b5546604edc1c,Add Twitter badge,2021-08-24 19:24:30-04:00,False
60f83fdd40c47e1516188d40acc49e89cdc11566,Add CITATION file,2021-08-24 19:24:30-04:00,False
354f221c501b4c501136bd90d1c638706b6cb45d,Fix display of logo on PyPI's website,2021-08-31 18:24:21-04:00,True
ded3e3a556609aa6cd884427dd75b4a91a7d58f3,Update Twitter badge style in README,2021-08-31 18:24:21-04:00,False
eff2ce73e18261753a5eba1747201d49ca1ab904,Fix `FieldClass` and `FieldArray` class docstrings,2021-08-31 18:24:21-04:00,False
c294e5ce4192abf351b1d3c92a5ab307deb6b35d,Add initial implementation of the NTT and INTT,2021-10-13 19:27:25-04:00,False
