sha,message,date,result
4f166aadbb6098d2a0c4c55d5097e39a557a8ed1,Initial commit,2019-06-13 19:38:35+08:00,False
5ddfed3276b7381c7e3d180645730f61022062c9,feat(build repo),2019-06-14 16:35:30+08:00,True
28cb5f2e41553402d1cc73648e51c9615cd66345,feat: add LICENSE,2019-06-14 17:13:48+08:00,True
eb3d01d6d70c83b67d278015d704d9c44a84c2e7,fix(Client): catch not connected bug,2019-06-14 18:05:25+08:00,True
78df4c170b7df680e248f08d3f7b689dcb8b497d,"edit README, adding more examples",2019-06-14 19:02:14+08:00,True
df7c9633011a7e71ea07a4e4a0feeedbf336649d,"feat: configurable, support non-binary inputs",2019-06-18 11:59:30+08:00,True
c6e21258162b9efc005af828a15c0ef7adeee477,exit(readme): update readme,2019-06-20 16:05:51+08:00,True
670d64584fea12bae4a99a1674525145729ead9a,Update README.md,2019-06-20 17:06:55+08:00,True
e45564602cea7597961cafb1cee4fa13576aca82,fix(README): fix IndexType in README,2019-06-23 10:30:02+08:00,True
11a905f480c4b66710764d57abdba03cf70ecde9,update readme,2019-06-26 17:01:04+08:00,True
e57e33c3cffa696e2fe494e32416cfe3a742a372,python3.7 tests done,2019-07-09 16:18:01+08:00,True
fe63d7d96e65531740782aa362ba4e0fc0335a6d,Update README.md,2019-07-10 14:19:36+08:00,True
93ff501cd94a2289a0335e117f9ad5a0c5929fd6,Update README.md,2019-07-10 14:20:18+08:00,True
44d6e1aa8af13401067b21f6d3e8f95d7f6badba,Update README.md,2019-07-10 14:27:38+08:00,True
26116f8db89cd856d36b1ee13a755ff90868accb,update readme,2019-07-11 18:18:41+08:00,False
85cc7b6c7c5ca382013cdcf489ec0371b3f0684c,fix readme codes bug,2019-07-12 09:21:08+08:00,True
22bf1ed1472199ff72d5308a54219a0a7c9d282c,(issue#70): enhance README,2019-07-17 16:57:35+08:00,True
f0ec68659b062c97ead7baaaae29334a07cae80e,MS-247: add note for pymilvus version,2019-07-18 11:02:14+08:00,True
641a0301f21f115b2c86d2540abdbec17287295f,move project from yangxuan to mine,2019-08-13 19:50:57+08:00,True
84afe2495b56ff0f12394a821c6ca1b22709cb7d,update readme.md,2019-09-10 14:04:07+08:00,True
7496c8a758feca2adddd81f4b812a76f53616c15,update readme.md,2019-10-15 15:40:33+08:00,True
c132d97caf95772e2d6a9b04087bd2fd80c315bd,add travis icon in readme. d,2019-10-16 11:40:50+08:00,False
30df81f4e13b230c8aba9ead65c09a8eae18cc49,fix bug when run test_exceptions tests,2019-10-16 19:29:40+08:00,False
059b7d444dcb8201c96c0f54da708f3dc9862eb2,update README.md for v0.2.4,2019-11-04 14:45:13+08:00,True
d46c23edc52326f4f78dd9a16579ea72e13d5ce3,remove Indextype PQ,2019-11-04 15:08:01+08:00,True
d21658b00e9a0ed0772ec4269b64d3b9312e36ec,update readme.md(modify example),2019-11-04 15:16:24+08:00,True
1e8b85a9b4450d2549d37299f7a6a4713673daef,modify readme.md,2019-11-04 15:18:10+08:00,True
2e09e1f51948dc91c01d183c49b8ea5bb571ffe8,add milvus v0.5.1 contrast,2019-11-04 16:25:06+08:00,True
f43f7903b85556dcea70a4a7ec3f4d623b22f729,update readme.md,2019-11-04 16:33:25+08:00,True
59d850482faca2020ba7a8c7ecb01371f4718f2c,update readme.md,2019-11-13 20:06:46+08:00,True
cf80b79349c37ca7227e959685d53edce3b83ad3,update readme.md add doc link,2019-11-13 20:44:38+08:00,False
a7177fefb2a136409345bd6fcd0d16ae09b8e109,remove chinese in readme.md,2019-11-13 21:24:18+08:00,False
813b5db1b6c94dd6c2e5293811ff2669f1d35d6b,update doc adding version notes,2019-11-25 20:56:28+08:00,False
a3771f8f27835e75613d6314ce2e4a3d66307877,cleanup,2019-11-29 15:36:35+08:00,False
029daf610a7f1b87b55c9affaa76b688e263011d,prepare for v0.2.6,2019-12-07 14:15:54+08:00,True
3e445c2691704a8fe335c9c4db44eb1d9b370522,update readme,2019-12-23 09:37:13+08:00,True
cc8b2145e8ddb69ef52af3d4c1d1b9b96be02d7a,fix incorrect description (fix #136),2020-01-16 14:18:42+08:00,True
b619be7af08d270c8208b5bd15badd424ee2f447,Prepare for v0.2.7,2020-01-16 14:36:10+08:00,True
723974020e59e439ff920bdf307c79eaf6813d0c,"Add new metric type and binary vectors support (#139)

* rename NSG to RNSG & add docstring & optimize

* update readme

* adding http handler

* complete binary index

* add method in stub

* updating

* add http handler

* add binary example

* http handler done & test case pass

* add http handler

* optimize param check

* fix bug

* add requirements

* update requirements

* http  handler

* add bin index proto

* Prepare for binary index (-test 0.2.49)

* add binary vectors

* fix incorrect description (fix #136)

* Add binary vectors support (fix #138)

* Prepare for v0.2.7

* remove import GRPC handler and HTTP handler in main __init__.py",2020-01-16 15:06:57+08:00,True
c2cef236296ee8f5dffb1beb23ac83afad483697,"Update README.md

Reorganized the information.",2020-02-18 14:42:04+08:00,True
cd1da6bacf50bdf3960cc73732c24d43e8bac733,"Update README.md

Fix some style issues.",2020-02-21 11:01:24+08:00,True
48277bb7a804aef7ab6606d4a356b78b71cd3f40,"Update README.md

Add TOC.",2020-02-21 11:02:17+08:00,False
35eede020eca6395b3f9689e361b58845454e4da,Update README.md,2020-03-06 14:01:46+08:00,True
cf058871b3489116d0f99c5a3a6d37a1dee08364,"Update README.md

Update for pymilvus 0.2.8.",2020-03-09 20:13:56+08:00,True
20c7030d425e09a0f877b03f3a128a7a42bf076e,"Update README.md

Change “table” to ""collection"".",2020-03-09 21:15:58+08:00,True
96d9276e5940ff3feb3d74bdd15e286c14bef372,"update python doc link

Signed-off-by: Yhz <yinghao.zou@zilliz.com>",2020-03-10 19:05:45+08:00,False
044eff4fd9e9835d54d7679b1f3b159acc98cf97,Update README.md,2020-03-11 11:58:19+08:00,True
111f5c07ebd945f4cb40500eea57532fc18bb1fa,"fix typo in README.md

Signed-off-by: yhz <413554850@qq.com>",2020-03-11 14:23:14+08:00,True
c8ce03d1829f1a4ed35319160136e5c62a5a50c6,"fix incorrect demo in readme (fix #168)

Signed-off-by: yhz <413554850@qq.com>",2020-03-11 21:33:15+08:00,False
14a56a8469e0160b1e1672c84668a2369bb350f4,"update readme

Signed-off-by: yhz <413554850@qq.com>",2020-03-11 21:41:41+08:00,False
bfd6e55283739520ddc80af35ea94fdacc8b2102,"Prepare for v0.2.9 (fix #170, #171, #172)

Signed-off-by: Yhz <yinghao.zou@zilliz.com>",2020-03-29 19:31:00+08:00,True
d1da792256f4c101444b9aa951864408a787c0df,"update readme

Signed-off-by: Yhz <yinghao.zou@zilliz.com>",2020-04-15 14:24:01+08:00,True
f3e1324f758549c61d1ffb62271d77b2cd6f4053,"Update doc link

Signed-off-by: Yhz <yinghao.zou@zilliz.com>",2020-04-15 20:53:03+08:00,False
