sha,message,date,result
515410e1030c39afd3469cac4457a752f96a8fc5,Initial commit,2016-11-08 15:22:06-08:00,FALSE
49b896511220fef5f53f315ea1b7a0558197d986,Updated README,2016-11-08 15:43:11-08:00,FALSE
2c7db949ac51676d37394c512276c7c511be8eee,"Release notes local testing

- Enabled release notes local testing
- Updated documentation
- Added steps to locally test release notes generation with Mockito repository

Addresses issue #15",2017-02-26 09:01:49-08:00,FALSE
28d653344f8666f463b6df0cecc6d1e92b63c159,Updated the readme file,2017-03-21 15:04:41-07:00,FALSE
a0b2808dc60d2e4560b8bdbf1b9b051d22969eb6,"Updated suggested testing procedure in README

Updated suggested testing procedure in README so that it uses mockito-release-tools-example project and is simpler and safer.",2017-03-26 19:25:12-07:00,FALSE
de7b9e11a321b5ca234b258cf619b03e54794a6a,Added mailing list address,2017-03-26 21:59:04-07:00,FALSE
1ea03ca234a8dd6cd295970083823a40f71336c5,Improved README,2017-03-29 21:14:25-07:00,FALSE
965466df55f287eb0729d30106cc14474b032cd9,"Started writing development guide

Started with the private and public api distinction.",2017-04-12 15:36:22-07:00,FALSE
d12561ce0acea120e44ffeb75150e1c46c698b5b,"Added information how we are getting contributions

Added info on how we get contributions to the project, explained the use of ""please contribute"" label [ci-skip]",2017-04-29 21:20:28-07:00,FALSE
c4e61d568c2377b8a0959a35f63527d1b21b87a7,Fixed typo in README.md (#138),2017-05-11 16:36:44+02:00,FALSE
6ff5d4334f4698b40529324a7c154f43ba523c50,"Added note about ""Shipkit"" project

[ci skip]",2017-05-11 19:20:15-07:00,FALSE
16a21e1f5c4ca3fe5ea2991e28fb94c01ed77f5e,Added information about project history and plans,2017-05-13 16:56:18-07:00,FALSE
ef8401cc280e9232eec6684e6d20ef6fc09e1399,"Added basic contributing guide

The purpose of this is to document the design decisions the team takes.
Consistent set of design principles will help us execute the project.
The codebase will be cleaner and easy to work with.",2017-05-19 15:09:17-07:00,FALSE
97e8208b16a6e98f0ddad4dfed32eacfbc18f654,Fixed the testing instructions in the development guide,2017-05-22 22:58:47-07:00,FALSE
