sha,message,date,result
fdeabaf46145c6541671a32ca6a48004ad01f67e,MVP release r=smacleod,2018-08-08 00:11:57+08:00,False
a8d92675831f7999f67ea90c5d4ab4671d90930d,"Update executable name in README.md (#1)

Looks like the executable used to be named `review`, and now it's named `moz-phab`.

README.md still has a couple mentions of the old name; this patch updates those to say `moz-phab` instead.",2018-08-09 10:36:28+08:00,False
8e01263ccfee0d46595d60b6d3fcf752a114687e,add development section; remove py3 and add `black`,2018-08-09 11:11:53+08:00,False
ce677de0fb5baee02a09007a62c9fe4b3f708f05,add minimal install instructions.,2018-08-09 12:15:52+08:00,True
a708a4bb2db6cca70b84bcc4810576a53fc25888,"Add explicit installation and execution instructions.

Summary: Also remove references to the old script name (`review`).

Reviewers: glob

Reviewed By: glob

Differential Revision: https://phabricator.services.mozilla.com/D2983",2018-08-10 10:12:12-04:00,True
8e3cdf719cfc22fbe354d49efbc8ec74419d8a37,"Bug 1481526 - add windows support  r=smacleod,mcote

Differential Revision: https://phabricator.services.mozilla.com/D3185",2018-08-21 14:06:58+08:00,True
4ef207880c68c631dde631418dee857104487afa,README: `submit.warn_uncommitted` is now `submit.warn_untracked` (#2),2018-08-25 10:00:51+10:00,False
c70149fffd56db5a261c99a6096738c5d40d06fc,"review: configure arc command

Summary:
`which` is not always working as required when using WSL.
This patch allows to configure the exact `arc` command.

Test Plan: Change the arc.arc_command to different values and see responses

Reviewers: glob

Reviewed By: glob

Bug #: 1482146

Differential Revision: https://phabricator.services.mozilla.com/D3078",2018-08-30 12:48:14+02:00,False
ada09dd70f4b9656c4e30da612fa0192b823861c,"Add instructions for updating commit series (bug 1487191).

Summary:
Also include a note about fix-up commits not being
supported yet.

Reviewers: glob

Reviewed By: glob

Bug #: 1487191

Differential Revision: https://phabricator.services.mozilla.com/D5454",2018-09-11 11:31:28-04:00,False
1e1c82b4c5db18f76c6e8fa7ebe0ad100d3f0373,"Add bug-filing link to README (bug 1494966).

Reviewers: glob

Reviewed By: glob

Bug #: 1494966

Differential Revision: https://phabricator.services.mozilla.com/D7570",2018-10-03 10:45:11-04:00,False
38f15f241b780f4141b9a1930e142dd756080ef8,"Fix download URL

Summary:
Download URL is pointing to the `master` branch. It should point to the
latest release. This patch is doing so, but for the latest commit of the
1.4 version.

Test Plan: Check if the link is working

Reviewers: mars

Reviewed By: mars

Differential Revision: https://phabricator.services.mozilla.com/D10717",2018-11-02 15:59:49+01:00,True
c1d2ba543c743cff8d23e30a4c992e0012737cb3,"Download moz-phab from the latest release page.

Test Plan: Check if links are pointing to the latest release

Reviewers: mcote, glob

Reviewed By: glob

Differential Revision: https://phabricator.services.mozilla.com/D11006",2018-11-07 16:42:36+01:00,True
7a7d01ca6d03b2a6bb27739c3550b366cb4b2f9b,"Bug 1504534 - Follow local VCS `land` behavior in range selection. r=glob,dylan

Summary:
Added test_integration for Git

Note:
The update test is skipped as the generated commit message has an
additional line

Reviewers: glob, dylan

Reviewed By: glob

Bug #: 1504534

Differential Revision: https://phabricator.services.mozilla.com/D13851",2018-12-14 14:35:49+01:00,False
f38d4987398d0b416cae610ebaa0f132c346b363,"Bug 1520155 - Rebase feature branches in Mercurial with evolve extension. r=glob

Summary:

`moz-phab` is rebasing only the commits within the commit stack. If any
of the commit is a DAG branch point and is amended during the submit
process, the feature branch will not be rebased and will be left
attached to the obsolete commit.

With this patch `moz-phab` is storing the commits children when
building the commit stack and is using this info to rebase feature
branches in the `finalize` stage.

DAG branch points ca't be in stack if no evolve extension is installed.

Reviewers: glob

Reviewed By: glob

Bug #: 1520155

Differential Revision: https://phabricator.services.mozilla.com/D16558",2019-01-23 08:49:18+01:00,False
a406613debecf9a39c9805c9aa71a3e0d3d5a964,"Move link to Bugzilla into ""Reporting Issues"" section",2019-02-04 13:42:16+08:00,False
