sha,message,date,result
2eb15729ad62eaedba3c10f6f93124caaf474695,Initial commit,2018-08-12 18:12:29-07:00,False
e1ea68859edf366bfd68cf0d12a5f718d9303693,readme populated,2018-11-02 16:04:36-07:00,True
63adbe5c70420b9748072ccf47628145489580c0,note on readme about stability added (#76),2018-11-29 11:55:03-08:00,False
59aa8a5e37ec63d47c7057ade098fb34f9828f16,"Improve GitHub contributing resources (#72)

* update README

* update contributing guidelines

* modify PR template",2018-12-08 20:01:29-08:00,True
8769191812507bba3ae33f1812ce95db365a6e19,"Rename Napari-GUI to napari (#151)

* Rename gui/napari_gui to napari

* Rename napari in setup.py

* Update examples to use the new name

* Update README to use only 'napari'

* Remove mention of plugins in README.

When we have implemented the first plugin, we can add it back in.

* Remove various versions of napari-gui in repo

* Remove old style napari.yml file

* Fix Cirrus config",2019-03-03 15:16:43+11:00,True
8907e45e0a302538c1419ba4a29ce63f16674b06,"Update shields on README (#169)

Fixes #168",2019-03-09 08:36:51-08:00,False
ee8ce15e978c3d5182c4a7e35e673b06f1a1829c,"readme updates (#192)

update the readme to be more friendly to newcomers while still appropriately caveating the very early state of the project",2019-04-01 14:26:41-07:00,True
4e16e612406030f199a5c8fe40ea831f01f1202c,"updated screenshots (#244)

* update existing screenshots

* add screenshots for shapes and labels

* fix list of future directions",2019-05-03 14:45:49-07:00,True
4948e0302df3d704e8d913f6dfe6ea05b8f2587d,theme setting (#253),2019-05-10 11:31:43-07:00,False
e28442cae6f10cf4e93a260fa2ede2a05a0f0afd,tiny theme related fixes (#258),2019-05-14 14:11:31-07:00,False
a0060cf3fe038f17e69ff598c16e287c4d641d93,Refactor viewer syntax (#290),2019-05-23 18:11:10-07:00,False
01b8ff014a48f25e2e3e4666e27c1e367d4abe11,"Black formatter PR (#282)

* rtd theme, globaltoc added on side bar, warnings are only for docstrings

* contributing guideline update on dev-docs

* fix sphinx-apidoc command on CONTRIBUTING.MD

* merge conflict resolution

* initial black pr commit

* black integration and corresponding documentation

* pre-commit requirements version fix

* Update CONTRIBUTING.md

Co-Authored-By: Kira Evans <contact@kne42.me>

* fix on black integration and its documentation, removal of formatted code as discussion ended

* black version fix

* max line length added to pyproject.toml

* contributing guideline update upon review

* Update black info on CONTRIBUTING",2019-06-05 18:29:18+10:00,False
0260520c1d6b45c4adfbb871f6018d68c530ae5c,Change layers.Markers to layers.Points (#348),2019-06-19 12:37:49-07:00,False
6c1575ab3d40bc50c8f0bbc2a0b79a36da9f56c3,Rename app_context gui_qt (#392),2019-07-06 08:58:25-07:00,False
18041f51129f3726607e1e4afc5b0aade00bb3ef,modified multiple images overlaid figure (#399),2019-07-09 12:55:22-07:00,False
5c0c7ad718d2c5ea8ffbc262893d797dbea2a2db,update readme for alpha release (#402),2019-07-10 13:38:56-05:00,False
d1c99e30686b630590b5260f88627d7d86d6e0c1,switch to pyside2 (#412),2019-07-13 23:59:38-05:00,False
9e5ad5766377354a89bbaf388149c3598d6a1e55,move tutorials to napari-tutorials repo (#425),2019-07-18 19:05:57-07:00,True
a1e0e848e59eaac478a716f9e1216f21a96c05b5,"use codecov (#455)

* use codecov

* add codecov badge to README",2019-08-23 18:59:53+10:00,False
fb8ad527cc38977fea20c0276b9bc846d7c27a21,DOC: specify that IPython needs to be started with `gui=qt` (#525),2019-09-12 13:26:41-07:00,False
7dfb308f9c05cc4abcdf84dbdcb3c0eee48e8381,add multichannel (#528),2019-09-13 15:20:33-07:00,False
315ca2a85d81b76ae6e4c476638a184ad42686db,add view_* methods at napari level (#542),2019-09-23 20:31:17-07:00,False
b41f25e422d850615cd87bbdb344fa08381e395e,update readme for 0.2.0 release (#557),2019-10-01 14:00:34-07:00,True
2b7210260fe29509f32410e7fd0afe14d00b96ba,add code of conduct (#374),2019-10-14 18:19:26+01:00,False
346dbdad9c9506bbcf39403cce2ca29d5f268331,"Move docs (#602)

* move docs

* move gen release notes",2019-10-19 14:17:23-07:00,False
e28d412774d24b6c538f8cfa96796a3dcf65a938,fix_qt (#677),2019-11-11 09:30:58-08:00,False
112097fc35446d0ac9eceba74d3db82a0cfacbce,"Zenodo badge (#743)

* add zenodo badge

* edit citation",2019-11-28 16:57:01+11:00,False
b4eec93934d5791e7e85769924b4e27ddce513a9,clean up info box (#750),2019-12-02 17:15:45+11:00,False
d48dbd9afac9539224c7b7e9d3c29c88b67603c3,change language around windows (#779),2019-12-09 13:58:28-08:00,True
69f6afb42bbbf645fb943188b1494ecd5fd97fa6,"add governance model, mission and values, core dev guide (#655)",2019-12-18 15:56:15-08:00,False
c01024f151546f7a2ada9727572efb3e65fa4f0f,"Sphinx docs restructuring (create space for dev-focused prose) (#942)

* sphinx reorg

* update links in readme

* remove warning, open page on docs build

* remove concepts and plugin from TOC for now

* remove concepts

* move md to developers

* add release notes, remove private

* make the logo soooo small, you can barely see it ;)

* add back apidocs

* put announcement paragraph back",2020-02-05 14:17:56+11:00,False
208163e45e805370a404900c5fb9846126cfd07d,Fixes broken tutorials links (#946),2020-02-05 07:44:31-08:00,True
fa122dc87e10019b50bf0dfac4d273561b194ad5,remove confusing 'in-depth' descriptor (#949),2020-02-05 21:30:16-08:00,False
c1d5427b7bc392ea91d9ad8f01a5ea33ec026365,Roadmap for 0.3 releases (#1095),2020-04-15 09:20:27-07:00,False
