sha,message,date,result
73614cd4a9c3ad2dabd1957ebb9e4bc7ed81a7df,first commit,2015-12-25 11:35:20-08:00,False
2c64f1bae67945cec5473ea520e0bc84bc687032,Add readme and match examples,2015-12-28 23:44:41-08:00,False
76bf9ca217af9be78ae058f604c35e63d200e525,Update examples,2016-01-04 09:49:11-08:00,False
37690b29ed8684f7a36c8e50ea7a1f2b4760459a,Add travis-ci and test fixes,2016-01-04 18:56:34-08:00,False
ef62d1e52988ecbe862aa3cb12b7267660e7d290,Update readme mentioning Python 3.5.1 support,2016-01-06 00:58:49-08:00,False
89a47f99f1b00f9416f9729e7f5abcbf70225b3e,Bump version,2016-02-02 09:52:48-08:00,False
5745ff44908f19dfc8e6dc2e15e7e99ff7e1b534,"Update benchmark scripts

Port of some of the bench scripts from Ruby client",2016-03-19 19:50:12-07:00,False
9308941a0a71d50fa496f65e64e5afae6b06979d,Update readme,2016-03-21 02:46:43-07:00,False
70ffd5acf11919d321dd2d1beaa38c47a0632475,"Add async/await syntax example, update readme",2016-05-09 23:00:33-07:00,False
16cd7301d8d7122e9ac22a5d7a91ff7793fc6722,Update readme,2016-05-10 11:34:17-07:00,False
162b9965b98b66ece3724d15448c08e0c8616db4,Readme updates,2016-05-10 13:40:33-07:00,False
34f281204cafb6e4c4b9e232bbeacdc5e884a682,Bump to v0.3.2,2016-08-31 08:45:31-07:00,False
a4031daa08728928e9e0c2c8c0fe11e1c7b95d9c,Update readme,2017-03-28 08:58:21-07:00,False
5e911495187d3ea33eadc97fb304876ed2d13876,add tls,2017-05-04 08:27:20-05:00,False
6cf16cacb13f42a36a639792e00db7adf794272a,Bump version to v0.5.0,2017-05-09 00:06:03-07:00,False
da3c108f32c160c1094209b9b403cd474ef19f4a,Readme updates,2017-07-11 12:37:06-07:00,False
c687c74974deaa2470cb039a922ac490122fe3a3,Bump version to v0.5.2,2017-08-31 18:10:51-07:00,False
65d4a154b5a3f07d34f2341b5dbfeb849924a947,Update readme,2017-09-15 11:51:30-07:00,False
e1103c40b80487fb248325f3b05d2e1ac26d9aeb,Bump version to v0.6.2,2017-11-19 19:29:07-08:00,False
f273ff583d3d68811200fc22c6806d0e01fc318d,Update badges in README,2017-11-24 19:09:53-08:00,False
0df259b21c9d22be80ac9e11f97307e68544101d,cncf: Update License in readme,2018-03-26 13:44:26-07:00,False
a628fe0cdc253678c2aa159dc49763372fe8bf80,Update readme usage to adopt new request/response,2018-04-04 15:43:27-07:00,False
7cb7d9c49963945bb2c318f60d986452dc6cccce,"Change examples to explicitly connect to a server

Signed-off-by: Waldemar Quevedo <wally@synadia.com>",2018-06-13 10:51:58-07:00,False
b5962dcf8f4b8d6d2b00bf19fe99f42bfb699426,"Update readme TLS examples

Signed-off-by: Waldemar Quevedo <wally@synadia.com>",2018-08-15 09:11:37-07:00,False
e1996e7c4ae30daa63c49af20700d42fad1bd2f2,"Update examples to use async/await syntax

Signed-off-by: Waldemar Quevedo <wally@synadia.com>",2018-08-24 11:46:08-07:00,False
30ee5152bf641e30de6d50b61328ad6ce9acb4e3,Update readme.md,2018-08-24 11:56:25-07:00,False
