sha,message,date,result
f8a98ed4ef5d9665f9878e68b53c8f4bd0b57cf1,README.md edited online with Bitbucket,2014-11-07 03:04:10+00:00,True
935bc5abb1df04f4b22562971fff3780606b9fac,README.md edited online with Bitbucket,2014-11-07 03:04:10+00:00,True
d1b351a201a07dc452802193e1d9abbd58dea714,README.md edited online with Bitbucket,2014-11-07 03:12:50+00:00,False
2444f17268df7bc2182bee162c4bb2cbdab436df,README.md edited online with Bitbucket,2014-11-07 03:12:50+00:00,False
cef10456ebca5caa4f78ceb3a25d4e125212915b,README.md edited online with Bitbucket,2015-04-21 23:32:33+00:00,True
b958c4e00c398e938015f3722c33c61ff39e8609,README.md edited online with Bitbucket,2015-04-21 23:32:33+00:00,True
c895ba6df6b281bb65349b6d1df29ff05e67385c,README.md edited online with Bitbucket,2015-05-24 10:15:18+00:00,False
7e582c5f60606b12a15ce2ba4d909473e590458a,README.md edited online with Bitbucket,2015-05-24 10:15:18+00:00,False
4b6e05d11cd22b23c9ec058eabc48bcccbe9f29c,Update readme to have wercker status in it,2015-09-09 16:59:25+01:00,False
8fcacd7126d884a589cf0b7b1e960f29db8b5642,Update readme to have wercker status in it,2015-09-09 16:59:25+01:00,False
9964d33cc0752a294bdb689daf6de5f0b747f0d8,"Update wercker in README.md

[ci skip]",2016-03-16 14:32:38+00:00,False
3067dcdda5ffd554eab62f1b483ce64efdcaaa82,"Update wercker in README.md

Only show builds from master

[ci skip]",2016-03-17 17:31:14+00:00,False
7d14429d849bcd8ab8e67f91be79949bdda9d659,Update status badges,2016-07-11 12:38:43+01:00,False
fc6db5bff20bbe466acf6cc6f4234691798ee116,"Heroku Staging Setup (#250)

Heroku Staging Setup

Includes data generation",2016-07-13 23:19:31+01:00,False
3ce191aaf20d0a3f0abcc6ab81bcd1eb58ab0941,"Update README.md

Small adjustment to make GitHub markdown display the table.",2016-10-23 12:26:35+01:00,False
1f4e53ad27108cc024364fb6348f0b1c93aaad08,Add dependency badge to README,2017-05-10 23:40:48+01:00,False
fdce2fa53d24de5452d201a1018b5c180b7c0e2d,"Update selenium, use chrome for tests, and use sauce-labs for CI integration tests",2017-05-15 21:46:00+01:00,False
c0fe1764953552bb358254647442b876dd8337a6,Add docker dev instructions,2019-07-14 23:04:12+01:00,True
1480ae17faaea25c3e2356fecfa5b51c9b8f2ab6,CHORE: Update README.md. It was about time.,2020-01-13 20:24:16+00:00,True
3be06a7b250788f7317d3b4955220081e87f5572,"Create initial asset audit framework (#403)

* WIP: Basic work on audit

* WIP: Audit modal works

Need to get the ID search working.

* WIP: Javascript shenanigans for asset audit search

It's not clean but it works..

* Improve audit search bar

Optimise for APM!

* Filter asset audit list by never-audited

* Added cable functionality to audit form

Also improved styling

* FIX: Revert partialising of asset search

* Various UX Improvements

Also rearranged asset detail/edit to be more space efficient

* FIX: Remove assets from to-be-audited table when audited

Previously required a page reload

* Improve sample data generator

Does reversion properly and sets colours for asset statuses

* FIX: Gracefully handle 404s in audit search

* FEAT: Add buttons for some common defaults on audit form

TODO: Partialise those fragments and add them to the edit/create forms too.

* FIX: Fix asset sample data command when run alone

* FEAT: More handy buttons

* FIX: Stop quickbuttons being tab-selected

If someone's tabbing through, they won't be needing the buttons...

* FIX: Hide asset detail buttons for basic users

* FIX: Migrations

* Start tests for audit

* Some deduplication for testing code

* Improve asset audit testing

* Remember to test the tests Arona

* Potentially make modal tests more consistent

* FIX?: Up WebDriverWait timeout for modal tests

* FIX?: What about this way...

* Remake migrations

* Fix README badges to point to right branch

While I'm here eh :P

* Use aware time in audit

* Fix migrations again

* Fix for my fix...

* Modify audit exclusions to properly prevent data loss

* pep eiiiiiight",2020-04-14 21:11:09+01:00,False
