sha,message,date,result
61f78a403f6043926c8876a68faec9c80f8c2800,init,2014-09-26 20:46:40+08:00,False
6b1c6fb770d4790a9ce2512ea112629cbb23fdb2,write about examples in README,2014-12-22 00:57:53+08:00,False
c973991fb70da48c11e810ba7d3ae79272d9bebe,add usage examples for example script in readme,2014-12-27 15:26:12+00:00,False
9c12c628065ffbf8eb48149f385833891b7e64ee,fix example in README,2015-01-25 18:40:25+08:00,False
0504ab2b27bdb7488d9dd9ccf3eff2264a2a847c,fix example in README,2015-03-12 02:03:41+08:00,False
71f95b0451308338730e8ec0fd7c282220c6cd93,add status badge to README,2015-05-17 09:25:48+00:00,False
8aa652f9f62e74834bd13143367959cc8fc4ab98,add usage in README for hintsvm,2015-11-07 17:26:24+08:00,False
cb2f01b4b7aec8778e55b79d26e0ef598ad28019,Update README.md with installation instructions.,2015-11-17 08:28:47+00:00,True
a486c8ad36e4d0814fd20360d605af2d0592da18,"readme: generalized envvar setup, styles",2015-12-02 22:36:25+08:00,False
d1d62505024f518c0c1b18a4e14dc49ec867e311,readme: remove CI label,2015-12-07 01:25:46+08:00,False
a154784ff299e18dbd11492742b149d7637c72fe,update plot.py description,2015-12-08 23:49:12+08:00,False
39a05074597aba978da72a65783dcfbc903954c4,Use requirements.txt instead.,2015-12-09 18:24:35+08:00,True
296763bb4f916c5cb95aa7b8bda8ec124118c0c0,Homebrew's openblas is in homebrew/science.,2015-12-09 18:33:28+08:00,True
9d15cb19d8f87751e93748b57d3e62e2d4cf25da,Update README.md,2015-12-16 02:21:12+08:00,False
eb3c512cb7f2be6182691028643ea05932881c39,readme: update linux dependencies,2015-12-17 02:59:06+08:00,True
5959d15df0cd4c1a17f928134aac96ef1f4342f9,readme: update hintsvm url,2015-12-17 16:31:38+08:00,False
481280d6dc7c9842d0d820dadca1b35f9cff4378,readme: add travis badge,2015-12-17 23:53:34+08:00,False
8d33d3e2a77d46fafacb9d1290889e9559ae1813,Update plot.py description with labeler.,2015-12-26 21:38:05+08:00,False
85dda7f94697b02908cce458a26f53db668d0f0f,add introduction,2015-12-31 14:51:35+08:00,False
4a2354fa317d72a1d2552e9abeb2686c67e110bd,add introduction,2015-12-31 14:53:10+08:00,False
6ebe7d2d5ec3f82e17b16277f0482528707b1844,minor wording changes,2015-12-31 14:57:57+08:00,False
79c855f64bf63b76ba6a371f641d32c141c1a80a,add authors and ack,2015-12-31 15:02:39+08:00,False
e198bbae77eac8fa569cba97e564a2b092e8cc69,move HintSVM to installation,2015-12-31 15:07:19+08:00,True
809cff86cd82c8a11a32389756ab1eff9858f179,beautify author part,2015-12-31 15:11:05+08:00,False
747f9238a74bbfc79e59e8d9d7f4fed212857235,add temp contact window,2015-12-31 15:15:25+08:00,False
b61dc194bf7495df91f45b5301a9ddda419106b8,add citation point,2015-12-31 15:18:15+08:00,False
fe2eeea78f6cf5befe2f4d127062200f926eae11,also say about citing original work,2015-12-31 15:21:02+08:00,False
927152428beef6ce4772b4e3942472039289654f,spell check and smoothing of examples,2015-12-31 15:27:12+08:00,True
80df095a1c7deee2efc6a08daab5189d05d1906c,usage minor fix,2015-12-31 15:29:01+08:00,False
b99dcf23403c8c2c70b269c862623d5fd90a52e1,readme: fix python code block,2015-12-31 15:45:01+08:00,False
9f5495ed7d63d0f0a1b45e4526a6ea52b794ea2f,added python3-dev as dependency,2016-03-02 17:16:45+08:00,True
cb2124dda282b09fae9fac7acdd86c71b6835a74,Added readthedocs badge to README.md,2016-03-06 17:01:15+08:00,False
f63d43ecaa4cb1274d813d9ba27927430645cbd4,Add pypi badge to README.md,2016-03-07 13:34:58+08:00,False
2a7322533d2854f646ddb1a20c9ac47b6c4f8168,Update README.md,2016-03-12 19:02:37+08:00,False
e359a82e90aed297eca7d89011c8f554ae28c8fc,update hinsvm descriptions since we can auto install hintsvm now,2016-03-13 17:45:19+08:00,True
b217135b08c1abb0d439ddf9d3bc83dd1bd90a96,update pip installation,2016-03-13 20:46:32+08:00,True
0003a275283233295aef326084840472e820c560,update pip installation in README.md,2016-03-13 20:48:27+08:00,True
bdb55b85a2615e08014711014615dfa9f6dd585e,added codecov badge,2016-04-25 17:23:48+08:00,False
