sha,message,date,result
e8ccd5538c3bc1d36cea9324cda8c42612b59ccc,Initial commit,2014-03-14 09:02:10-07:00,False
9b7fb4b2ebe836d1a869e0f6745277e3b3d7d33d,Update README.md,2014-06-25 10:32:30+02:00,False
c17a4520982afa85a440178c72a9907a6021d609,Genera code,2014-06-25 12:53:25+02:00,False
628412aad6e31b82d16f3be178ff15e27b2651ee,Genera code,2014-06-25 12:57:31+02:00,False
9ceef26a6319c8a4440f5581ab91526e5b37c444,Genera code,2014-06-25 13:01:41+02:00,False
02d4e1dfca8686009fa958b2523c64f07be681ea,Genera code,2014-06-25 13:06:10+02:00,False
c73429b9b9ceb9fe3d3c849c71d86d238c4a756c,Genera code,2014-06-25 13:10:20+02:00,False
71bc01c8e8f53a97a172ef6337306fd24b02f84e,Genera code,2014-06-25 13:16:52+02:00,False
65014a544252a70fc5db06eee20eea24cfbe06f5,Update README.md,2015-07-21 13:52:44+02:00,False
9c36a73b6261a1c82d01235bab71e7ce5e47f07c,testing ssh,2015-07-21 14:23:20+02:00,False
8e47715c17af9b945f81fd1ac8c385c27eff493f,Update README.md,2016-01-22 16:26:35+01:00,False
29b048c4dace5a874da0128bdb9724da8f65e11f,Update README.md,2016-01-25 17:01:42+01:00,False
23d2e64c9db6325120dca011e468d1ac9db8e313,"cpbd + demos examples (dba, dba2, dba_track_ellips)",2016-06-06 12:03:35+02:00,False
983bd1d4dd7a6fa5f0d3c107beb9e8faa89fab8c,new optics.py,2016-06-13 17:50:13+02:00,False
40eeba88411dbb009f517af6c04e310bbd839403,new optics file,2016-06-14 17:59:38+02:00,False
15fadadcbecd71d91966e474d421d2d4a7d86f51,minor,2016-06-21 11:36:33+02:00,False
a5477d76df3b737840ed25d0f55d7a298a2274bf,changed multiplication TM on Particle.,2016-07-05 17:41:45+02:00,False
fc4f601488f9fa68dff27aef054bfc2fd90723a6,commit in the middle of something,2017-03-26 18:01:16+02:00,False
6cf625aba2955032a1ee6b41f5de7bd008df379e,middel version,2017-04-06 19:15:07+02:00,False
693432ba76fc8f51084f358e8849b6fe4edb5bc0,"update
WakeKick, Navigator, TableProcess",2017-04-09 18:40:22+02:00,False
3a03bf4aafb20525db4dae2571c1dac0642c9e9d,backup,2017-04-18 10:19:03+02:00,False
b0ac83abfd95dcc735b8ccb91a48f76f7b7c2772,changed in readme.md,2017-07-05 10:32:31+02:00,False
645388d97d344903a9ef3c8ad1e8db26969a6cbf,update readme.md,2017-07-05 10:34:48+02:00,True
