sha,message,date,result
11eb9d0c3f71c7838f83c152657dd9edaf8e563b,Initial commit,2019-02-26 08:43:37-08:00,FALSE
7a64e42c917e0ea7c07a5eb51476b8c02afaad2c,Minor readme fixes and add badges.,2019-02-26 10:33:57-08:00,FALSE
4515c2965c721d4e5ca12ecf6d9b0865bc802a48,"readme and contributing (#49)

* readme and contributing

* Update CONTRIBUTING.md",2019-04-09 11:32:29-07:00,FALSE
d28df8e87637f4d3d9060e6b0f240417be11112c,Update README.md (#79),2019-04-09 12:16:02-07:00,FALSE
f4d146216b5cd869887350dabf83f7c4f8cf4d84,"Add CLA and roadmap notes to README (#175)

* Add CLA and roadmap notes to README

* derp

* period",2019-04-22 09:16:27-07:00,FALSE
8267b1cae9534c977b85c1ba91ba5633ac705044,"Rename & test CLA (#237)

Signed-off-by: Yuri Shkuro <ys@uber.com>",2019-05-01 17:26:10-07:00,FALSE
ca0ec9dfa83fd8c4b1a9e4a5af3db75cf64c6cbc,"Replace everywhere OpenConsensus with OpenTelemetry (#244)

* Replace everywhere OpenConsensus with OpenTelemetry

* Fix javadoc references.

* Update javadoc exclude in the api.",2019-05-02 13:46:04-07:00,FALSE
23bd5891a0a477085fc9d41c85576dc7a6b9dfd9,"Readme add modules desc (#255)

* Add a small description of the components to the README.",2019-05-09 17:13:32+02:00,FALSE
d7b0bc92337c11411b7b924d4ee9a350c2cbf6c1,Update readme to reflect the new status of the project (#265),2019-05-10 16:55:16-04:00,FALSE
33a53abca8ed06f32dad7e7fc8265fdfd3b83711,Add codecov and maven badges. (#453),2019-06-28 13:27:51-07:00,FALSE
7ba128bbc1a191c70fbe5b5c3df4b65072d07482,Fix links in project structure section (#474),2019-08-06 21:27:23+02:00,FALSE
d55a07aa90d7254a91a4a4398aaa538a73ec6f02,"Add CircleCI support (#478)

* Enable circle CI

Signed-off-by: Pavol Loffay <ploffay@redhat.com>

* Use only jobs

Signed-off-by: Pavol Loffay <ploffay@redhat.com>

* Split runs

Signed-off-by: Pavol Loffay <ploffay@redhat.com>

* Move build task to template

Signed-off-by: Pavol Loffay <ploffay@redhat.com>

* Move build task to template 2

Signed-off-by: Pavol Loffay <ploffay@redhat.com>",2019-08-08 07:06:02-07:00,FALSE
792a6926500cc7ea3a884ad42a84d43302f984b1,organize build directions in docs (#537),2019-09-17 16:26:07-07:00,TRUE
79333431a820c0802d37809280771a87272f9a94,"Update the README. (#550)

* Update the README.

Include Release Schedule and Snapshots info.",2019-10-06 22:09:17+02:00,TRUE
5133f0482daefbd8dfe83f1dffb590f675e032eb,Update README.md (#615),2019-10-14 17:41:17-07:00,FALSE
0ac9478197fbc6a3c66f248fd37da0f95089fac4,"Increase version to 0.2.0-SNAPSHOT (#644)

Signed-off-by: Bogdan Drutu <bogdandrutu@gmail.com>",2019-10-28 14:11:57-07:00,TRUE
d75c017cf8cd9081ede4601f2ae2dbf96fecc159,point at the right place for the contributing link (#652),2019-10-29 15:26:34-07:00,TRUE
d1d27834c4d8534350a3ca88f7a912511d86c9ca,"Move the list of approvers/maintainers in the repo. (#759)

Signed-off-by: Bogdan Drutu <bogdandrutu@gmail.com>",2020-01-15 12:49:55-08:00,FALSE
a4e4e6f9c60a386521eb1dca2e2cef388b38a9f9,Move owners at the bottom of the readme (#760),2020-01-15 14:40:21-08:00,FALSE
84fee45281f089c66e95e1b276433d40b11055eb,"Quick Start guide (#869)

* Add initial description and configuration details

* QuickStart - First draft

* Wording

* Update QUICKSTART.md

Co-Authored-By: Armin Ruech <armin.ruech@dynatrace.com>

* Update QUICKSTART.md

Co-Authored-By: Armin Ruech <armin.ruech@dynatrace.com>

* Add quick start to readme.

* Apply suggestions of @jkwatson

* Address feedback of @arminru

* Fix example

* Address review comments

* Use opentelemetry website

Co-authored-by: Armin Ruech <armin.ruech@gmail.com>",2020-02-25 16:49:17-08:00,TRUE
f6638bfd635691d957391a97ad42620d39606a38,Update distributedcontext to correlationcontext (#955),2020-03-03 16:19:29-05:00,FALSE
3b65e7fd8ea9ed1c522309492c7cdf60a2a3b877,"Promote @jkwatson to maintainer (#1065)

* Promote John to maintainer

Signed-off-by: Bogdan Drutu <bogdandrutu@gmail.com>

* Update README.md

Co-Authored-By: John Watson <jkwatson@gmail.com>

Co-authored-by: John Watson <jkwatson@gmail.com>",2020-04-02 08:07:00-07:00,FALSE
010f6d5e01d18157fbee8713e4b023b4eff04729,update README with the latest info,2020-04-03 10:34:22-07:00,TRUE
c85de6ebf6cf629a6174b9ff0d5d36aa50696378,Update Readme with release information (#1095),2020-04-09 20:22:42+02:00,FALSE
0ce1a3882445b990e06bab8b02de4f2b9b5dfc4c,"First cut at a Zipkin Span Exporter (#1106)

* basic zipkin span exporter with some unit tests

* add tests for the configuration class, hook up a create method and clean up other unit tests

* add a README

* Update exporters/zipkin/README.md

Co-Authored-By: Adrian Cole <adriancole@users.noreply.github.com>

* Update exporters/zipkin/src/main/java/io/opentelemetry/exporters/zipkin/ZipkinSpanExporter.java

Co-Authored-By: Adrian Cole <adriancole@users.noreply.github.com>

* Update exporters/zipkin/README.md

Co-Authored-By: Adrian Cole <adriancole@users.noreply.github.com>

* apply PR review comments

* Update build.gradle

Co-Authored-By: Adrian Cole <adriancole@users.noreply.github.com>

* a little bit of cleanup from PR review

* implement shutdown and provide javadoc about the closing of the Sender

* don't set attributes if they're already set.

* formatting

* grpc tweaks, and an exception thrown

* Update the comment to be a little more accurate.

* formatting

* Update exporters/zipkin/src/main/java/io/opentelemetry/exporters/zipkin/ZipkinExporterConfiguration.java

Co-Authored-By: Adrian Cole <adriancole@users.noreply.github.com>

* Update exporters/zipkin/src/main/java/io/opentelemetry/exporters/zipkin/ZipkinExporterConfiguration.java

Co-Authored-By: Adrian Cole <adriancole@users.noreply.github.com>

* doc/naming cleanup

* simplify the builder, provide two simple factory methods

* strip out the endpoint logic and instead get it from the Resource

* formatting

* restore the serviceName option, but keep the Resource-based override.

* update for changes from master.

* remove factory methods on the configuration, and update the README

* update the docs to match the requirements

* fix a typo

* tiny re-arrange of javadoc

* Add zipkin to the top-level docs

Co-authored-by: Adrian Cole <adriancole@users.noreply.github.com>",2020-05-01 08:42:40-07:00,FALSE
9091bc429617f4b7840f01608d71e5e5df228bb0,"Update owners in readme (#1226)

as per #1222 and #1223",2020-05-15 09:22:16-07:00,FALSE
c558a9651b86b6b69a61a4cc7e9148991d59c03b,Rename contrib to extensions (#1335),2020-06-17 16:51:14+02:00,FALSE
b7af378abc7f753df08dd60e8398151241970624,Update the docs for the 0.6.0 release. (#1394),2020-07-02 19:18:13-07:00,TRUE
78ed6490ba47568f5241604ea34f18d3ae6f3c4a,"Propose @anuraaga as approver (#1451)

* Propose @anuraaga as approver

Signed-off-by: Bogdan Drutu <bogdandrutu@gmail.com>

* Update README.md

Co-authored-by: Anuraag Agrawal <anuraaga@gmail.com>

Co-authored-by: Anuraag Agrawal <anuraaga@gmail.com>",2020-07-29 19:15:47-07:00,FALSE
b002d752120ae2e42dd9b7efeab2f8800d0957f5,Start 0.8.0 development cycle (#1497),2020-08-03 17:07:13-07:00,TRUE
933e90db9b2b5473e2d43cd20a6b35339ace0887,Belatedly update the README for the 0.7.0 release (#1537),2020-08-14 13:23:13+02:00,TRUE
8b81baff9c9d25c54289dd7a446909389205b70d,Update readme to be consistent with other repos (#1615),2020-09-01 13:20:26-07:00,FALSE
225acce822908ee62b59041e5b463fc9d8faca6f,"Update the README and CHANGELOG for 0.8.0 (#1614)

* draft of the changelog for 0.8.0

* add the proto/otlp exporter update

* update the README for 0.8.0

* a couple more updates",2020-09-01 13:25:33-07:00,TRUE
cb73ccc4e7cd216bb7047773bd672f40c49a3ae3,Promote Anuraag to maintainer (#1629),2020-09-11 09:40:12-07:00,FALSE
