sha,message,date,result
e77ffcffa5344a84065e4b965ba959550d316d29,Initial commit,2014-03-06 11:03:48-08:00,False
71510d55727b3a6ac05855199ce4fb5d6d7696c2,Update README.md,2014-03-06 20:59:10+01:00,False
cabeb98e693fb4ba07d05d92aea8dbb56f694b5d,Migrate from Google Code,2014-03-10 21:08:46+01:00,True
3bbb1551d17a68e1c2c5ac593fc7d12a9c6c9beb,Fix links in intro.,2014-03-10 21:11:17+01:00,False
e16533d6726b1185edcc0b51648fc1864c658ebf,bold,2014-03-10 21:14:54+01:00,False
9d2851ea55157cc4f825a49892c2bc126993d672,Link to migrated wiki,2014-03-21 06:28:34+01:00,False
148351d9076cdd5b975d5dda388eaef6fb965949,Link to migrated wiki,2014-03-23 21:53:35+01:00,False
85ebdcdb533b28c8598e0df46ea0d023c92be3b1,Migrate change log to github.,2014-04-16 17:40:04-04:00,False
f1156b7132b5f839e696d418c79f3fb07737e65b,Updated some links.,2014-04-16 18:38:14-04:00,False
fa773cf09d0cc6eef4d12001a1615ee0373aa1f6,"Remove ""is being"" from ""migrated""",2014-05-27 06:35:42+02:00,False
99d6895e5d7b37cc43dd795ac2622b8d456a26bc,Add a link to discussion group,2014-09-02 09:55:36+02:00,False
067c81c9d868677bc7b325c3d588fb7c2e270580,Add link to javadoc,2015-02-26 19:35:39+01:00,False
8a545d8813d20b95bf282affd3e52a13db01e6e7,Create README.md,2015-03-26 22:38:45+01:00,False
3a4b7df8dd5750ce23f60a9027c7ab268549f7f8,Update README.md,2015-03-26 22:40:49+01:00,False
e40894c868f9146bb19a563f6b20326d349f7a0b,Update README.md,2015-03-26 23:08:34+01:00,True
1aebf11e7f39f6cf17dee23b8ee68e72f83c20ad,Update README.md,2015-03-26 23:15:29+01:00,False
8c2e68135d0d4020bb62d277621e0a5286783243,Update README.md,2015-03-28 13:55:06+01:00,False
ef8cfeb9400186e3d6f3b053750ee184ad2935aa,Update README.md,2015-03-28 14:15:52+01:00,False
48e3c1d6806f2fe79725da03cdc501f5e48b3521,Update README.md,2015-03-28 14:18:42+01:00,False
50cd84fda28e3652a58ec533263cda59dc8dc025,Update README.md,2015-03-28 14:20:17+01:00,False
e97eecb3843aa138c05a3582cbcf021d99d0ad14,Update README.md,2015-03-28 14:23:02+01:00,False
256cf8d6c32dbc95ed904e73d3f2c9253b636c30,Update README.md,2015-03-28 14:28:41+01:00,False
f99a42e6490c0c588295279c1a96bfe2dd7d9366,"Update README.md

Added examples",2015-03-29 15:26:33+02:00,False
75df94f038e969d8a6431773f16de58463102c2b,Update README.md,2015-03-30 23:09:37+02:00,False
c368f85f37c497f08a206daf3fdbe59b433fe9d0,Update README.md,2015-04-08 13:38:26+02:00,False
51025d9534a87bb3cc837ce5b8c7a98a558d1b25,Update README.md,2015-04-08 13:39:29+02:00,False
12c70896f094855397e1786a0f30cd49ad90af95,Update README.md,2015-04-10 16:05:35+05:18,False
e07d94765fac830ea0f603495b995c6706a373cb,"Update README.md

Fix #150",2015-08-13 16:22:49+02:00,False
cd201fa59f1d38d595b58e5c5e8facf9e271c453,Removal of an LGPL Licence constraint,2015-09-16 13:40:32+02:00,False
c959a5a0e6826787f2036e707a1459c16db437e5,Update README.md,2015-09-16 13:41:31+02:00,False
fbbcfd0645f0c781a219f15f89f9034090164b80,Update README.md,2015-10-18 09:48:35-04:00,False
c69ad18eb500e103dcc2ebeda2ce97b7d0ad13a6,updating the readme,2015-11-12 18:31:53-05:00,True
da0ac46394610e632951b29a8fd91a1705dc3ae4,Update README.md,2015-11-12 18:32:38-05:00,True
dcd485ff5dba5d9f820479937f7bba275d6de7ae,Update README.md,2015-12-05 18:30:33-05:00,False
67a37c6cac98b1bf0ba5238492332da6eab77c41,Update README.md,2015-12-07 20:15:04-05:00,True
f9266fb9d34a8a111ec1d712a33b39477403d508,Added modern screenshots. Corrected markdown syntax for improved compatibility.,2015-12-09 09:08:34+01:00,True
743b87bb8ac3736581f3ea220d44a3580c3730b6,Update README.md,2015-12-16 22:41:35+01:00,False
85e094a2b596a120cb3822f7a27522beafdb61bf,"Tweaked ReadMe.
TravisCI only builds on new pushes?",2015-12-22 10:04:03+01:00,True
4382ac81e20289c855338fd483c39ff3a2fe621a,Further testing of Travis,2015-12-22 10:29:11+01:00,False
fb8a9d476468863e29ca8568223a715173545a64,adding travis build status image,2016-01-03 16:25:43-05:00,False
acf5a4e68f1ea20c5ff4fe646b6d5772094c2b71,adding travis build status image,2016-01-03 16:26:30-05:00,False
20749b69f89edd73da5b7ae184259b18906771a8,Revamped readme to be more concise.,2016-01-14 10:30:18+01:00,True
f5e7488b4001f7c184e0c11bfe11e46b94321eb0,Update README.md,2016-01-16 21:22:23+01:00,False
cfa77b3b11c1ffff9d2cb0cb5afcc1c550ebb4b0,Update README.md,2016-01-18 18:08:17-05:00,False
e26ce87613c6a47a5225b5572b6e6c71894c8fd7,Update to version 5.1,2016-01-24 22:26:22+01:00,False
