sha,message,date,result
f982459df0e6a262c1a84e89ec36eb5ac34c88b5,v 0.1,2014-07-10 12:26:01+06:00,FALSE
543e56cda3f8ed3d0f06d87c66100cf0aa74471f,How To Use,2014-07-10 12:32:56+06:00,TRUE
8f5d2d0b1d836241d8816435d06c48c04ee30820,update,2014-07-10 16:40:28+06:00,FALSE
185646573678ef0b8a1ec7257bf0885ce01f826d,fix errors,2014-07-10 18:12:25+06:00,FALSE
c982b7e4b88641e66f903769e4a3b1bab5a40a92,update logic v 2.0,2014-07-10 21:02:03+06:00,FALSE
d37e8722ba8a3bec5914723698b7592ff29f7367,fex requirements,2014-07-11 18:57:42+06:00,FALSE
5be888874dc04303a9aa27ca6d0b251d55453b34,fix test,2014-07-12 00:20:45+06:00,FALSE
490d55ae1586835850d833b2a41a5643df9d719d,"python 3 support
docs about tests",2014-07-12 02:00:05+06:00,TRUE
ac24e37c634bde76f966bdd378cbcc2847b966e5,fix README status img,2014-07-12 02:01:31+06:00,FALSE
db97c39b40820bc9cdb295682577abd4af7b6b1f,fix README status img,2014-07-12 02:02:16+06:00,FALSE
a42f3486c13f8ebb8ea9d9b25318330b5e938057,code cleaning,2014-07-12 02:28:19+06:00,FALSE
9e9cdb267f17d03c1bca4ac1aa6fc7f2ff3217f7,venv docs,2014-07-12 03:56:30+06:00,FALSE
ae0d99e6ee80fdbc9c285fc861bed2300db157cd,merge,2014-12-02 01:53:46+05:00,FALSE
7bebb96faf191e035cd394b975c0af2b8df94709,django 1.7,2014-12-03 01:01:18+05:00,TRUE
d2ad56206529efb689b077c3cc28c1c6a3786a13,"Update django version, use invoke, use bower, remove legacy, simplify",2016-08-31 01:55:26+05:00,TRUE
dfc4d751f0ad08315007535b301e25df63d93952,add screen,2016-08-31 03:39:38+05:00,FALSE
521d0353f5ca2579d462435d6c5c6b472a29bc34,README.md: actualization,2017-09-18 12:49:07+03:00,TRUE
9c79e6357b88f2cdf74135f571d759527cb1ac74,README.md: actualization,2017-09-18 14:23:02+03:00,TRUE
40a345057c8621b28609bf4273d5f7a1eca3f6e8,README.md: add PhantomeJS info,2017-09-18 15:25:40+03:00,TRUE
a4beba667cf2f134227d6a195d26ebff5b55d2ac,Update README.md,2017-09-18 16:58:58+03:00,FALSE
a855a6b98d6bba544f812d1ddb0c3c01893e67cd,"README.md: add notes about setting_local.py, create and migrate database",2017-09-18 17:29:06+03:00,TRUE
314fcf440147ea5a2ac5754318ebcca88fb9e914,README.md: short feature list,2017-09-24 03:29:41+03:00,FALSE
29f446ffe1c7d2cb6d53666c032e97314acb0a2d,security: hide SECRET_KEY,2017-09-27 12:02:18+03:00,FALSE
eabcc4d2de63735d4f0374236bbe787f99d0c1ad,Update README.md,2017-09-27 19:28:15+03:00,TRUE
e61f480bdabb2b4c9cbba01dac2530be8d2640a8,Update README.md,2017-09-27 19:37:32+03:00,FALSE
e770decded8d7e26721b05094e33dba336021061,README.md: more info,2017-11-21 14:09:46+03:00,TRUE
eb2d73cf03488fcb602c3c4b540a60eebe857780,Update README.md,2018-01-24 14:23:36+03:00,FALSE
a1465bbe07d599ab268e6baa65c2b4009550ef0b,README.md: real ci status,2018-01-24 14:26:54+03:00,FALSE
4a85f7d0bbb990eb9c421c99007d8cf907535873,README.md: remove useless docs,2018-01-24 14:29:38+03:00,TRUE
39227a5982077162d3def29b7e89fc2c7e37ce63,readme: update python version to 3.6,2018-07-02 13:58:32+03:00,FALSE
89e4f987b11079f206e375d82a31462a0111a7cb,pytest.ini: add doctest required flags and move options to file,2018-07-19 14:13:04+03:00,FALSE
33b89b374b8a26e24c5d8814996913cc1019ee9f,lib.codegen: init readme,2019-04-12 22:20:05+03:00,FALSE
449cb621e71262b57749f2064c647007af2dbc6a,README: simplify docs,2019-04-12 22:22:57+03:00,FALSE
198d34caf7f67d49385c8d9a6db36461c5c21ae0,docs: lib.integra examples and docs,2019-04-15 11:03:40+03:00,FALSE
cb41cc5e41a79728d91045d32fecd3e1e2cc596f,Update README.md,2019-04-23 17:08:53+03:00,TRUE
641d9a3386951df369f86ae4a61bce95dee871d1,Add known issues to README (#339),2019-05-17 16:56:42+03:00,FALSE
