sha,message,date,result
1c64e19200b2629fddbf32cff44721e11468613f,Initial commit,2014-03-13 17:54:13+00:00,TRUE
95c215b2c2ed6d2f3a678b0848e1ac7aa209dd21,"Update README.md

Fix the screenshot markup",2014-03-13 17:58:11+00:00,FALSE
2ddaa85754d4c4f76c11bdab05eacee8eb329dfb,Update README.md,2014-03-13 18:00:07+00:00,FALSE
a3ef7a8a1a4f9dbbacfbb24c3d979205b28da25b,Update README.md,2014-03-13 18:32:10+00:00,FALSE
ed7ed3658412c7ec3678bf2489651a8a677723c9,"Update README.md

Fixed standalone code sample",2014-03-14 10:33:18+00:00,FALSE
ccdb5cc60b8c19c33b564eedda150665ab0e5669,Updated README,2014-03-27 13:20:42+00:00,FALSE
b2088d9d68f13296f92a43f05e2e6760392e045c,Updated readme,2014-03-27 15:30:54+00:00,FALSE
cef3095c3832cb00524944b9a0848bd393f77fae,Update README,2014-04-07 11:41:40+01:00,FALSE
2edc0f479908e6315a5d748c2841dceca9581de4,Tweak README,2014-04-07 11:46:31+01:00,FALSE
7cccfd2ab6f8f21cbab028442d539b01920be54c,Update README,2014-04-07 13:17:13+01:00,FALSE
aebb6e8a768ec74b77d7b5bc1b82ff3fdc397122,Update README,2014-04-07 13:22:01+01:00,FALSE
096c80d6de780409890afdbe05d9488814ff700c,Update README with command line API,2014-04-07 18:46:12+01:00,FALSE
3b6ea8e6cf7d0bda9031f5b79917379c0669f1aa,Update README,2014-05-26 10:23:04+01:00,FALSE
31557999f9385a0c6229b62302480c185c0f859f,Fix README formatting,2014-05-26 10:27:32+01:00,FALSE
a8b9e31030eb80fe2525dfdf15a946ebb59403e7,Update README.md,2014-05-26 22:43:09+01:00,FALSE
dd98fc6f10597b911ebf61f5eec0b463abf1cd65,Add screenshot link to README,2014-05-26 23:07:09+01:00,FALSE
236ac107af3d321b3573f8269b0d663390fe0529,Update README,2014-06-04 17:48:43+01:00,TRUE
05f673d18e8a552599f0c0c1a4ba7f2e073d2b2b,Update README.md,2014-06-30 19:26:55+01:00,FALSE
c4e92b40881d0f81a93e673d4eb13734377334fb,"Update README.md

Add TOC
Fix #19: add information on PYINSTRUMENT_PROFILE_DIR",2014-08-06 12:46:59+01:00,FALSE
7b1ec8edcd55f29d623f7a104bfefc2126148fe2,"Update README.md

Add changelog
Minor fixes",2014-08-07 12:25:06+01:00,FALSE
b78979fb28f660aa98f942c270005679ceec4e29,Update changelog,2014-08-20 15:22:25+01:00,FALSE
357672c377505de45e4becfc72cc64cdbfc5595f,Update README.md,2014-08-20 15:27:26+01:00,FALSE
593f720a5e517d1cbaa1afe1dae42c48f21d2340,"Update README.md

Don't think we're so young any more!",2016-03-14 10:32:26+00:00,FALSE
b2085ba008769c4b99b194c7acbac3247ffbb0dd,"Update README.md

The package is on PyPI these days!",2016-11-14 19:05:24+00:00,FALSE
be6b81886e384d6b8e6114034fca8c3a132eaeba,Fix table rendering in README,2017-04-30 15:38:00+01:00,FALSE
a7a7b380295e4b1ad651fe45423cc987a123cf8d,README updates,2017-10-21 19:13:44+01:00,TRUE
3d76ce25055818758bbabbc3eb731274c1d045cb,Update README,2017-11-18 14:09:59+00:00,FALSE
2bfd04cd95a7e20f707112286e0113f1dd29c22b,update README markdown table,2017-12-01 15:41:12+08:00,FALSE
7098a8695159b6ee7168599f5ad12721b5f15a46,Improve usage docs in README,2017-12-15 16:14:42+00:00,FALSE
aed6d9744f29f8d876adf91d0e10e3f4ee53e71f,Readme tweaks,2017-12-15 17:15:11+00:00,FALSE
15b94a63693837b97daea60e717ae835f77b7635,Fix typo in README,2017-12-15 17:40:16+00:00,FALSE
041c8e731d6f9f6f526eba24943a1ebaa6bba01c,"Update README.md

Fix version number typo",2018-01-04 22:08:14+00:00,FALSE
37bbf8135e9489cfb111ee6266ed9516143a08de,Update README.md,2018-01-04 22:08:52+00:00,FALSE
891616c855ec952f9c8ace3baba40d9914b3e68e,"Update README.md

add intro para",2018-01-04 22:14:13+00:00,FALSE
6cb4a5d14b3c943557c48845aeb3ac37f982b9a2,Update README.md,2018-05-20 13:42:05+01:00,FALSE
9e9ba64ed4516575ef72ce8eae433c2c14e17b1c,Add information about profiling Flask application,2018-07-07 10:24:31+02:00,FALSE
326c493463bac109b4310d553e16ec4e17e32cd6,Add link to Flask section,2018-07-07 10:27:47+02:00,FALSE
2360c4fa00454d0f70a3903e9ced44f510c02564,Update README.md,2018-07-17 18:09:17+01:00,FALSE
42e16de507316fd338a408bb349e5782eecadab5,Update README.md,2018-07-17 18:10:23+01:00,FALSE
0333fbe738acdf98de8f60b2f5bede58d1732737,"Update README.md

add a couple badges",2018-07-18 13:22:51+01:00,FALSE
e30126adf2feb01ad5cde42fd4e27791a969848b,Update changelog,2018-07-18 13:32:59+01:00,FALSE
a0eaae6f72c82c34c1edec2bf03e3b9ffdd8b368,Update README.md,2018-07-18 13:42:03+01:00,FALSE
6448ccb22a896fc079e7c7c322ef81954113ff27,Update changelog,2018-08-04 15:59:26+01:00,FALSE
e02b4d81991b337cb43a5988ec485801a35f3c05,Add contributing instructions,2018-08-14 09:26:49+01:00,FALSE
20115a409455593637f80157eeb7feb867d1e36a,Readme updates from help text,2018-08-25 22:33:20+01:00,FALSE
505159996a78937adb30fddfddf5807bd85d43a9,Update changelog,2018-08-25 22:39:17+01:00,FALSE
ec10b98d59bbfc425555aa96bf123cbc1c9dacc8,README update,2018-08-25 22:47:54+01:00,FALSE
1e59c0f6720cdded072e53c2bfe4f252532dedc0,Update changelog,2018-08-25 22:51:21+01:00,FALSE
