sha,message,date,result
98581dadc992b712d6b3f2843794195b537e0bdc,Initial commit,2014-12-13 21:58:17+05:18,False
912bcd40b602b657b75666dc70036e652d2f3141,Update README.md,2014-12-13 21:58:51+05:18,False
03cf32d0eb6c1e2e668f6e23be05a75b2661a51d,Update README.md,2014-12-19 20:20:56+05:18,True
4d1142d6871615cdd0b207e9f448e44b8b1cb152,Update README.md,2014-12-22 20:34:44+05:18,True
0dfe4f625b1ba94586951a5352b17e9b52e7927c,Update README.md,2014-12-23 22:21:28+05:18,True
f22ba796cbf2816c899cdc01a60118f8a7252c7c,"chore(docs): remove 'syncdb' instruction from README.md

syncdb command is not longer required in django >= 1.7",2014-12-31 12:05:21+05:18,True
67aa7eba1f7f213a4f45443d22eb71eefe250e6e,"style(PEP8): add travis with PEP8 integration

- add .editorconfig for consistent editor settings
- add flake8 settings
- add travis.yml for running flake8
- fix PEP8 voilations
- removte `tests.py` from individual apps, planning to have a central
`tests` folder instead of distributed ones.",2014-12-31 14:05:06+05:18,True
b195fbf47c7e74353330d6ad01d735da7ef00b03,chore(docs): add build status badge,2014-12-31 14:40:49+05:18,False
0988168f0b42a7fa2f3d685167ef309372bd913f,"chore(setup): add sample data generator

- add database regenerator `regenrate.sh`
- add `manage.py sample_data` management command
- update readme.md",2015-01-09 13:22:51+05:18,True
fcf5acd9a92f19f854b20f42d3822affa8f6a00c,Added Gitter badge,2015-01-10 18:55:24+00:00,False
c1a08824498e702a95c33907ddd9c1f3b8d53203,Update README.md,2015-01-22 00:04:59+05:18,True
dae152a7a2a26fa167d86b127932d0ebb21fdc59,Update README.md,2015-01-22 00:06:19+05:18,True
574e3b259db49ec138460ff87f9fea3b3124176f,Update README.md,2015-01-22 00:11:26+05:18,True
cad6273bc9b6fa816b621a61c302ce1449523ba9,Update readme to include frontend documentation,2015-01-24 03:53:55+05:18,True
749c923aac03fb2fbf78afb93449f21c9e9f095d,Update README.md,2015-01-26 23:18:45+05:18,True
96fe3e93f10ad7a187ef4c483df1a8ed007c2c17,chore(readme): fix local setup admin url,2015-01-29 20:41:10+05:18,True
6c232cd17616a699cfde4b307fbed9dd0d69477e,docker + fig based development environment setup to run celery.,2015-02-06 18:44:04+05:18,True
f46972ea01e1eeb9ac017542c3f7082aadf90189,Update README.md,2015-02-08 11:30:57+05:18,True
6da6e9fd5c695eccb7c173fb0a6d049f6b4b772d,"add initial documentation setup with index and release_notes

Available at https://pythonindia.github.io/junction/",2015-02-08 12:37:14+05:18,False
