sha,message,date,result
258c3e16bbbe5a48ee5f128306e9b57cce38813c,Initial commit,2014-01-16 18:09:45+02:00,True
a70359a4ea867c047e99d8d0626e1fd226ca0b95,Update README.md,2014-01-16 18:11:41+02:00,False
036ddef73f6bcc4450a14888de3b559e23937e7b,"big improvements

hazelcast to localcache
periodic collector for localcache
batch analysis for cassandra
mvdl for field and filter scripting
many more improvements…",2014-05-21 18:17:51+03:00,False
3972c29506ee4ad7b55698a5dc12d0bc02ea1bb1,completed non-group tests & refactorings,2014-09-28 19:34:55+03:00,False
1f4a28caeac91bd37634850a599bd401cfe40734,completed tests & implemented merged time series,2014-10-11 00:52:19+03:00,False
4cd42770ab4dfe1d289ea5856cea18724d648a6d,"switched from vert.x, hazelcast to netty, kume. yay!

everything will be great, just keep working",2014-12-31 01:19:01+02:00,True
65e9f09b6bea4c1ccdfbee8b2965beb57835de04,refactored readme,2015-02-15 11:35:20+02:00,True
021741be9d8ed61936b5f0d022117743db689075,transforming arbitrary json data to avro data,2015-02-18 00:53:42+02:00,False
5e0c69917c6bb1d50f2d48f30473cc122a39e4d9,fix typo in readme,2015-04-10 07:55:21+03:00,False
ef53270853d8943f846e53a88c44e8b0362f0049,add waffle.io badge,2015-04-18 16:57:06-06:00,True
85afce2bd84879caa8f059f25300ae588e2f9f4f,Added Gitter badge,2015-05-08 15:15:45+00:00,False
d23e77445a7b503913537005d79ed41dbf0af4fb,"added heroku button

the project needs documentation asap.",2015-05-10 22:58:11+03:00,True
4752d626b8e4d858f4dbbe281dcab046e9166a69,readme fix,2015-05-10 22:59:11+03:00,True
4e2e6a41bd5cff45d3c98e3aa68fe4ca4d479d38,readme indentation fix,2015-05-10 22:59:58+03:00,True
dc6687e3357d75f3f8e048a762d9d4345a0d3c08,added badges,2015-05-11 00:10:39+03:00,False
a86c619ce53338c18dcc2a56ba29776b17e75e02,use variable for versioning,2015-05-11 00:18:39+03:00,True
4888e45301fe32b786e7b9b98ee2b956b5352a9a,added travis,2015-05-11 00:29:50+03:00,False
6976fdad85ae5bb28d8bf5df8f30842127f1592d,Update README.md,2015-10-08 21:27:10+03:00,True
ce2c1097b38de7c0df628bcf817b98422a47015a,Update README.md,2015-10-08 23:27:09+03:00,True
50e5a4daf87dcd8f7250f9cfa4d6de9be663ad09,Update README.md,2015-10-08 23:43:22+03:00,False
8e589cf003cc49b17412c31c315e74f8c7649898,Update README.md,2015-10-08 23:44:16+03:00,False
b28cde9b9c954666adac976a7e30fec41dd33c1d,Update README.md,2015-10-09 00:59:26+03:00,True
04bc7dc66640c3ce4f259d474cdb1b98ef6954ab,Update README.md,2015-10-10 20:20:04+03:00,True
12271d02b05ca1ac0ee404791ecd441d9cce5b7d,Update README.md,2015-10-10 20:22:03+03:00,True
12762eaea3fb3afd018b45e2cf6a71e8b58f062b,Update README.md,2015-10-10 20:29:37+03:00,True
90aaff52aabd37cc9d680cd0ee8af9c46c2dd5ef,Update README.md,2015-10-12 03:33:31+03:00,True
734efe1e64d3d325d36b5e365b8b65d3512d309f,Update README.md,2015-10-12 03:34:37+03:00,False
c65de6f8938a59413d401b56146c376e64cc429e,Update README.md,2015-10-12 03:34:50+03:00,False
9a107c5d6d08178f3e48b85b5293fc51057c01d1,Update README.md,2015-11-13 10:50:40+02:00,False
99f19041d98d8220bc0279b911ce94a021b016e5,Update README.md,2015-11-13 10:51:28+02:00,False
785e8f146ee15f658477d183b276559321a6cb7e,Update README.md,2015-11-16 18:00:27+02:00,False
d7e3c9d19b0a010d7ba9f1191e3f786b0d23cecb,add support for olap table,2016-03-10 14:36:13+02:00,False
bf1c87f4e2bedb9beecc3bc228c4296182c74183,update repository address,2016-04-03 23:49:02+03:00,False
916f8ad9695643fc9f8d40d8d9bb9ed6eb55ef12,[WIP] Added ClickHouse deployment type,2016-06-24 23:31:47+03:00,False
29d9fb2d09f41250ebf0a6d2c38eeff66a63b114,Fix bug in login service,2016-06-26 07:27:10+03:00,False
e32a92e99792ab534b36599ebc441d57926b43e5,added docker compose,2016-07-19 15:55:01+03:00,True
12a23f859fc8e2dd9e866ce420062e5963363d21,update netty-rest version,2016-07-20 01:14:28+03:00,True
fef046648eda5a974dc3c2cf2a5d0ca3e0d6cfdd,fix swagger version,2016-07-20 02:38:17+03:00,False
63281ddef9b31a697d41063cf696db4ac199a09b,start postgresql and rakam containers explicitly,2016-07-20 05:24:09+03:00,True
adbc12cf776fef481e64dc0d4e5ecd1786aa3863,configured flyway and added google login,2016-07-24 10:54:30+03:00,True
d0cfe3c9c05de8f1c3380186b0adc360d20c1795,added docs for cloudformation and custom deployment,2016-07-24 18:41:09+03:00,True
