sha,message,date,result
55b32114df9c157c00c1bd74a19d5e47d6b220de,/home/mernst/bin/src/finishGoogleCodeGitHubWikiMigration/finishGoogleCodeGitHubWikiMigration: Moved ProjectHome.md from wiki branch to README.md in master branch.,2015-07-08 06:19:03-07:00,TRUE
2d58200840aa751959b8386d011e24ca62195281,Update most URLs from Google Code to GitHub,2015-07-08 06:19:06-07:00,FALSE
4d93dd735b1818bc2f1592379cec0ab90bc05a8c,Add close parenthesis,2015-07-08 06:19:08-07:00,FALSE
6fc345a017feca64a6c65d382b1b77c5778cb9e5,Fix spelling of *unknown*,2015-10-05 09:12:13-07:00,FALSE
b4a923ded5c2958ac559f5e28edf262abfd5d9bf,Reflect move from github.com/mernst/randoop to github.com/randoop/randoop,2015-10-08 11:57:24-07:00,FALSE
09d160acda32bb981153bcd02ae4a467d495c74f,Update URLs from Google Code to GitHub,2015-10-08 16:13:18-07:00,FALSE
66e62daa33754f734080989922133dd93a155055,Change presentation links to local copies,2015-10-13 11:02:00-07:00,FALSE
e1c12ca136dd5dc7109503c09e2690a39975c9af,Remove general text from README,2015-10-14 08:50:52-07:00,FALSE
1f2f2b015a663250a440854fc8b1ed71fd8ec72b,Fix URL typo,2015-10-14 08:52:47-07:00,FALSE
5c13ccf4fbc603c07c4e2afe7273b29cdaac69af,"Shorten README.md, to avoid duplication",2015-11-07 07:44:56-08:00,FALSE
1ee1d7b7f51a596b60e18e6059e865a154d776ba,Consolidate README files,2016-07-20 13:07:09-07:00,FALSE
c5818e2ad7eaf9bb5d11aa54475751ecbcbb7b41,Tweak English,2016-08-21 10:59:49-07:00,FALSE
e3939a35d67369b6a0e35e0a5b8c426b72431288,Remove stray punctuation,2017-03-01 14:16:24-08:00,FALSE
9434bbcc8415397edc3d3aae0996a1568c3d4bd3,Move directory organization information into REAMDE,2017-03-01 16:08:44-08:00,FALSE
5eab27cfea870ce3a58a23d4e482e4bc3622a5c6,Change documentation organization,2017-03-03 14:16:35-08:00,FALSE
09d66ea42577ca905ad2e086fc9645a300aab54f,Fix readme files,2017-03-03 14:23:35-08:00,FALSE
f39f958e5d3ad993b42f933934e4a9b72782fcf4,Changes for new documentation organization,2017-03-06 08:20:57-08:00,FALSE
b498a692dcbdcbed3a3d09f72a56f3b10d9be018,"Tweak README file

[ci skip]",2017-07-05 21:18:13-07:00,FALSE
e210a453ff1592ff5c7b532193de8741d2056c52,Change Exercised-class agent to Covered-class agent,2017-07-13 13:00:12-07:00,FALSE
11b9b47d66e6477d50ff08c3b70f1e768804d729,"Call avoidance (#185)

Refactors and renames the MapCall agent replacecall agent, and simplifies use

* Includes default replacements for System.exit() and AWT/Swing methods.
* Integrates replacements with omit methods in Randoop.
* Simplifies how replacements are specified to the agent.",2017-08-11 11:27:19-07:00,FALSE
e56705a5fb5f79d0376c1fd8bd2013a34798c7c9,Update version to 4.0.0,2018-02-28 13:09:08-08:00,FALSE
14357a00d72bdedccbfdbf234293ea2c11e4d1be,"Remove deployed version of Randoop website, which is now in gh-pages branch",2019-02-10 16:30:09-08:00,FALSE
f2caf8411a3c6ab27a32f090fe0461d3660c1801,Rename source directories to match Gradle source sets.,2019-03-28 14:30:47-07:00,FALSE
d167d1ff575e31315317bd95d8ac12018cc05dfd,Update title in README.md,2023-05-14 21:17:45-07:00,FALSE
