sha,message,date,result
555cd74abf3224a46176ae1bfb31bdaa63a12ee5,Update README.md,2019-05-10 10:33:29-04:00,False
78df2527acc1ae7c43fd7450852089f04d624f25,Update README.md,2019-05-10 10:35:55-04:00,False
6e5b9f7f522d7730013684ec74671b5184ed9c8e,"Main scoreboard fonctional

The main scoreboard live game is now fonctional and I added the first README file",2019-10-08 20:56:14-04:00,False
d4a1b115d81a0793276a6d8d65fb81cc1485dd1b,"V 0.1.0 Release

First official release on Github. Cleaned up the code added comments. First README and intall.h.",2019-10-22 19:49:44-04:00,True
d6db034dcac03aa8feef335273efebb536d4fd3a,"V 0.1.0 Added Licence

Also delete some unused files",2019-10-22 20:50:14-04:00,False
2cfc822c568cf7dd9391d4b12d25cc1238eb07bc,Update README.md,2019-10-22 20:52:22-04:00,False
229b32127f2f5567dcb7c8899c2443671f460d47,"Update to README + Install.sh

Made some changes to README, added Table of team's ID and a Testing and optimization section.",2019-10-22 23:19:04-04:00,False
b1b0775515856b7b9824f1501194a8cf822a2275,"V 0.1.0 Public release

fixed install.sh and cleaned the main.py. Added the ""Time and data accuracy"". removed a print() statement in data.py.

FEEL'S LIKE SENDING MY KID TO SCHOOL.",2019-10-23 23:15:46-04:00,False
e8a0115b4dca7e5976f507ddc93eeeccde397476,"Fixed typo !!!!

fixed major typo in README",2019-10-29 19:08:27-04:00,False
d2682c2f01dae946024edd39df350b8d9084cd09,"Added the requests library...

to the install.sh and the dependencies.",2019-10-31 17:22:45-04:00,True
26ae538b1e5d47dfd7ce93540f8be79a56ab7ddf,"Took out the ""You want to help"" section

I'm going to wait until I sort out the base system and release V1.0 first.",2019-12-10 16:20:02-05:00,False
cba38aad22a082ce0d7f59b5338fccdb30042c9b,Clarify that install script must be made executable,2019-12-16 12:40:41-05:00,True
faa291f7819500b655f29343a5ee50a97e7156ad,"Specify that the Lite (non-GUI) version of Raspbian is preferred

This is recommended by the rpi-rgb-led-matrix library: https://github.com/hzeller/rpi-rgb-led-matrix/#all-raspberry-pi-versions-supported",2019-12-16 12:59:54-05:00,True
14f52d55ebd7be23120f175100722ee006c8e4dc,"Removes a documentation error that asked you to install the rpi-rgb-led-matrix library a second time

This was already installed via `install.sh` and doesn't need to be installed a second time.",2019-12-16 13:06:38-05:00,False
319cd2ba56a5b4ce4e84dd8fe4951c7aed5d2ec2,"Added NHL Copyright disclaimer

... for the Logos",2019-12-21 19:17:01-05:00,False
e1616b735e6507510a331da721018103d5e0debe,Added Contribution disclaimer.,2019-12-22 10:03:51-05:00,False
2fe05650c0b62259db21c02ce874c86c4bec85d5,Finish the Data section for V1.0,2019-12-28 09:55:37-05:00,True
ea58df2478dc057d1bb67e58356195444ef7b1e4,board system functional,2020-02-01 16:04:02-05:00,True
559727da19a800614ce513f06cd95903fdd0181f,Started the documentation.,2020-02-12 07:33:26-05:00,True
9e08a9b44fea420572daf619711a086ce1f85bc1,Update README.md,2020-02-13 09:45:29-05:00,False
bcf3f79931490ab2f2b8c8b7f64b90f08531a7f4,Update README.md,2020-02-13 14:11:57-05:00,False
e3d8fc9def8bb578ab635d0c9b7eb9e844f8c88b,Update README.md,2020-02-13 18:06:18-05:00,False
aad10d8a384a9683e82c00c433feae1f51a294ce,added the option to enable the dimmer,2020-02-13 18:21:02-05:00,False
d8f1be8bdb4e95ccc747ebc3b2c33e1d703e4618,Update README.md,2020-02-13 19:04:21-05:00,False
1c099a0c61f0c224403e86572c236a7263386346,Update README.md,2020-02-13 19:05:47-05:00,False
923410440184de8db43f8898ff453fc1391a8e84,Update README.md,2020-02-13 19:11:31-05:00,False
5a860264f5df9465cc9da123de629771260e4d93,Update README.md,2020-02-14 13:29:20-05:00,True
0525d6c86d411ca776a181340239833ae821f637,Update README.md,2020-02-15 08:03:47-05:00,True
d40383d8ff2b9b62066a132f3d7aa75f2a79b085,Update README.md,2020-02-15 19:26:16-05:00,False
55acfeaebe5cf4432cf2ce0a46e1082dd29072b1,Update README.md,2020-02-15 20:32:27-05:00,True
e4dc89d675c173eb3702a177f056435b7da23414,Update README.md,2020-02-16 08:34:06-05:00,True
8f4b0bdde21c0ab7075ad4a8369b5b54aef19c44,Update README.md,2020-02-16 12:58:28-05:00,True
f37fc7d32ae9a19d581f2a0bdcd927a115938287,copied dev files into beta branch,2020-02-16 15:52:28-05:00,True
88ce4ee66a7965ffbae2df1d08f41637f6391edd,Update README.md,2020-02-16 16:09:18-05:00,True
8ec10021f3bccbd90f6fb46cdd0cdbeca7991059,added discord button,2020-02-16 17:07:20-05:00,False
d16a79b1ff25cdea65775469ef1a6692de50d979,Update README.md,2020-02-16 17:10:04-05:00,False
ad97abd8e3d49209b12d1e6dbd9058688fc377bd,Update README.md,2020-02-19 10:58:53-05:00,False
1a4d58136af274f50f739c13c569e2adeaf64e79,Update README.md,2020-02-19 10:59:10-05:00,True
d4164c8149fd7df54379b91cb96b64974ba02dd5,Update README.md,2020-02-19 19:58:21-05:00,False
4c99dc0e0dea0b56ec85b717a2517dd6a6ea01c3,Update README.md,2020-02-20 17:13:22-05:00,True
99bb8796f5edb549c647907cf8897772b1facf10,Update README.md,2020-02-21 12:09:18-05:00,False
3ae0284dcc69bb442605d39bbcd4ac5fe6769dc8,Update README.md,2020-02-21 12:11:44-05:00,False
