sha,message,date,result
762dc62c2b928a3ad2c2448c1c0aaad1a2c3a9ad,Initial commit,2016-02-10 17:46:45+01:00,False
89e63a1d2d0a6c1f3fd0c4eed8a4f30fe0d615f0,Add README and setup.py tested on ubuntu14.04.03,2016-02-24 14:39:27+01:00,True
b597f05210560249fcea84b86b512d8d5eadf53b,modified readme,2016-02-24 15:07:39+01:00,True
5f24017bef9aebd7ab8f98506ffa7db481e18acd,edit readme,2016-02-24 15:17:46+01:00,True
c4b56dca117cc003a8f3c85ec662f64042e802dd,Update README.md,2016-02-24 15:20:09+01:00,True
103446344019197b37516fccbf92df58db3582a6,Update README.md,2016-02-24 15:25:02+01:00,True
1491487b4ef5952328d0285c02f10ef398f2405b,Update README.md,2016-02-24 17:59:16+01:00,True
5e2b220f2b22e50e82b9476bfdff4514c821bf19,"update readme, add todos",2016-02-24 20:33:49+01:00,True
54d2bb5a7ec7c7dfeb50f94a20488645bf845435,update readme,2016-02-25 10:53:53+01:00,True
234c467232117da0f0c3faed8af9cd6e37ee41cb,Update README.md,2016-02-25 11:08:11+01:00,True
a2fd79d3e75b2193444305f6a75f691c3097b744,Update README.md,2016-02-25 11:24:19+01:00,True
76af371d662edd29fa18fb4b93ccde421332e7cb,Update README.md,2016-02-25 11:26:02+01:00,True
3d7f003296e1bf8d3f0586c07fb3b5c571d21c72,Update README.md,2016-02-25 11:27:24+01:00,True
5ada1503f5f2028a06ada7b1ea9f4ec0b6962525,Update README.md,2016-02-25 11:28:47+01:00,True
ed0640291b773e2b05afd69623db47183ffd8088,Update README.md,2016-02-25 11:51:48+01:00,True
dbbffdcbab51eafe5c1421f4f0ac52712b6b9402,Update README.md,2016-02-25 11:59:27+01:00,True
58c9a43a4c0cdc33817b0e9c3c430f4202f171ef,Update README.md,2016-02-25 12:00:20+01:00,True
50ae4012dc46f6ea6356e6fc27f0eef794aaddeb,Update README.md,2016-02-25 12:00:52+01:00,True
6513f9c01d069b7418654c86b1fac13300576feb,Update README.md,2016-02-25 12:04:06+01:00,False
39e232dd98f63ad9e6153f5c53ab1db3d6ba47bd,"Update README.md

add doc to readme about matplotlib",2016-05-09 15:11:26+02:00,True
982c480dd08ae6b36d446d892e73b7a56856aa47,"Update README.md

fix README",2016-05-09 15:56:09+02:00,True
3a15aea87c6687ef87744c321acab067a6368d95,Update README.md,2016-05-12 14:29:39+02:00,True
d6a87cab0de680d46c739c7af30eac8dd305f9e4,"implemented gaps, start implementation of complex db queries",2016-07-06 14:03:40+02:00,True
968e5264ff984e3965aa2db3404c3747a1aba5ec,modify README,2016-07-06 14:05:52+02:00,True
902874711b5d922b270dbbe9e5852e0644249b2a,modify README,2016-07-25 14:35:51+02:00,True
3307a9e309b9c94473c828bbe5ad095488d04334,fixed bugs added tests,2016-07-27 15:37:12+02:00,True
507a201c4f7301aad2895c7799c801739d50096a,Update README.md,2016-12-23 23:12:50+01:00,True
84abaf4e6125e95a7a4b1c09677cab1287ebe01c,Update README.md,2016-12-23 23:16:49+01:00,True
25d8f6ef201206954f6d806a1d1905d0556f13e7,Update README.md,2017-01-26 16:11:04+01:00,True
2a00434f68cf9d5f654b07ee3029f6efcdc69c64,"WIP: finished refactoring, missing: run tests",2017-09-29 14:10:02+02:00,True
1d5119a46d7b409de40fa8c4ebb428c85863a1c3,Update README.md,2017-10-02 13:53:43+02:00,True
3961ba8b4b763803eb338e8cdf1be94bae8328d3,Update README.md,2017-10-02 13:54:42+02:00,True
47d07895537c755e9bdffbab421256b7f79b1754,fixed python3.5 issue: Request data needs to be bytes,2017-10-02 16:17:06+02:00,True
bc03d1b96a8596ed652f1b0636e314ecf27f3e53,Update README.md,2017-10-06 18:39:45+02:00,True
20123935c6c631f10ff52ed7eef7ecd74aa68ca8,Update README.md,2017-10-06 18:44:03+02:00,True
5365cb80dcce124476c07f7cf59269d9863f551d,updated README for python3 required package,2018-01-20 22:01:49+01:00,True
5a647dbf7757cf5dccf905dfccd8576ef6bda80e,update README,2018-01-24 14:09:22+01:00,True
72ce4a12418241b23c3ef0c0a54fe111b248dec8,Update README.md,2018-01-24 14:51:42+01:00,True
6d0aaca72b169d513e051cdc6f20cb411dc62f75,Update README.md,2018-01-24 15:00:53+01:00,True
1712b6397d38fd5df01cba167759f032ce4af9b4,Update README.md,2018-01-24 15:07:39+01:00,True
336358739a71e47d4ba87903eab0b2974d935390,Update README.md,2018-01-24 15:09:09+01:00,False
1d8e0bbe6b1591293f16826639b15de81ea430ae,renames processing python and yaml files into paramtable. Fixes relative tests,2018-05-16 17:49:32+02:00,False
dcc458a750c539c54a156d733918de61f110df2e,Update README.md,2018-05-28 13:13:35+02:00,True
7b8519616f3a619541e9ca8e16625407e058cd1f,fixing old tests,2018-11-16 23:23:25+01:00,True
82d9a3a3e7dd6d17f348bec11546be22809b34cc,"fixing tests, updating requirements and setup.py",2018-11-30 16:25:11+01:00,True
a508cda5d6981cbbdd8c2fede57c67db4470e3f8,Add suggestions from Kirsten to create the DOI.,2019-03-21 09:53:51+01:00,False
ae7f9d9cfb67b1afbd1481c4e78c6eeb7cc3bd3a,Correct the publication year.,2019-03-21 13:36:36+01:00,False
8e0efda5f560d10af8f841914f234e950932dff5,Update README.md,2019-03-27 22:56:09+01:00,False
8db986b25b711564eb5d756e11586d9601b67c0f,Update README.md,2019-03-27 22:59:56+01:00,False
2a8488e23c76a4cfab7afdb794b237efd43897c9,Update README.md,2019-03-28 12:21:33+01:00,True
b21db8d23d2263c12cb662d0d1777d9994c0b43c,modified README,2019-06-21 19:26:36+02:00,True
0ad61e4891475b7b7273cf77915a85b03a0e610b,Update README.md,2019-07-04 20:57:50+02:00,True
312451c0aced28e5a0518148890997cfc628f506,Update README.md,2019-07-04 21:10:41+02:00,True
de44abb85de2df73539edc7d184fadf04c7d57e4,Update README.md,2019-07-04 21:11:02+02:00,False
488562faa01442fe70e59038149acef266d06a83,Update README.md,2019-07-04 21:17:02+02:00,True
2a55bcb4cda430fbe28ab3dee3e0dc12d2969ae3,Update README.md,2019-07-04 21:19:47+02:00,True
079084671ac7ddf731969aa6ef3d59b86037369b,Update README.md,2019-07-04 21:22:41+02:00,True
836c8cddd37ac016dd15da275c32c8054bc81a27,Update README.md,2019-09-16 21:12:05+02:00,True
5a8594ce0b419de2b82b153df519bd6df034fd88,Update README.md,2019-09-16 21:13:08+02:00,True
4dd35f74f17c33a2b9c81b302df95fb8ef04a4e3,Update README.md,2019-09-16 21:24:24+02:00,True
5e14c39bf12ea30f52411e22c416d7701f1ef8b0,Update README.md,2019-09-18 17:20:29+02:00,False
c5a9a380afd3cc31fa90fc4812c560abc651e49e,Update README.md,2019-09-18 19:20:31+02:00,False
cb48c401d3752758d0a90b3bff2b07d4d99d9c95,Update README.md,2019-09-18 19:28:19+02:00,False
