sha,message,date,result
41254769868e1114026ceb3edaa32fea68131e67,read me,2014-08-14 15:46:07+03:00,FALSE
a73aa41303370f1f7d11145ceccafb1e1d03ab3f,read me,2014-08-14 15:52:21+03:00,FALSE
261b503e23ac68867dcc8d40ab304238980f7e9d,read me,2014-08-14 15:52:43+03:00,FALSE
7da7f021abc046a5b1e2f99c03b0315cb0addceb,read me,2014-08-14 15:53:12+03:00,FALSE
883a48fc279c44f5d1b9976f4756574b1a50c8a9,ROBE-174,2014-08-20 18:02:59+03:00,TRUE
4be7d250805d20dd563d79b88b5f83a3a26a1326,ROBE-174,2014-08-20 18:04:39+03:00,FALSE
a9cbb751bf2fe386b6ded4570386a6fd0b5203d1,ROBE-30,2014-08-29 16:36:18+03:00,FALSE
3e9d3c6432489625b1cba68fb8f9b073130facf2,readme,2014-10-28 23:20:22+02:00,FALSE
88de0e311365921dbaec25de99cc3afadbcaed26,readme,2014-10-29 00:00:23+02:00,FALSE
ab2554842f3a94e793b9e5d7d28744f73d3e54aa,readme,2014-10-29 00:24:35+02:00,FALSE
9fecf33686d13207caf08f138b0664c5f618c938,ROBE-241 mq deleted,2014-12-15 15:49:19+02:00,FALSE
053225c15040c172211f36a56ac919087767204e,ROBE-246 robe-hibernate doc,2015-01-05 19:27:16+02:00,FALSE
79e76015f28a859fe1901b632ded4bd5a52bdd3a,Documentation,2015-01-06 11:35:37+02:00,FALSE
cc262286e114a273933e71123194fee6d6161681,ROBE-255 Kendoui updated to Q12014,2015-01-06 14:50:17+02:00,FALSE
8a9b4fbeb53c08cb6cb806a87efeb11f136d6d55,"ROBE-246 robe-common, robe-mail doc",2015-01-06 15:13:50+02:00,FALSE
d598b60b549d2bf8aec1f22ea475cfe0b1688552,Travis badge and codecav integration,2016-04-14 15:19:24+03:00,FALSE
58583bf71d84ffe37f10ee16a7ff8e4de9e5e708,readme line remove,2016-04-14 15:20:10+03:00,FALSE
a76ca19cdd8a0316a6d4ce177842a3159c9518be,Fixing convert tests,2016-04-14 16:03:57+03:00,FALSE
ce19f9cb63f98a151b25377c1c9ef7ebf9b24475,MailItem tests,2016-04-14 18:00:46+03:00,FALSE
a2b31282375c6e5a56c690c8b5fec514f323eb6b,codecov change to DW1.0-migration branch,2016-10-12 17:23:23+03:00,FALSE
a6d302f6e1ef49a88b815c7ed97c6bf693178335,fix codecov link,2016-10-21 16:35:41+03:00,FALSE
a4e333c0d710aaad62c939966503cadcbe183a71,fix codecov link,2016-10-21 16:48:47+03:00,FALSE
93f3db69544c5bc4bba5bb75658a0b33df2570cf,"readme updated. bintray badge added, intellij logos added.",2016-12-22 11:00:11+03:00,FALSE
59194b2fd600635650431ff910b8da3dba46bec1,readme updated.,2016-12-22 11:01:38+03:00,FALSE
3f1432fdf794da287d3e72980e66d690aa4e59e4,Quartz API changed. This is the draft version.,2016-12-29 10:12:31+03:00,FALSE
faac052c942516fb336762634fe25947a6788783,Quartz API changed. This is the alpha version.,2017-01-03 10:27:38+03:00,FALSE
54866bc30eedc11bd4d19984563f2cadf7533ef7,read me updated.,2017-01-11 09:03:25+03:00,FALSE
a22f65ad4e7824370618289dcbecea95d774b387,read me updated.,2017-01-11 09:07:56+03:00,FALSE
ecdb1658f7c744032d67083bf4aa167ed95039ba,removed description of deleted module,2017-01-31 21:09:30+02:00,FALSE
