sha,message,date,result
121ad2b7110db6e1c11d0f8d3cf2c4aced4cc2ad,first commit,2018-01-14 13:11:07+01:00,False
d1a078f147b48304a901e50cc5431dbdf552e940,update,2018-01-14 13:15:07+01:00,True
076a5a4ad909f6f7a3a45028d5f34b8d27e68dee,updates,2018-01-14 13:30:32+01:00,False
446d4a02b262f5d62291a81f3a9fd9174d735c80,added map support,2018-01-14 15:12:02+01:00,False
321f144015d7680d35a752fdfb9d7eb7fa26e7e5,updates,2018-01-14 16:01:48+01:00,False
858b01aca2a1cb19025119e39d6a42e683f9026d,updates,2018-01-15 14:49:08+01:00,False
333771226b07451257ef5343e6e88a07f68ae698,adding sensors,2018-01-16 08:53:47+01:00,False
22bc334b651a8cbc0825dddb74c6eb721094adfb,updates to readme.md,2018-01-16 12:55:38+01:00,False
b667c877c8d06e926a5b2273666c78ba6ea603d3,updates to readme.md,2018-01-16 13:00:19+01:00,True
1a2e9b3cd6518561b59b459eae7e7c62e66bf6f3,added locked sensor,2018-01-16 14:00:57+01:00,False
3a5aefc7b20748cc4fc7fd24b7c405cedb8bff55,added parking light sensor,2018-01-16 14:34:57+01:00,False
724ba487aa2bf35e5f69f71db144a61779efbac4,added sensor for next service inspection,2018-01-16 15:02:37+01:00,False
f6b1d1c63c4babc5e6831927af62056c85587b25,updates to readme,2018-01-16 15:14:12+01:00,False
4aba3d5ff892be33da751b5fc9e38044eeacfece,updates to readme,2018-01-16 15:21:18+01:00,False
71975d943dae7fccd9548b8af5113493d2b99c02,updates to readme,2018-01-16 15:21:52+01:00,False
aa849d9d829bcd5e11dbf68863bbc91102d93672,updates to readme,2018-01-16 15:21:57+01:00,False
c6f61edc26bf9a56c9578e1fdf1270337b0b8857,added update_interval option,2018-01-16 15:56:02+01:00,True
92489c59d128fb8cd09f75113bf31fc43d8dc357,updates to README.md,2018-01-16 16:14:24+01:00,True
120301d9cdebf2b99b853be7b83cdd5a592ae313,updates,2018-01-16 18:22:37+01:00,False
7741bdde363c27c5dc76d4301c0d252370ced014,updates,2018-01-17 11:37:43+01:00,False
0e3f29a5a15200d4d346c564a4e597843ed387e1,updates,2018-01-17 14:43:44+01:00,True
bd725fc3b443c54b7a221c06cd052f6b658f5018,updates to interval,2018-01-17 15:16:29+01:00,True
257d37a6f6464ab861e266c4b3b447f424caba8c,added binary sensors,2018-01-17 16:43:51+01:00,True
e1a114d657807882933d5cdbafcc82e7cb36f240,smaller changes,2018-01-18 08:17:48+01:00,False
01408cc40f313f5a252e6ff4d5a494f71dad97e5,version 2,2018-02-05 15:46:13+01:00,True
