sha,message,date,result
13545b1cf3fc18bb535bd0d5bf2c9db3936f20be,Initial commit,2016-08-26 22:19:24-04:00,False
79268c1394943e78b47cfdfcab24305343f6a469,README.md modified,2016-08-27 18:28:01-04:00,False
83f7cc393d6c395f71b30e8eb166db081ae8fdb2,more on code development in README.md,2016-08-27 22:13:38-04:00,False
c8b8755ab780fef2701164afb34879145dd3cab9,correction of README.md,2016-08-27 22:14:32-04:00,False
26d3d028dbf888b110de1b80c39534e5780e2b65,table with second-order effects in README.md,2016-08-27 23:01:48-04:00,False
36d5fdafac3c8b5b301b2f7f87d6f12459c38f10,Update README.md,2016-08-27 23:03:44-04:00,False
c1220eb1d483cf45a2203ba50bac776c4089849a,links to papers in README.md,2016-09-08 14:14:12-04:00,False
56a18cb89f8c7eb6307dcbbcbf84ecd704d10cbc,2 more references added,2016-09-08 14:30:13-04:00,False
cf5a9c1282a0c47cfbf84d7741b8eb21f100dd0d,note on astrometric ulensing added to README,2016-09-15 11:51:19-04:00,False
e01aa73c3b55e952e062a43527b2dc16f925dc06,more use cases needed,2016-09-15 13:43:17-04:00,False
f922d1f062be94caf4509477bc1723dab343403c,more tasks to be done,2016-09-17 01:37:35-04:00,False
763245a4c7392b4c88c9541b887ce06560ffe79e,a link added in README.md,2016-10-15 19:43:41-04:00,False
5d411ebb9948245605ad30500f45696b5691740e,2 references on caustic size added,2016-10-27 01:39:31-04:00,False
57edcec74178a7c36b11e1524904e6dc5fd3233f,get rid of old README.md,2017-03-29 16:32:12-04:00,False
8f749ea9edcc67828814b78907efbfa6df7eecac,new README.md,2017-03-29 16:38:35-04:00,False
c7bb755270b8303561cbb082f9216d82bbc1e76f,links to examples in README,2017-04-06 20:04:50-04:00,False
5bae099451f3cfbaed9e8db42e9154ecf74b797e,link to microlensing_source.org,2017-04-07 14:52:06-04:00,False
8c59b83b7d8098b7076c8e60c2125daacc792028,Expanded README description.,2017-07-14 11:06:54-04:00,False
f907baf640d8dbaf5bef1cc9a292724a4ec85eb7,Added documentation link,2017-09-09 20:04:56-04:00,False
31234f87a4b5548469423c794c5b7f7221afd759,release 0.1.0 link in README.md,2017-09-11 14:44:26-04:00,False
1dba02de4c8296ae0201e63328aeeb44242b54a3,minor update in README.md and developers_board.md,2017-09-12 01:23:18-04:00,False
06bc836c2ad3c418fa69e7ffeb752aefeddccf8c,instalation instructions in README.md,2017-09-13 15:53:49-04:00,True
6d54c6c708eb40ef69c416b96b1b492f3c25b161,version 0.2.1,2017-09-19 18:55:08-04:00,False
569f28d7ea5c0a16f5a94d50ae5104f8534290e4,README update,2017-09-26 03:03:23-04:00,True
d6e4b0eb043607647ac88140c976066a315e074e,trying to make \mu look nice in README,2017-09-26 03:08:42-04:00,False
296e36a2c138b2216ef28a35016015da3fb464e7,installation instructions updated,2017-10-16 18:10:04-04:00,True
8ac30f099135e2db1618bef23fbe916d869ddc3e,installation instructions updated,2017-10-16 18:13:00-04:00,True
ec9b4236d2335cd7fee8f4a91f895c118d7a7ad6,links to tutorial and astropy in README,2017-11-02 21:54:02-04:00,True
f4cbc4319453a42730dc830ea71e753b6e4f64ab,release 0.3.1,2017-12-22 13:27:58-05:00,True
695483b51bd1154325383fb452e602bb9494a42d,README updated,2018-01-06 16:24:09-05:00,True
d6e6aa905d854cb45b7fbb2e71c5718a582622cc,"Added a note to run py.test. (if the unit tests fail, something is not right with the install)",2018-02-09 11:52:24-05:00,True
5dd0d300d79e8cfd5361e071c2a453f61c091d21,example 7 added to README,2018-02-21 15:33:38-05:00,False
340f7c7b5b7c1c63e350af4ac9d8d5f811a3f002,ver. 0.4.0 and sphinx run,2018-02-22 14:19:53-05:00,True
109c6d92e6ed288533fd7aeb8b7bdcced58382f7,"minor changes in tutorial_fit_pi_E.rst, links to it, and sphinx run",2018-02-22 16:15:31-05:00,False
0765bf453f43e5018f41d81d719cf877beba1cc5,change of example 6 file name,2018-02-28 17:13:46-05:00,False
10c0194cb558785bd518cf10008063b7d8589a27,install updated,2018-02-28 22:52:22-05:00,True
43115130a5d28f636614e60c9a037dd298fae4f6,changing v0.4.0 -> v1.0.0,2018-03-01 00:46:00-05:00,True
4dd517c52c8413eee86ed550ba393430659ee319,README update,2018-03-29 20:38:25-04:00,False
258ee33ccc41e84d42ca1c707da340400493a379,version updated for release,2018-03-31 04:20:52-04:00,True
72b122d93718b502a967961b0ce9540bb29c2f76,Jen's grid fitting example added,2018-04-25 16:47:48-04:00,True
5d7d8b2f2f0b572de7c94c2f8cc9d1b6cc187946,version update,2018-05-02 15:28:14-04:00,False
