sha,message,date,result
2d3e0731d62dfe86b25254a87c06ee7c59bbaa8c,Initial commit,2019-11-19 13:47:36+05:18,False
6d9f04e4f225d51808a58213c6cb56229aaf12f9,Initial commit,2019-12-04 13:29:16+05:18,False
3bd58f7601844a706c38be235bc473ea7767a442,Initial commit,2019-12-12 14:19:04+05:18,False
8cf84fe45898e4bca70c8560477d1f0c1331dd2e,Initial draft,2019-12-12 15:14:47+05:18,True
24fe5f690d05925bb082c5be6f152ad5ee3895e7,Updated doc,2019-12-12 15:16:58+05:18,False
8af992d923c1edc8bb91bae0e1ce328c984cd420,Updated doc,2019-12-12 18:59:03+05:18,False
1456a033918e603c4ceb7a4cc472ea5132e26347,Updated Maven Central Repository link,2019-12-12 19:29:38+05:18,False
7debe7251d29efeda7be3ec58fecd5ccdb589ceb,Removing Maven link- To fix travis-ci failure,2019-12-12 21:45:53+05:18,False
11d4f19d581aa442d101b96008bf91621a9b3867,Updated docs with travis-ci and Maven link,2019-12-12 22:13:56+05:18,False
3f9bfa44cefac023bce39ebbe7e70dcc6c8d6868,Code cleanup,2019-12-13 19:15:33+05:18,False
959f04a7ada2cee5632fe351b79e3998c72e10b9,Code Quality integration,2019-12-13 23:51:05+05:18,False
7ac5e7e5ad794cbabba4c0ba851836af27df0608,Sonar cloud icon,2019-12-17 19:20:44+05:18,False
d0b320a22b618b0a1f8102d4665bf2915cc646cc,Coverage reporting,2019-12-18 00:12:59+05:18,False
48ff2537f8722c4d36fa74bb14abfdc20fb79efe,Coverage updated,2019-12-23 20:39:26+05:18,False
a227530f34740d31e6fe800d2655cc47484552bd,Name changed to webdriver-binaries,2019-12-24 14:32:53+05:18,False
d16002182bbe32a32c5a1e74368ce55c4735ccf7,Update README.md,2019-12-24 15:02:42+05:18,False
bbaf2cc76018ffa5b556ba4733aa6899d4c250bd,Renamed,2019-12-24 15:08:42+05:18,False
4c728bac98eed71025fe31fcad23110a49c908ee,Update README.md,2019-12-24 22:25:05+05:18,False
91f47bbac5b4a917e47135c99569b7ec00ad31c4,Update README.md,2019-12-24 22:27:01+05:18,False
294d0ab7cb6b5f93c141d61d2822e34431264fed,Initial commit,2019-12-25 20:47:17+05:18,False
a8391ee1854f62d3c350179d965e219c2273ced3,Update README.md,2019-12-25 22:44:06+05:18,True
712046c7fe3119c57084dbef8dc45e7d3bb40120,Update README.md,2019-12-25 22:46:31+05:18,False
ed750321b000acc10b94bf9fceb010df9e4ff98b,Update README.md,2019-12-26 13:37:34+05:18,True
e90e1dfe050eb20fbaa21c0bccf597d5e1981028,Update README.md,2019-12-26 13:37:47+05:18,False
6d61f0542297d7273da13051bc48ffc3beee4d9b,Updated to core,2019-12-26 13:52:53+05:18,False
5d03d1326bec7c6e60237b67e3eb5510ffa150d2,Update README.md,2019-12-26 22:02:18+05:18,False
f4072e0d54ef0b2a5f6ec2b8e31c2fcc4be7f976,Update README.md,2019-12-27 08:42:37+05:18,False
11683ee93d58569d63c67ea98f1fac8b56e7a95d,Update README.md,2019-12-27 10:20:26+05:18,False
fb2a60b3988ff3803065f4dfc30649d42024dbe8,Update README.md,2019-12-31 13:47:13+05:18,False
9693ece600a2f047abbe8e77ed40615417c0ca54,Update README.md,2020-05-04 18:08:58+05:18,True
b4382768f9baf221f9ab3ca548efe9837cf395e0,Update README.md,2020-05-04 18:09:17+05:18,False
2ce97c523ceb9bf13849eb2d3cb14c162e8534c2,Initial commit,2020-05-29 13:34:02+05:18,False
31e4ea8bd278518c5358743164067406633f1ca2,Updated README.md,2020-06-01 12:49:15+05:18,False
