sha,message,date,result
0788f02e29cdb79fae6d329037a46acae8071481,Initial commit,2019-03-14 21:58:42-07:00,FALSE
268ed461f37b6ef796f9c777d233f0ba880f9d3e,Update README.md,2019-03-14 22:04:53-07:00,FALSE
77db906d9afa278e101c3cf852bdb66cd967d277,Update README.md,2019-03-14 22:05:12-07:00,FALSE
14648d49b16ba7b0e381b5905a9c29b60e5f6d02,Update README.md,2019-03-14 22:06:59-07:00,FALSE
46a56aa9e03e4c2552e7c32920d610a800a5e1e7,"Revert ""Update README.md""

This reverts commit 14648d49b16ba7b0e381b5905a9c29b60e5f6d02.",2019-03-16 12:53:55-07:00,FALSE
bb8204291e5c195a7617f4b205f65d0d57c3984a,Update README.md,2019-03-17 16:23:17-07:00,FALSE
d2e79bbfba89122e38936400c0642a56c599eead,Adding images,2019-03-18 10:55:56-07:00,FALSE
a0ffe43d6af06e9fd5454026ac90c84c2e9505a6,adding more images,2019-03-18 11:02:52-07:00,FALSE
7eba6db80f1057e47f8966f33aa8a0c856dda6f1,Added new joke,2019-03-19 11:39:19+05:18,FALSE
adcda3f8f0be76c437abbe3fa2eaa2942fd22c6d,adding null,2019-03-22 15:58:12-07:00,FALSE
45fea676ef49d03a32bad701596b14136e1d3fe9,Adding 💩,2019-05-28 17:23:35-07:00,FALSE
6f7e46b687dc52a31104936d77a0b69a983c71c9,Update README.md,2019-05-31 17:16:28-07:00,FALSE
7082efd90764bc158ee8b28015e2779707eb69a4,Adding devjokes from community,2019-06-17 23:13:49-07:00,FALSE
4fb27df99fae42a474ce895d58534b5d652e39ea,engagement,2019-06-17 23:21:30-07:00,FALSE
bfe6304c6c517111978b1dcdd67d7843f327f405,Grammar Nazi,2019-07-30 18:10:03-07:00,FALSE
dfcca4ec3a0c1adb69f08f44b1511c8bd0603c7e,Adding a joke about docker,2019-09-03 01:30:22+06:00,FALSE
e215f9595eb1a793ccbdfe3aee1bd79cfe4d3fb0,Added a joke about garbage collectors,2019-09-30 23:34:13+05:18,FALSE
c752f7ffc21b5da437310b7f6e11ff6096ccf22d,Added a joke,2019-09-30 23:53:21+05:18,FALSE
fd039d94d5c4de493607ed48827ee668d496b182,Added a new dev joke,2019-10-01 17:40:54+05:18,FALSE
b76514edef08a072f33f9def2f1bc2652f7ab9b9,"SQL jokes welcome here?

SQL joke wants to join this README 🥺",2019-10-01 20:46:03+08:00,FALSE
3f2b861e5171e0e725c0d3979c38aceae443a24a,Update README.md,2019-10-01 21:21:17+08:00,FALSE
994421898309fe0279bfb56357635f9a0b6c3aee,Add joke about VS and JSON,2019-10-01 17:12:54+03:00,FALSE
6fe2b6fef5af31d6d3080fd17a5a3204f681cc2f,Adding UDP joke,2019-10-01 22:26:30+08:00,FALSE
eea3afd5364de85a548cf675e5b56438c5bf0b74,adding a new udp joke,2019-10-01 22:28:22+08:00,FALSE
7ba1e9cdfd6c929528d0a25a6ee7301470acb6b2,added JS Arrays joke,2019-10-01 21:42:19+05:18,FALSE
596f54dd89a1eb7e25268ce980facf8b15b58061,added two dev jokes for debugger/ documentation,2019-10-01 22:01:21+05:18,FALSE
3c05853b718eec634fc6bb61b6967095d97d07cd,Add new joke,2019-10-01 23:54:18+05:18,FALSE
3f208fab703daadcc4cfe8783665a0f86fe9527b,Add new joke to README,2019-10-01 17:10:11-04:00,FALSE
ef2d4216a08928fb6068a13f568e7178cbee70ca,SQL Joke,2019-10-01 22:37:04+01:00,FALSE
749d4480237c52a7a53a3d18fa165cbd823db2c0,added java joke for hacktoberfest 2019!,2019-10-01 23:31:14+01:00,FALSE
e5a450f13c64724270ecf1ba969e7f2492138967,added regular expression dev joke,2019-10-02 08:07:33+05:18,FALSE
59580ada3d47396f62ca54ddeeb4edf63dc09671,:sparkles: add c# memes,2019-10-02 10:50:07+07:00,FALSE
dd6c7eb24f12846ca624ec2a76d4c02faa736529,add be vs fe devjoke,2019-10-02 11:51:05+05:18,FALSE
1dee24dd426856091a2a995928e2e11efc93177b,added link to devjoke image,2019-10-02 13:47:49+05:18,FALSE
c2cb91dd79e8d6dda35d82c1d2d50002ffe0b590,Add windows joke,2019-10-02 12:26:03-04:00,FALSE
7396471a963c7085ee1dfde470370c18b387958f,New joke,2019-10-03 12:45:02+05:18,FALSE
93c2c6bcfc456c1c8791a734ce3285be2951a825,Update README.md,2019-10-03 17:39:18+07:00,FALSE
689870cfac936c37b893e5f3e3b806bc6532680b,A QA engineer walks into a bar,2019-10-03 11:56:10-03:00,FALSE
2c55078e0a94ef8bf8f84ac6bd3060ffaccb2e18,changes,2019-10-03 19:12:41+02:00,FALSE
f3cd776eb07d7e939e98ae6813199b69ea9c318d,adding jokes about android java kotlin and index time,2019-10-04 01:05:51+07:00,FALSE
48867c1b8c20fbba77c18ba52b3c2de3c68bc889,Update README.md,2019-10-04 12:17:13+13:00,FALSE
13861787f5d47eb725fb7d661da197184a59e617,Update README.md,2019-10-04 12:18:35+13:00,FALSE
d5a710b0726fa2c7a877ea19c1463cb65cae0637,Added a joke,2019-10-03 18:28:35-05:00,FALSE
13afac00ef1125a85543138b818d5d8cfc611c34,"Update README.md

first commit on github :)",2019-10-03 22:28:25-03:00,FALSE
44b51ebcbc5c52aff6131d686371ac82d698db11,add security joke,2019-10-04 15:12:56+02:00,FALSE
1c482c22159a767e002f38c87702b3108b07b1d9,add whileloop devjoke and debugging image,2019-10-04 15:28:27+02:00,FALSE
55941db670032d31d91febe327381d3076a6f764,"add a joke

What we all say to a repository",2019-10-05 12:53:51+05:18,FALSE
a89cad940966b7dcbfe12b4cc3b37cd839ff497a,"Add programmer boyfriend joke

He thought his gf is a function.",2019-10-05 13:26:17+05:18,FALSE
09ffb035ef9b1fe2210bc24d89c9612c74585115,Added a image to README,2019-10-05 14:12:02+05:18,FALSE
8d019134c33753963adac9b1a4ec259c52ecbec1,Add new joke about the new mac,2019-10-05 15:08:02+05:18,FALSE
54a329c06b6cb25c0a448e5500e170f6d85f4420,Add async functionjoke,2019-10-05 15:31:43+05:18,FALSE
467a5ac7bc925afd0a283d5388b0fb3efdee5f52,"add samsung Joke

added joke on samsung.",2019-10-05 18:01:00+05:18,FALSE
da028843975436eea4df0a64458773dc8a297ac7,Added a joke,2019-10-05 18:16:50+05:18,FALSE
73554e9cb3e130af734eb4472d01839ae9639233,Update README.md,2019-10-05 19:28:47+05:18,FALSE
9cc983176032f4756dd400708ee760eaaa034ca7,added a devJoke,2019-10-05 21:49:31+05:18,FALSE
e7dc48b09dcac0fa5ef4441e683a9c5aa83a40ff,added a devJoke,2019-10-05 21:51:23+05:18,FALSE
5c7411f12662b0b1e78b7e39f6d1c12d0dc61756,add error joke,2019-10-05 13:53:34-03:00,FALSE
17ba724f30283a9cba7e3ef6593346b0375bf059,"add C - Pointers joke

A joke about pointers in C",2019-10-05 22:50:54+05:18,FALSE
42aa0797e445fa80e2b7e9a4806abd7ae8f561da,Adicionando uma piada genial ao repositorio,2019-10-05 16:00:11-03:00,FALSE
964a0ed685d7bcc459631dbd9ad34ce0c87f4732,Desafio 4,2019-10-05 16:09:13-03:00,FALSE
5dc20ddcd4ad1b97a2ac37898ef678fb495120b0,"Java Jokes Devs understand

Just Dad Jokes nm.",2019-10-06 06:43:33+05:18,FALSE
