sha,message,date,result
09bcd533a01f4a398a589630c9aeaba56b9c7d05,first commit,2013-11-07 17:31:54-02:00,FALSE
ce713121b5457a4e1cb03b39dbc65d2ce75b2399,"Improved js selector.
Updated readme.",2013-11-07 19:44:33-02:00,FALSE
bc5f9bebbbb6abeb88a4d53cedaf03e3432adc23,fix link to demo page,2013-11-08 15:30:07+09:00,FALSE
0e354a3789b1baf4465fee14f34697960abcd08c,"Refactor and use twistd to run the server

I wanted to add a bit more structure before proceeding to add new
twisted resources.",2013-11-13 19:27:24+09:00,TRUE
9b7b1172765a3de09267f30adb903429cd4066fd,"slybot integration and adding extraction to fetch api

This also improves the scrapy initialization and configuration.",2013-11-19 16:13:35+09:00,FALSE
0c7b0ce471e23f38ef18113baa40fa2974342fbd,"Add project to the api request path

This will unify the way projects are specified at the API level and will
make it possible to do check project access in a unified way.",2013-11-21 17:23:54+09:00,FALSE
b1fd49df9c438695f2a0b9637c2bc7fbecd3c4f3,"Add spec API

This api can be used to fetch the specifications of slybot spiders.",2013-11-21 19:26:21+09:00,FALSE
9ffc1a032f68bb52645d5347627a9fbf9d3fa395,"Saving of specs

This implements saving of slybot specs. It also improves general error
handling.",2013-11-22 19:14:36+09:00,FALSE
c54716f41cfa4920ee9da4db806cddc2ac0bcecb,"Generate a list of spider names when spec/spiders is called

Closes #2",2013-12-03 15:44:13+00:00,FALSE
30b3033fabecaa41ab6a0360059214b0bf840076,add fingerprint to fetch response,2013-12-04 18:27:31+00:00,FALSE
ab9f5bd18394b4c7aa7697534d7e8c9aab2d5eaf,#NAME?,2013-12-10 20:40:18-02:00,FALSE
8cf962bca5bef7848ee527d1a043f98503bc42d7,Update README.md,2013-12-10 14:51:45-08:00,TRUE
5e50a2ab18ccf8ea7015fdd20baf277914a1c27d,#NAME?,2013-12-11 12:01:38-02:00,TRUE
3b7c3afaf8917d15adc5d9607dc927a92f3d5115,#NAME?,2013-12-11 12:05:50-02:00,FALSE
b0e482e22a1ad27af807adab3b2e69e2517c7de4,#NAME?,2013-12-11 18:07:49-02:00,FALSE
5963458755ecd4f7f43b46d94701d400d9fef1aa,add slyd tests,2013-12-24 10:44:17+00:00,FALSE
6e58c996fc098b09bc29d48200652fb20aac9fb7,"change how links are returned and document

Refs #4",2014-01-07 12:14:32+00:00,FALSE
