sha,message,date,result
ef6df144a8903253cae4eb028afb29944ca01944,Initial commit,2017-11-08 21:19:48+00:00,True
74aecd7804f4fb2c72a0d776401ba0797fbf92b9,in Progress. Need to work on run_experiments,2017-11-12 13:58:38+00:00,True
5e3ccc94a6bdbd0cd108ed23f4de56203ab80188,adding mleap use example,2017-11-26 16:40:18+02:00,True
c6a69064f13a36798e040dc7681b5001431b8528,fix typos,2017-11-26 17:32:31+02:00,True
14e983e8c97bb99bf6f5221111aac2a8d1515448,renaming project to mlaut,2018-04-05 20:56:34+01:00,True
c65c4fd5318299fac96181c1d16607206f132419,renaming to mlaut,2018-04-05 21:00:33+01:00,True
4ff836c141fae75ae8b81d74d71c733785875da9,documentation link,2018-12-01 13:53:38+00:00,False
a164a65af9ef599321d1f5835be3b3d8bff5d3b4,link,2018-12-01 13:54:32+00:00,False
806d67c2d53cbc733ec265671389e0c887bebe72,readme update,2018-12-01 14:26:25+00:00,False
62dedc3e94b738c66a6ee7d1816eef1566e82e4c,adding logo,2018-12-02 15:29:46+00:00,False
6e89cab27922069e7acdfec732d4e091ec94baf1,adding logo,2018-12-02 15:37:25+00:00,False
0ba13e0955a70386c337a13d9441cc85cf7d7876,updating readme,2018-12-02 15:40:22+00:00,False
dbc2d6ef88a634a8009dc1670135a8cd4221bef8,"updated readme, licence and pypi  setup",2018-12-12 21:07:11+00:00,False
8405da5ec40f8e05e1d6da30c3c0ee603499d8ac,updated readme,2018-12-12 21:08:38+00:00,False
87d1379a3b0a456abf7ee1059cca048324e9bb14,adding back logo,2018-12-18 21:43:46+00:00,False
178efef742d4f111a1ceb87867a97ba139ee3d07,updated README,2018-12-28 19:00:30+02:00,False
387051a0cca0501248d23a2f46d19756be4c9c40,updated readme,2018-12-28 19:06:00+02:00,False
84ddae5e14023378fc8d9bc785c27a0061c8368f,image size,2018-12-28 20:06:50+02:00,False
e5147bdf14b65d6a8802bf0371fbbf4602227014,resizing,2018-12-28 20:08:20+02:00,False
054bb765da824895039f8ef974d0e71f68653d64,image,2018-12-28 20:09:57+02:00,False
ac08f8af377181f081c663c4b4c553a930d2a2a2,img,2018-12-28 20:10:54+02:00,False
47273802ce9be8ce90051ea5f160ec3ff24caf9d,image centering,2018-12-28 20:23:56+02:00,False
627380ee33dd1e0cca0e15af01855a6af9568081,indentation fix,2018-12-28 20:24:26+02:00,False
41734fafa9af5ac641420678c165f70a28e0b14a,mlaut fix,2019-01-01 19:50:53+02:00,False
99c56707dc275727e961ee5f114438422747a556,"adding authors, changing install packages",2019-01-20 15:28:47+00:00,False
7f103bb7be9b2e65de14b3ce912c12fc879cd950,chaning readme,2020-03-29 14:38:44+03:00,False
25b50706787649f1c3331169dffca6000feb236f,building documentation,2020-04-19 18:26:46+03:00,False
