sha,message,date,result
761c49ea29cb41d7b35e0fc8109be8ee03e7f7be,Create README.md,2019-03-04 16:28:09+01:00,FALSE
bdaa079a7ef500a7b8feeba627d3859a2332d5c0,"README update

Added a short description, linked to the ArXiv version, added an example gif, added dependencies, added future work, added citations (check the licensing part).",2019-03-14 14:54:34+01:00,TRUE
123a3a95f70bf68347ea0cba7fcc1ae1f403fb96,Update README.md,2019-03-14 15:43:32+01:00,FALSE
2c37a4a199a91979654ad3ef49cb84a975dd17d6,Update README,2019-03-16 12:57:01+01:00,FALSE
1c14d8db6b488c8577a4f5b4e6b6638eabd684f7,Update README.md,2019-03-17 10:09:34+01:00,FALSE
f4ba1564f11680d68f5a6f1cd2b0e8ba7f5d79e5,Update README.md,2019-03-17 10:22:19+01:00,FALSE
1de3306ecb8da1d6172a00478df97c079b0b324d,"Update README

changed the file paths for the figures and videos, they were not showing because they had been moved to another folder",2019-03-17 10:32:01+01:00,FALSE
316c54a423f74eea1475b3cbbf0e4cb85d29fb9c,"Develop (#17)

* Made it so that the image_parameters in get_image_parameters hold on to the functions instead of the function's return values.

In the get_image_generator() function there is now a single assignment of get_image_parameters into a dictionary of lambda functions that are used to update the image parameters each iteration.

* Update deeptrack.py

-Track non-square videos
-Fixed x,y in plot_tracked_scanning_boxes
-added option for elliptical particles in training
-fixed the resizing of the boxes in track_video (track_frame)
-added an option for preprocessing the images before tracking (normalise and enhance)

* Video files working in vlc

It seems that the issue with running the files in vlc was that the frame rate was too low. I increased the frame rate to 5 fps for all videos and tested in vls.

* Edit example notebooks

Edit example jupyter notebooks according to the changes made in deeptrack.py

* deeptrack.py updated again

in track_video and show_tracked_frames I took out the limit of showing maximum 10 frames since it interferes with the calculation of centroids of particles.

* All files updated

The updated files before resubmission in Optica.

* All the updated videos

The video updates for resubmission for Optica

* Update didn't save

This one didn't save before

* Not in the resubmission

* Not in the resubmission

* Updated under different name

This video has been added again as DeepTrack - Example 3 - Brownian Particles.mp4

* Not in the resubmission

Now there are two different trainings for example 4, one for bacteria and one for particles.

* no message

* Delete DeepTrack - Example 2 - Tracking single particle-checkpoint.ipynb

* Video name updated (#15)

* Gif test in README

I want to put a gif to the README file

* README update

Added a short description, linked to the ArXiv version, added an example gif, added dependencies, added future work, added citations (check the licensing part).

* Add files via upload

* Add files via upload

* Update README.md

* Delete ex2_24.png

* Delete ex2_5.png

* Delete ex2_7.png

* Add files via upload

* Add files via upload

* Add files via upload

* Update README

* Delete Fig1 copy.pdf

* Update README.md

* Delete README.rtf

* Create tmp

* Delete tmp

* Create TBE.txt

* Changes to the directory structure to simplify it

* Update README.md

* Update README

changed the file paths for the figures and videos, they were not showing because they had been moved to another folder",2019-03-17 10:34:59+01:00,FALSE
cbd6685861bcc3e3f8b55e383867efb6f643ccad,"Update README.md

Adding a paragraph about funding.",2019-03-25 20:26:57+01:00,FALSE
2f3c21de9807e54dee7a9b2ceb765b8c17f43b32,Update README.md,2019-06-18 14:43:53+02:00,FALSE
634e4bf09593444b0e03b5f5b1806a44edd610b3,Update README.md,2019-06-18 14:45:15+02:00,FALSE
0ba2233fb22ffb8c050867b2b9006afeb9ccbe6d,Reset of master branch pending review,2019-10-17 15:03:53+02:00,FALSE
147aca2f8bf34ead1cac7301e498d9b6ea6bd60e,Stripped down version for review,2019-10-17 16:20:37+02:00,FALSE
42efa310d129678727ad6c4231c493cfb232f408,Create README.md,2020-02-11 18:32:55+01:00,TRUE
a53cf912cde87e4f2b88c4441d867ae48ab40a90,Delete README.md,2020-02-11 18:34:19+01:00,FALSE
1ae6cf25724ae7b98d883ed4f357434e5bc6a2e4,"Create README.md (#71)

* Create README.md

* Update README.md

* Update README.md

Co-authored-by: Giovanni Volpe <46021832+giovannivolpe@users.noreply.github.com>",2020-02-12 10:22:44+01:00,TRUE
ad46a9e07c8ac5010d34d371490c8ada1b06f06f,Update README.md,2020-02-12 10:23:43+01:00,TRUE
749d264cf9320361169c0ebc855fe71a598e9d61,Update README.md,2020-02-12 10:27:42+01:00,TRUE
05ea33f33bce98ce0f4e0f1d2022c5f9dcd578ea,Update README.md,2020-02-12 10:29:44+01:00,TRUE
74bc7345d09c3e678112b46b8999b705ffcaab49,"Update README.md

Fixed broken links",2020-02-15 09:25:10+01:00,TRUE
24044ee025d773c23684b83add012b91495455ba,Update README.md,2020-02-15 09:26:45+01:00,TRUE
055a08b09fc013e11e9209686b830d3f61da44a2,rtd update and fixes,2020-04-24 21:16:59+02:00,TRUE
051b0907afacfd695617e1c20129c6fb1ed8d428,Update README.md,2020-04-27 06:43:36+02:00,FALSE
a9f7f3beaf467afd9bc110cd3c397798230fe0d7,Update README.md,2020-04-27 06:44:03+02:00,FALSE
f255a7f0b186e6171802a04c6dee4d7ce47a4f37,Update README.md,2020-04-27 06:45:23+02:00,TRUE
fb88e879c622c523fe5c6da2a85878b4a7d84d73,Update README.md,2020-04-27 06:46:57+02:00,TRUE
ea8b85d6253dfc38bffe4a7dc43a2054fc0f459c,Update README.md,2020-04-27 06:49:36+02:00,FALSE
9dcaaaf88c5652afae69cc8c54b61737334ca806,Update README.md,2020-04-27 07:06:08+02:00,TRUE
c256837b5cbdcf22705ad23a65853f2c552c8f16,Update README.md,2020-04-29 06:15:10+02:00,TRUE
3f70bf52f653cd9769ffe750bdc2adcc2e8a0e7e,Update README.md,2020-08-18 16:56:49+02:00,TRUE
b7071d5997871f00f299c76e48a70e0bfba450f7,Update README.md,2020-08-18 17:04:04+02:00,TRUE
b084f792e8453d0688d50c3cd218d004f099c47f,finalization,2020-09-16 13:29:44+02:00,TRUE
09dfc4d717f4ccb2c84fd3658fe424c4fb34dcaf,Update README.md,2020-09-17 01:48:37+02:00,TRUE
d9858dc81f6f66351b4928b731ad6a9f3999d102,Update README.md,2020-09-17 01:51:31+02:00,TRUE
3a87ef11e3cd98bd209a921e4e64ed4594d47f4e,overhaul,2020-09-21 18:46:33+02:00,TRUE
b185184b3da3872960d4e85948b1c743481d6bef,Update README.md,2020-09-25 16:06:33+02:00,FALSE
017d79657cbeab4b20428591ac804ac8716272de,Update README.md,2020-09-25 16:09:30+02:00,FALSE
a03dc3301c4ca05bab4cff2bcfa6c0750b2c983f,Update README.md,2020-10-03 15:31:14+02:00,TRUE
9479efd382d90cf2a8729ba3729cca727b5b8713,Update README.md,2020-10-03 15:33:39+02:00,TRUE
9894e1b7bbe71a032a6ad66c2e5611111466cc40,Update README.md,2020-10-05 00:14:13+02:00,TRUE
e34ac92d92b9bdc2d7e33f88395660a34b900aa8,Update README.md,2020-10-05 00:18:15+02:00,TRUE
fb2980b2c20abd96416544d91807542fe995d2cc,Update README.md,2020-10-05 14:29:31+02:00,TRUE
9421787e41b7407de6713c17e56e40b623bc8521,"Update README.md

State dependency",2020-10-07 11:11:55+02:00,TRUE
6617a80620feef2bec1b455e2501e7e7ed1d7774,Update README.md,2020-10-07 15:58:43+02:00,TRUE
9491f4a5865ff1e20fe28c5e9255feda61b86b27,Change paper-example links to colab,2020-10-07 16:12:43+02:00,TRUE
ff2e2679a96eee7322c288d735af0abdd3f719d8,Add link names,2020-10-07 16:15:02+02:00,TRUE
