sha,message,date,result
41eebf966aec24f6582656d6cdf636b706fe1098,renamed,2011-08-02 19:25:34-07:00,TRUE
0db0908424d06e9f423a3b7932b68b38199e6b04,updated readme,2011-08-02 19:30:58-07:00,FALSE
355d955960e1695fb6c0da42a058f4ffde5109f9,Need .xml suffix to bootstrap ivy in README doc.,2011-10-18 08:23:50-07:00,FALSE
fa1982f76291f2a3b19caa266e76c4dca4cdbda1,Added version history,2011-10-26 15:41:54-07:00,TRUE
dbb1f3e53c7fc5ac1c96daffcc21e43a47bdfdf8,updated scala version details,2011-11-21 08:18:25-08:00,FALSE
d82305ada8d0293720709073d957d45b561ed9e6,Added note about scala 2.9.1 support,2012-01-17 13:33:39-08:00,FALSE
9d5d919505380e71cfdbdd698d0ac251e1e1922b,"updated versions, switched to mvn",2012-01-30 17:57:10-08:00,FALSE
610b41e2c373110b838cbf8b1267673bcb5557ac,Update README.md,2012-01-30 23:56:52-08:00,TRUE
7c1c8e7321ec5ff6ead1b42a5e8535babb99be38,Added links to sample apps,2012-01-31 00:00:31-08:00,TRUE
0e5c759a95d43bddf501c369e689a9008a9036c6,Added first-build clarification,2012-01-31 08:21:32-08:00,TRUE
da6a40137dda1ac8581ccbef42b3ab751615e995,made instructions more clear about building snapshots with maven,2012-02-02 10:19:36-08:00,TRUE
93dff938c37adfb6a2c2b14179a3fb0a34928798,updated samples,2012-02-02 11:38:28-08:00,FALSE
179784a2b39fd9b0d8f28a4d01b9e37a6eb8dd4e,added java alt-listing sample,2012-02-07 10:19:56-08:00,FALSE
ffb865f4738ad9c7109656800a85a81e12a6af35,Added link to wiki for spec,2012-03-31 14:39:35-10:00,FALSE
6d320fe87b08881e65f83d6ac92ca53f87835c64,merged from 2.9.1 branch,2012-04-12 16:35:20-07:00,TRUE
e42db9ddcdcd5ee2117d95e89144bbaddacc8c81,merged from 2.9.1 branch,2012-04-12 16:43:47-07:00,TRUE
5ccdf5ff71575a0f283bdca0a2487e961d51ace2,updated version,2012-04-27 13:24:31-07:00,TRUE
8fd46badcf6b9b9409539eae68ca1f4f4ebf45a5,Update master,2012-06-23 13:31:11-07:00,FALSE
004978101195a0cb2f18b06f551a793d33c1f417,Update master,2012-06-23 13:32:37-07:00,FALSE
f85f03e156d50339290b82f728393f99b378e035,updated to 1.1.0 release,2012-08-22 10:00:24-07:00,FALSE
c5ee960abe8310e86553f9f53202a17dc15310d8,updated prerequisites,2012-08-22 10:13:59-07:00,TRUE
156b436d250e0f07fdfafdfc59b2a6516b3b217c,added wiki link,2012-08-22 10:15:05-07:00,FALSE
b416169172b4ce4c7b31310b09643bde63df88e8,added play2 samples,2012-09-18 11:33:56-07:00,TRUE
be348201743c2eb61713e292b4d4e4acb8604509,readme clarifications,2012-11-26 18:31:45-08:00,FALSE
0dca2c7a2c31965da93a23c9167659f79183ed34,Update README.md,2012-11-29 22:14:37-08:00,FALSE
fdc601e1e13309b6f79df032250055022a8388c3,Update README.md (copyright line),2013-03-28 13:04:07-07:00,FALSE
9848763d48148e95d3d7c4912da7a61e964d6331,Update README.md,2013-04-01 21:21:53-07:00,TRUE
bdca682aaa75c90028cb862220580980d9cc6e77,added travis.yml,2013-04-08 21:51:59-07:00,FALSE
c1a2df4200450f956cc56c2e30fe2509663d44c9,Update README.md,2013-04-08 22:02:33-07:00,FALSE
46639a2ba32d0c0b4aa75cc8b235c8af2c383d09,Update README.md,2013-04-25 07:38:00-07:00,FALSE
3a65528b43c525066d5630e891914ed9792eb9c3,Update README.md,2013-04-25 07:39:01-07:00,TRUE
