sha,message,date,result
314c6c12999c4651257a924c5c95833d39454792,0.9.0,2012-03-18 12:19:15+01:00,TRUE
07e217a012334cb6babe8813c32f899b424dea0d,Readme update,2012-11-15 15:25:55+01:00,TRUE
b883998a2275c6153c94a927d2059ea660c9e2de,add Api disclaimer,2012-11-24 23:59:25+01:00,TRUE
2cfc3da762edc54bf74aba36a531bb5e6fa08b4f,more cleanup,2012-11-27 17:51:11+01:00,TRUE
8553ee636bda28471848e95af8bc07633647cc1a,Rename Readme,2012-12-13 19:48:44+01:00,FALSE
75087a1e6c9e88ce36119cb30a29227f1599126d,update readme and add gpl file,2012-12-13 21:26:13+01:00,FALSE
70b6100419ab2ffbcd9ec3e9a2f4a86855a44ee2,updated readme,2012-12-14 15:34:48+01:00,FALSE
a9bce9ea76f0734195efc891917bcaa9ef692c9f,convert eol to unix,2013-01-02 00:38:57+01:00,FALSE
ee23b67134ab9731bbaecd6426bb178f5b27416a,"0.11.0

update changelog
fix mp3/mkv",2013-01-13 13:23:24+01:00,FALSE
5d0915f9c0737106702b3d22d8c26c835ccc5ade,readme,2013-02-03 01:01:53+01:00,FALSE
c080df5b8de2390f0d287010120bb7855ed9d29a,"Update README.md

Blanck space before :",2013-12-21 01:13:56+01:00,FALSE
d3ac67297ba5ce13cde385d81a6ac66d8095c369,update README,2017-02-11 23:56:28+01:00,FALSE
b788707ad8360b1626808e66b642f5058ae39424,marketing,2017-02-12 00:00:16+01:00,FALSE
1e3d40413ad23ead93bdf48a8d61418bbfdd809b,change some default settings,2017-02-12 00:16:44+01:00,FALSE
8f32d8616e47e747311c25e5695b85cab83ec9b0,change register url,2017-05-23 15:59:13+02:00,FALSE
4760cb848c877a2f1bccdcb39f06938a35dd3438,Add Codacy badge,2018-02-24 21:52:48+00:00,FALSE
d4910acf2163ed13f2bf4f343fe540aaa0312270,Update README.md,2018-02-24 22:53:27+01:00,FALSE
26a5cc2905b94ad439b319d416ca91b86c3fbd58,Update README.md,2018-02-24 23:32:39+01:00,FALSE
d9ecdb1ef06ff6ebe624b85dbf4ffcc421709977,Update README.md,2018-02-24 23:34:31+01:00,FALSE
31a31a0fe3b4877c0d8c3efada18249cbe8ed0f5,Update README.md,2018-02-25 01:59:59+01:00,FALSE
ff26a6eea2a7030aeff859cb07c88ad71e6b300c,Update README.md,2018-02-25 02:00:21+01:00,FALSE
fa853467e3de0370a7db1e9a21e7dabdf61bed97,Update README.md,2018-02-25 02:05:16+01:00,FALSE
0e81b0fbcf55ca6408de2cc3d46a3f0423970986,Update README.md,2018-02-25 16:33:24+01:00,FALSE
796fd677856246a513343f56023594faa0e61528,Add coverage badge,2018-02-25 17:26:25+01:00,FALSE
68a978379732693843bd9cb9a7a58d1f32adb81e,"testing requires.io

Signed-off-by: tidalf <Cyril Leclerc>",2018-02-25 17:39:44+01:00,FALSE
f5732927543fb5ecdd266619cfe0f4f64f597ee0,Update README.md,2018-03-07 02:09:12+01:00,FALSE
da26ed26f21088f6f047f3b718939ce8e7cd394b,Update README.md,2018-03-07 02:09:53+01:00,FALSE
447a5caa41e3d7ee055ec3cd5c760587e99caca0,Update README.md,2018-03-07 02:12:14+01:00,FALSE
e49e86a19dfb7735e461f459d70097c907dd333a,Update README.md,2018-03-07 02:22:47+01:00,FALSE
a3e83e52c913d086ccb6a074bd718a772234bbe4,Readme update,2018-03-07 03:18:59+01:00,FALSE
c6eeb82ce309984eb5c8bbe9790feef2e4ec50d7,Update README.md,2018-03-07 03:45:04+01:00,FALSE
7d4ae3d1d5765a3366d9fad3413a34686b6b3538,Update README.md,2018-03-07 03:45:38+01:00,FALSE
4df5c38a3aff0ef747584b5341478720a3dd4c2d,test,2018-03-08 00:10:24+01:00,FALSE
64e835f33aed7d066ee9edae5f659fe99b0c4d4c,kapoue,2018-03-08 00:23:45+01:00,FALSE
aed15e6a56cd9f282c19ae49141c8e301e9dfb35,clean,2018-03-12 22:20:36+01:00,FALSE
d229fdf4ef745f71d56b2c1f1f88464a1c67b9a3,clean,2018-03-12 22:25:31+01:00,FALSE
9b4d6d5ba62cfbac4dc62a67cfd17da86e0e5d91,update badge id,2018-03-24 00:13:51+01:00,FALSE
b034c75860b49f40283ca649a77ef3499175e92a,add repo in readme,2018-06-18 15:44:27+02:00,TRUE
