sha,message,date,result
231e7c97bf73ef30128bede5cbc25ebcd8eb65ad,Create README.md,2018-12-01 18:56:09+01:00,FALSE
0c31b2b7edb12dc8e2698bd778d5c74d1340a7a4,updated readme,2018-12-01 22:01:15+01:00,FALSE
227681ff4512bc0a9dc2350c84785e372bdd184d,Update README.md,2018-12-02 13:23:25+01:00,FALSE
b7cf96d12cbd3a42cd01c79fd2bd6c467bcba58a,Update README.md,2018-12-02 13:34:07+01:00,FALSE
5c191265b29e121cd7c42b33ac119db2f9675cbf,Update README.md,2018-12-02 13:48:06+01:00,TRUE
e3c7ff9566f5da139f15cf733974389e5a3c076b,Update README.md,2018-12-02 13:51:11+01:00,TRUE
adc0fc17342ff64d6c8f75e47c26bdf25d4248c4,added quickstart,2018-12-09 22:02:56+01:00,TRUE
b139894bb74e744829320a12054000a4cfa990fd,Update README.md,2018-12-10 11:34:26+01:00,TRUE
71062eff7ea0ff4a3701d0aa4e3c9a9b6037cfdb,Update README.md,2018-12-10 11:36:11+01:00,TRUE
69af7791ce6f7896ebec7bc8331791198aef229f,updating examples to use python style,2018-12-12 17:05:26+01:00,FALSE
77f01b569c6b138a9806d13994dfc10d9257c7c3,working on better examples,2018-12-14 14:20:22+01:00,FALSE
7b46c58b72209e95efe944c2887526e42b746cbd,Update README.md,2018-12-14 14:31:23+01:00,FALSE
a980915d5ca861b3c01442d0ec883c969611d4ef,Update README.md,2018-12-14 14:33:01+01:00,FALSE
c81ef6384eadc29107368517bf4a6fffbb6a242c,Update README.md,2018-12-14 14:43:16+01:00,FALSE
ce44b0dd2cd36fb20cd3e460be98a36013e981da,Update README.md,2018-12-14 14:47:00+01:00,FALSE
a055a2ffe97cd11930e349945025a1a4c291e4b3,Update README.md,2018-12-14 14:47:54+01:00,FALSE
eea3f7fe3aa0d97c91505e880149a835121e46ba,Update README.md,2018-12-14 14:48:23+01:00,FALSE
30ceb0f0cbf529c9836cb347559265799261b8e6,Update README.md,2018-12-14 15:55:05+01:00,FALSE
6d91dc87e44c88f7e86174273cb92afce7da9e28,example image,2018-12-14 15:58:54+01:00,TRUE
a172465aa9b331681997887a40d9c25151af349e,Update README.md,2018-12-14 16:26:27+01:00,FALSE
9a1a7b9e14dcd749460ceae75574c3a1055f7b98,Update README.md,2018-12-14 16:38:41+01:00,FALSE
