sha,message,date,result
2d6f1aa9d4f492d0aa9cdf27ef5d28150863d5de,Initial commit,2015-03-26 05:27:06-05:00,FALSE
76924197e933bd44359567167b273b1343833b42,added build status to readme,2015-05-19 07:29:00-05:00,FALSE
694061eb4cf18367e54a1e685d1362f19aefe16a,readme formatting,2015-05-19 07:30:15-05:00,FALSE
20d4d0d9b67fbfd42a6d026d08e46b00a751bd80,"010 compat functions are now stubbed out, debugger is almost complete",2015-06-06 22:44:22-05:00,FALSE
a55c0e91e0cd7e866b42dac63c9b824c180a3003,force tests to rerun,2015-06-13 14:56:03-05:00,FALSE
704691a698db4c06ff42ede3c0c93e223333c672,"slight README update, need to work on the real docs later and push to github pages",2015-06-28 22:58:40-05:00,FALSE
33a3bd570f97749c73cb48def25571e6e425dcf5,adding docs build tag,2015-07-29 20:45:43-05:00,FALSE
2cfc016085f580952f04cef0631c9939bdb91f35,adding link to read the docs,2015-07-29 20:51:06-05:00,FALSE
cfef20437be7133dadf6bd107d7ec51809b626a8,added brief install info to the readme,2015-08-09 16:53:51-05:00,TRUE
321482c92ef192b9ae1abfac89c73319ce70bbde,added --upgrade to readme install instructions,2015-08-26 08:37:21-05:00,FALSE
5eeef2f1d5557377a4e9a7efaec4995744d375a1,Added better badging. [ci skip],2019-09-20 07:26:49-07:00,FALSE
4709844435503a09d221caf081bdd2269fee2a1a,removed stray markup. [ci skip],2019-09-20 07:28:04-07:00,FALSE
b63fa98d4d7f581a2c4884d6feb8e4f3adea6896,"Added issue templates, CONTRIBUTING.md",2020-01-01 21:17:34-08:00,FALSE
38015f4258e9a897d6b140c1f34e0a35b7490b24,"Fixed problem comparing enums to enums.

Fixes #113",2020-01-07 20:37:28-08:00,FALSE
df058f7db8297303a3ee7482050478ff1b59eb0a,Added --show-offsets CLI flag,2020-01-25 21:58:56-08:00,TRUE
c83c38cecf3b56e7b856cbfa4744c3c35bc0f804,social button,2020-01-26 06:29:39-08:00,FALSE
8387491981cd1aebf3b40934bdc0eba50e7d2eb4,Create C++ generator,2020-05-13 09:10:55-03:00,TRUE
49d679aa9b9e64dba2fd21cc194f91432457000c,Update README,2020-05-13 09:20:26-03:00,FALSE
6c7c52a37083ad6ae51ce6952090780585a1522f,Make PNG great,2020-05-15 15:12:53-03:00,TRUE
401d27fed8ad7c5205d397b39f7b3e5de94ea10a,Make AFL great,2020-05-20 16:04:29-03:00,TRUE
