sha,message,date,result
ffae96de9dcc3ac7335d1909779515d43eced33a,Add README and LICENSE,2020-07-28 12:31:50+08:00,TRUE
ad6eeb0fa69635386a436ae732e33b1a0ee50b1b,[mysql][postgres] Rename MySqlBinlogSource and PostgreSqlChangelogSource to MySQLSource and PostgreSQLSource,2020-07-31 22:18:07+08:00,FALSE
bc0ef84861f33d2b0b36e4b1f2d4b6ca099d207a,Update README.md,2020-08-04 20:20:11+08:00,TRUE
2ea391b19d0377cf604317452399cda098be3a6b,Update README,2020-08-16 23:51:04+08:00,FALSE
a2dea76d96b4938cab0d3fcb834e375e691330de,Update README.md,2020-09-08 11:25:36+08:00,FALSE
2dfb59f3c783d8bc56b25a72517aa5589451cb85,[build] Bump up Flink version to 1.12.1 (#95),2021-02-24 15:20:16+08:00,TRUE
116cea690db4fc78814792c2383814f7e237e114,[mysql] Minor code improvement,2021-02-27 23:21:24+08:00,TRUE
e9e78f10d6dce21b3707f083a61ec1311ef15f77,"[mysql] Refactor class names to use ""MySql"" prefix instead of ""MySQL""",2021-07-21 10:22:10+08:00,FALSE
8162dc7ae3c401bc155bd7516efd2095677d0c2f,[build] Rename group.id and packge name from 'com.alibaba.ververica' to 'com.ververica' (#287),2021-08-05 13:08:21+08:00,TRUE
98835f3b89680ed0548cc83881ab9c600f53d8e4,[doc] Add documents for flink-cdc,2021-08-06 15:46:56+08:00,TRUE
fa774c86d24e4fede1f429423bb49bb94ece12a6,[doc] Add readme and support markdown list,2021-08-06 21:00:11+08:00,TRUE
db4215292ba987ba6a748c26dccc5f3c761803db,[doc] update the supported connector version and link,2021-08-11 14:45:28+08:00,TRUE
7da7dbdcb22fa7c143467ca60da9f123e6810a7c,[docs] Update DingTalk group picture size in README.md,2021-08-11 22:36:14+08:00,FALSE
047706ea6a7d41adacf02d93155fe2ad6fcb3d8a,[docs] Fix the broken link in readme,2021-08-30 16:35:24+08:00,FALSE
40a037d9fc06b83f675da93e64b7c3cc7bf1fcb3,[mongodb] Support MongoDB CDC connector (#225),2021-09-10 18:21:46+08:00,TRUE
bbd2870b08630c0912a2b6bc826868f81617d37e,[docs] Correct DataStream API usage in document examples,2021-09-22 18:39:02+08:00,FALSE
890ac423dca61d88e8c47458b159f6dc0e784907,[docs] Update the dependency version to 2.1.0,2021-09-23 21:31:19+08:00,TRUE
5beaeaf07c8affc1fec5d81722d355912ce1151a,[docs] Use more generic term 'transaction logs' in README,2021-10-09 16:42:26+08:00,FALSE
9cf48a371480ecc7edf2ce035bc3b3136ffca842,[docs] Use SNAPSHOT version dependency in master documentation (#497),2021-10-13 15:30:30+08:00,TRUE
5ce7adb619c3476b3101951c45508cfaea7da701,"[mysql] Expose MySqlSource API that supports incremental snapshot (#495)

Co-authored-by: Jark Wu <jark@apache.org>",2021-10-13 22:31:42+08:00,FALSE
98ab02fed246a3294fbd10a87126b3b3e82a3010,"[docs] Use new MySqlSource API in documentation

Co-authored-by: Leonard Xu <xbjtdcq@gmail.com>",2021-10-15 12:35:12+08:00,FALSE
e79ac93f28cb8026873de4cec438aa2ef0faed3c,[docs] Add Oracle support in README,2021-10-27 00:17:50+08:00,TRUE
6174c7e690e875eb6a105a82520cfd2225e52f8a,[build] Bump version to 2.2-SNAPSHOT,2021-11-15 14:47:23+08:00,TRUE
38ba603c1aea099dfb6346d37fe9d2f0c3a102dd,"[docs][sql-server] Add sqlserver-cdc connector tutorial (#687)
This closes #687.",2022-02-21 17:39:16+08:00,TRUE
