sha,message,date,result
99b54c0582a957ae97db00ef0995a5d0050e9a10,Initial commit,2018-04-29 16:32:20+01:00,FALSE
04a88128541c6bfc1ce94627d239873d0477b63e,Update README.md,2018-04-30 11:48:38+01:00,FALSE
960eecdda7724e3b9d6e8dab25dafb8e1883557b,readme,2018-04-30 12:57:18+01:00,FALSE
f69dbf3b4c1ed57578480f2cf92210ce191537de,...,2018-04-30 13:00:45+01:00,FALSE
4954e70bd8042658067065fbceac09958651f439,...,2018-04-30 17:22:25+01:00,FALSE
9b24e162496ea74f92b66eeecc28c14e5ad9c6a3,...,2018-04-30 17:24:04+01:00,FALSE
7e56902481d17e1e4a092027cd14d28b77b8ae12,...,2018-04-30 17:24:47+01:00,FALSE
660b2dc10fe0dabf28a9a113eb7134a05358c4c9,...,2018-04-30 17:30:18+01:00,FALSE
401f67697150dfc372a724e3085b2cb11eb5410a,...,2018-04-30 17:39:24+01:00,TRUE
5e9f884dc846b2ed1d872f67c394b69ebef8d746,...,2018-04-30 17:40:18+01:00,TRUE
fc17016036b975dc072b978112a3623115dc1aa4,...,2018-04-30 17:42:52+01:00,FALSE
ebfdfdfc2801419c21ba01ab0c62d69ab7a1453b,...,2018-04-30 17:44:01+01:00,FALSE
c71bed5b5eaecc5b538e094f728852e984cc6526,hidden files option,2018-04-30 18:33:46+01:00,FALSE
3d1348fff068880201225514a8c45526a79ba292,Update README.md,2018-04-30 19:18:39+01:00,FALSE
9384831e22251dfe714c5c9e52e1162dca581cd7,Add a sorting option,2018-04-30 20:44:39+01:00,FALSE
5bc27a6556361b01b4a1b3cd0435d6e033a6a7f4,...,2018-05-01 01:17:38+01:00,FALSE
f1e42679373d1b8f5e1e6f40aba2edd11a73a600,...,2018-05-04 19:04:53+01:00,FALSE
1776ede48932a3e4d44fb74e5086392b5ec407c8,...,2018-05-04 19:09:13+01:00,FALSE
ca40b88259705afcd1ce45ac12af2cc38b5c0dc6,...,2018-05-04 19:09:57+01:00,FALSE
46cd083e4492ff130b57b201b09175231620f0f9,Update README.md,2018-05-05 12:26:11+01:00,FALSE
f99a87b2a21933afb2d4713eb3cd8671a0cd369f,Correction on README.md,2018-05-07 16:51:35+01:00,FALSE
a69459214688582702bdc7232eac85c7f9b5028e,small uptate in README.md,2018-05-13 02:07:14+01:00,FALSE
4867c39c330f8ad6149e8ec5e8cc4a859326da78,update info about requirements,2018-05-13 11:39:42+01:00,TRUE
9137580b07dace7b4f2ca70ee22dc6657f9ba3a5,typo,2018-05-13 11:43:25+01:00,TRUE
7bec16371c1f492cd7d13853a4ca64f2e773a7e0,updated README.md,2018-05-16 16:11:04+01:00,TRUE
4f644b9ed396f2968ac3a798646703fc778aadf2,Update README.md,2018-05-17 18:08:53+01:00,TRUE
13d670917ef83f51e6d88f3f994463561bc62033,"updated readme with -v, -st, -nf and -nl",2018-06-22 19:18:49+03:00,FALSE
897e0085ec405b4d3790e715c188fa2ac52c308c,updated readme,2018-06-22 19:26:22+03:00,FALSE
42adedfbdd543ef22dcf17ac894489cd4bac96ed,added -st example,2018-06-22 20:07:38+03:00,FALSE
0b5ebd26eabfe51e0127d3a04cd90e4f76db7e10,README in other languages,2018-06-22 21:03:21+03:00,FALSE
3a1f38a06c45ca8fc19c681e23688860cb17ae28,fix transition to a new line,2018-06-24 21:41:07+03:00,FALSE
b3aa51bf349243c885c6825f808bbe2072ce72c1,updated readme with example -fe..,2018-06-24 22:05:41+03:00,FALSE
0af43d9ddaa35ac8f487230d4c9095f71ac203c8,contents,2018-06-24 22:23:01+03:00,FALSE
6dc6392f8d7d0afa61d64f1e4c6cbb805ae1c70d,contents list,2018-06-24 22:28:46+03:00,FALSE
e7b329be5eb31354c942bc2bf6124dfa55c87bdb,added subtitles and continued portuguese translation of readme,2018-06-26 16:28:48+01:00,FALSE
ba2dd77b28afbb8b18caad42ccc466d62c9e7c49,...,2018-06-26 16:37:20+01:00,FALSE
189f98cd741eb0b746547c38783e5541d4bb20da,more complete TOC in readme,2018-06-26 16:54:45+01:00,FALSE
c9bbe3340a85e16c35873cfd39297882867a720e,...,2018-06-26 16:59:55+01:00,FALSE
2191654f05a0a212752757854d4df41420b8745c,...,2018-06-26 17:29:18+01:00,FALSE
