sha,message,date,result
b99aab9285c4a7e45c2daccea8239a3ed1482982,Added draft README.md,2011-10-30 11:01:11+00:00,TRUE
13c5bf6e692caa99fca6560f09e715eb71910867,Updated draft README.md,2011-10-30 11:02:40+00:00,TRUE
d4463137623264d70e16a62649ac3c01079b114b,Updated draft README.md,2011-10-30 11:04:38+00:00,TRUE
c7ad42814538559e5e1ea44b138ec8a0aff7d04c,Updated README,2011-10-30 14:43:16+00:00,TRUE
02225559633ca0da03ff101e82224629d4ce8d59,Updated README and JSON sample,2011-10-30 15:15:12+00:00,TRUE
d19cb4c3c3ae10458aaf80db0e594b9a5e3311a7,Updated README,2011-10-30 15:19:19+00:00,FALSE
a20a495b91978dba9eeb719e076b6e9995ec73bd,Updated README,2011-10-30 15:22:29+00:00,FALSE
010e51b0238a006f3f6b95d4909197162e4861d1,Updated README. Build can now generate Maven release.,2011-10-30 18:11:18+00:00,FALSE
3f7f6c499cc4ae5627b0765b32183b4f32599e23,"Added release task to build, which deploys both JAR and standalone JAR",2011-10-30 21:07:28+00:00,FALSE
13fb90f1833ca529b337a9360971d35f978e6008,Updated README,2011-11-01 21:48:09+00:00,TRUE
42af03e681f2de712c27510251f7c2c91751cb61,Updated README,2011-11-01 21:51:29+00:00,TRUE
f72df6d6b78c2911ec96799e1fe06c4cf7e6da28,Updated documentation,2011-11-30 23:20:02+00:00,TRUE
15ce42b95b9cda204f40770a37a9b83172ffbc18,Updated documentation,2011-11-30 23:21:44+00:00,FALSE
a6726534824739ecf9e8b2545825566fa5081766,Updated version to 1.2,2011-11-30 23:23:36+00:00,FALSE
e7524a82ebf3cdff43ae2b91ef4b3f6200ea9e63,Added ability to configure proxying from the commandline,2011-12-01 08:22:30+00:00,FALSE
7de2ed2679c83ec53c0a1b6c7802f26147c98ecf,Bumped version to 1.3,2011-12-01 08:24:31+00:00,FALSE
746e42235c0b5dc7c079d64728ae1d11f6880d2a,Made priority a number and changed mapping collection accordingly,2011-12-10 21:07:15+00:00,TRUE
6562e86b6d317528a37c9d317b1d227a71a56904,Updated docs and tests for fault injection feature,2011-12-11 13:17:03+00:00,TRUE
93535a6a96ab21618552025ad3532e6336c168dd,Upped version to 1.6 in README,2011-12-12 19:14:01+00:00,FALSE
6818a6f0fd083fa214f3d23df553712bba07ce1f,Updated version to 1.7,2011-12-12 21:41:05+00:00,FALSE
3b9fa6e50c9ee21ede9bb60c6af39e60c78e7c6f,Updated docs to add withBodyContaining,2011-12-13 20:55:38+00:00,TRUE
cec34c127110f46a872c77a73e022b0c3ad8712b,Minor fix to doc for withBodyContaining,2011-12-13 20:56:32+00:00,FALSE
e2910f3d37e543ba3bb31cb7a2b1590085c4dc07,Moved packages and maven group from com.tomakehurst... to com.github.tomakehurst...,2012-01-06 16:02:06+00:00,TRUE
30a081438931c5145cf22e0b99d57994cf0d0da3,Updated version in README Maven example,2012-01-06 16:06:39+00:00,FALSE
8eea92f7df959e8e42ffcb2c1ce54d95a4d992c1,Updated version in README standalone examples,2012-01-06 16:08:50+00:00,FALSE
f0cd89c4bef7e7787579283f8e625a350c072eee,Updated version and README,2012-01-16 23:12:19+00:00,TRUE
fe58d9ebe5ab5fb9845c962626b286e755707f04,Updated version in README and repo location,2012-01-16 23:14:30+00:00,FALSE
9482db309a73fcd22995c9ccb7aae77d50c7ae2f,Updated readme for new version,2012-01-20 13:27:55+00:00,FALSE
a856aefd9219cdd5044c6f18c87ce6f7175ca98c,Updated docs for 1.12. Updated sample WAR depedency version to 1.12,2012-01-24 17:16:04+00:00,TRUE
85f154b7f684eedb51d29709182dc7fbadad2748,Updated missing header example to README,2012-01-24 17:17:34+00:00,FALSE
6fe65bba39642184a85f08fd8c536ae5614176b3,Upped version to 1.13,2012-01-31 14:19:00+00:00,FALSE
fc73bd2795b1acd8f081dfc1f8f6d08ebfe409df,Updated README.md,2012-02-09 12:55:19+00:00,FALSE
77015a698ca99f3248a480079df726afbaa74aba,Updated docs for JUnit rule,2012-02-12 13:26:10+00:00,TRUE
32debbb0f7d8d8b0952cb398933fc19e9249eb4c,Upped version. Tweaked README.,2012-02-12 19:01:02+00:00,FALSE
f3eab6cdd6d51372d408dbb9137b155fe66b30c3,Upped version,2012-02-18 17:56:19+00:00,FALSE
4bbae64e50a4e0221a3c80a6892f0aedb74f6e53,Updated README and added reset() method to Scenario,2012-02-18 19:45:36+00:00,FALSE
af91dbccb1a313b6e2446d5e36027e964185a4ba,Updated docs to include discussion of scenarios,2012-02-19 00:00:35+00:00,TRUE
26a07321130073a2c5c6b67dc1860ec7d055d7e9,Upped version,2012-02-19 00:01:51+00:00,FALSE
a0fd6b258ea9aad2053fbd2623fd6bb47aef6234,Small README update,2012-02-19 00:04:38+00:00,FALSE
6ca3fe955d169a98ad2d1b88c9c060103b9ccc2b,Updated README,2012-03-25 22:40:01+01:00,FALSE
83908a30d429807602e36c6cdcf807fe3962ce18,Updated README to reflect the move to maven central.,2012-04-09 19:57:31+01:00,FALSE
2012b542a8d725f4aa2ebda999464a019a176fcb,Updated README,2012-05-22 16:46:23+01:00,FALSE
21582582feb95e4c3ccd30c193f37cb6e15e7602,Updated README and sample war for 1.20,2012-05-26 20:11:07+01:00,FALSE
cc621c18fca92f9dec658332e7bc2c90072d90ef,Updated README,2012-06-08 10:25:24+01:00,FALSE
0c55cb388d38e45b85b2445f449248ea95dc1818,Upped version,2012-07-20 11:53:49+01:00,FALSE
0fbaafe5aacff2ae5bc8903a42c0d2b4ede08afa,Updated README with multiple valued header info,2012-07-20 12:23:42+01:00,FALSE
f66b3359f7b2790a3b6d502d7ccfbce19ba35628,documentation for the binary handling,2012-07-21 07:17:25+01:00,FALSE
8acc93fe99300d4c988e124fa71fd04186827bc2,"missed a comma, update to text",2012-07-21 07:29:08+01:00,FALSE
4a76701a9d52cb380ea2d409b163e16ab90706f9,Updated version in README,2012-08-09 09:34:41+01:00,FALSE
edf7a67cde148affcf78ed279cd5de3055e93a61,Updated version in README and sample-war,2012-10-12 23:36:03+01:00,FALSE
25d4d16d625ffa4141e4b9cce657bb71adeb29ef,Modified README to point to new doc site,2012-12-04 23:01:34+00:00,TRUE
d0625e8f39c5454d37be09dfb67b0ca1a473fe48,added travis-ci configuration file; updated README to include CI badge; updated gradle build configuration to disallow signing unless archiving,2015-02-13 00:24:04-05:00,FALSE
2dba55c875b9645dc7a799c1c67892d75ee089e4,Updated the README with some notes on questions and contributions,2015-03-29 15:59:21+01:00,FALSE
