sha,message,date,result
255caa2b443abb5f4d0ac4775627b8d8666c3e33,Initial commit,2019-01-15 18:15:33+00:00,True
ec20f9363912a2a3adfce0e073192da60a0d4c13,Update README.md,2019-01-15 21:24:27+00:00,False
84e5d4ab0a0693a14833d764ff15f39255759d6f,Update README.md,2019-01-15 21:57:37+00:00,False
bf3d6567d12222b45f45c4b24d3b754624ce6817,Update README.md,2019-01-21 17:38:28+00:00,False
e2fe46c0be31a26e722d04c009fe23c426f062f0,Add badge,2019-01-21 21:48:49+00:00,False
0852f10cf2730809d613203c87e6c4707b255c6d,Generate README while travis build,2019-01-28 16:16:47+00:00,True
ad8ee62cff3b77fe036c54c0a9c8838a06c046b5,Travis build 25,2019-01-30 20:50:30+00:00,False
0b592abd2318c5381369aa8b7b0259f875f2786c,Update README.md,2019-03-03 00:53:49+00:00,False
52af388491aae6b55896edf800bc24769d8fc750,Travis build 57,2019-03-16 18:24:30+00:00,False
98999719b26bb3f9a76b0b90ffea6772277a7a98,Travis build 59,2019-03-16 18:36:25+00:00,False
8b4b9d7e82f28427305a962ab04e3b9c2dbdb197,Travis build 61,2019-03-16 18:51:03+00:00,False
2655b952093408d7b337257c76a913d67ad605be,Fix .generate_readme.py,2019-03-17 17:50:17+00:00,False
b6453820eefe8a639e3475419e4b339257633080,Travis build 86,2019-03-19 10:14:13+00:00,False
d402487cb4616d120be53c46b313b19dd40885fb,Travis build 182,2019-03-26 22:53:24+00:00,False
e875b81b01797bbc3b2c240a37c533067e839885,Update .generate_readme.py,2019-03-28 03:40:47+00:00,False
be58b97b914c5f535ac1e64e4ddbc9a3e2457de3,Update .generate_readme.py,2019-03-30 19:17:49+00:00,False
b059c6739ce0817351ab22582396dfa6950710b2,Update README.md,2019-05-17 19:08:34+01:00,True
354fbad7b5d7634a815504d51842bc5afd9fc2e2,Update README.md,2019-08-30 16:08:22+01:00,False
accb75cc911bbc5e1a7bc7de23f03bc2210d5f46,Update README.md,2019-08-30 17:37:55+01:00,False
e96a074b0f1980eb3cd6cbca056bf93718a23705,Update ros installation process,2019-10-02 09:27:52+01:00,True
dcecb8b4b1e6f9d9631af42901894e8b01d24492,Update README.md,2019-10-20 01:40:16+01:00,True
1470c564c90dfd1f5b21fbc07877e4d63fefa608,Remove template prefix,2019-10-21 13:57:43+01:00,True
5549d23faf90cfb9eef2493b3e0e06af526072e5,Update README.md,2019-10-21 22:20:30+01:00,True
787363651d5ca47eb820395c9dd857d60fb342c1,Add rosdep_install.sh,2019-11-26 22:12:17+00:00,True
e6b0c39dcd36c017a71c15e49e9f3a358288e820,Update README.md,2019-11-29 00:01:52+00:00,True
328730784012df59b3c850e19bd7330e2514e1a7,Update README.md,2019-11-29 00:46:29+00:00,False
2ba36007546cc394c6ac546b581e3427a2c1d9d4,catkin_init.sh -> catkin_build.sh,2019-11-29 20:01:07+00:00,True
714939ae96e7a71990831157048571dd82f47467,Add create_udev_rules.sh,2019-11-29 20:01:10+00:00,True
895e1a7f69a7aac2b6ebf2d9b0564a0663c2f3d8,Update README.md,2019-11-29 20:57:06+00:00,True
1d32a16aba47bb9cd66dc97a56636955cb4a92e0,Update README.md,2019-12-10 12:20:53+00:00,False
69a74f64675f8181e0b208f1ce3b1135b90dc72e,catkin_build.sh -> catkin_build.robot_agent.sh,2019-12-10 13:16:52+00:00,True
c614304336d94b4bd142e9ad65a7a128bd3c244e,Update README.md,2019-12-10 21:47:22+00:00,True
d461b0e375125c84667a1c87634ac45f0376672a,Replace github actions to travis,2019-12-24 06:42:55+09:00,False
719da609aac592da498a98ea76e2dc5987e74b34,Rename autoenv*.zsh,2019-12-26 14:27:20+00:00,True
876c4d0a5b825824220c741399cfe089bbad85a6,Fix utility scripts for ros,2020-01-09 15:45:33+00:00,True
89d9f3529904bc6f6c96669f830a0031ab1c0f85,Update README.md,2020-03-04 12:42:35+00:00,False
f1e2d4832b7ffdb979918c4d34df34ddb0b3174f,Update gif on README to be lighter,2020-03-08 18:44:38+00:00,False
96e8a07296ad664a52da0a6a6b4995b9f60f2eb0,Commit gif files to avoid 504,2020-03-27 00:09:19+00:00,False
64eddc315a4ecfee2c2842520472ee533584d77a,Update README.md,2020-05-20 17:35:33+01:00,True
323b7d4f14ddb316fb75cb9cf86ab3a02c049dd9,Update README.md,2020-05-20 21:38:59+01:00,True
5c1036c19db0a55d24314336b09c01de11284a9f,Update README.md,2020-08-15 16:34:28+01:00,False
f90aa0538f17363964519c907dd6885178270583,"Update README.md

Close https://github.com/wkentaro/morefusion/issues/71",2020-12-07 20:47:47+09:00,True
a846fac7063b7ff797b6993aeeae30bf77bcc0e4,Fix README regarding --centerize-pcd,2021-02-04 18:23:25+00:00,False
92b87c43a366fc76498a1b6de04c1978265853f6,"Update README.md to mention the OS, ROS and CUDA versions",2021-02-11 10:43:39+09:00,True
07c7792ee2f853bdadb8f5c2d7777e8b89eee3dc,Fix gif path,2021-10-06 11:25:52+01:00,False
af5482ef14958b2815d86972906404a798442e45,Update README.md for new installation,2021-10-25 11:36:34+01:00,True
077bdf294f98551776aaf44d1b21428b907e5764,morefusion_panda_ycb_video -> morefusion_ros,2021-10-26 18:33:12+01:00,True
08c9ebcc98e488ce85a21e2748d56b2289eb3fb8,Update README.md,2022-02-10 17:35:18+00:00,True
5267855309edc32edf26e9eceb23ffe267f20db2,Update README.md,2022-02-23 06:26:02+00:00,False
