sha,message,date,result
e5f0af7b93cdf65038e991181613b3773013a121,Initial commit,2018-01-31 03:34:51+08:00,False
21b7f62d2dd1ee917cadc627ce3ef045937c8577,first init,2018-01-31 04:35:46+08:00,True
a5bad8f1f6e0f5489f0905bf52c7a3358816eac8,add demo,2018-01-31 04:38:27+08:00,True
76cf6e55b4dbc3c05883987f91412c6ca6bb5306,"add batch, with ffmpeg demo",2018-02-03 00:18:14+08:00,False
019aa104810baf408c0ada6d238e7782cc844179,update,2018-02-24 14:18:57+08:00,False
35aa76bde48341c0bb30031d9a0aa07259258363,update,2018-02-24 14:21:51+08:00,False
68ac053422d9f88074713dfcce27248dac788378,update,2018-03-29 22:41:47+08:00,False
4a3ca92bb71436b2e055d5cc15bf66eb4004b37f,update,2018-05-16 14:59:52+08:00,False
015739cb6b2da23e2a3554ce36a06f963d1323df,update,2018-05-20 17:32:58+08:00,False
bd42b6ea436684f9824c94a8d7326b061ae169bb,update,2018-05-23 00:09:17+08:00,True
af95a219d2f7b915862d1ab72168e8837741fbe1,update,2018-05-23 10:52:52+08:00,False
3ea099a8b4968e13a4b9ef858433c767713a9e52,update,2018-05-23 11:32:14+08:00,False
123dd0f2165f1e54f6386f8b784737cfe80d0d4c,update,2018-05-26 09:59:07+08:00,False
7489ddca78671eb9263b27b57a098e4a22648f98,update,2018-05-26 10:24:15+08:00,True
3f15490c1a56c4fcc121b0339e5b392c9f3a1be7,update,2018-06-02 22:39:21+08:00,True
e53d313150a471cddec596fdc19ae9dacd7ab7eb,update,2018-06-25 11:01:36+08:00,False
2950ea48a37e851fe770f07472de30350c1a2620,update,2018-07-21 18:32:28+08:00,False
346cd963c69b2d9e432c62eed37ae0d97751e05f,update,2018-08-07 17:26:45+08:00,False
f4893f9324d6012812733355deeef644cbaabe84,update,2018-08-07 17:28:18+08:00,False
3dca985e18a230b5607240479a906e52c6be2305,update,2018-08-07 17:29:36+08:00,False
02028b16bd08614d3674fedc674ace0c10805fb6,update,2018-08-09 05:36:50+08:00,False
879009081ad83c648089a729d66c90464963830a,update,2018-08-10 12:29:36+08:00,False
dfc24d1ad1128e324be9e600ca61ef6785cad7ce,update,2018-08-22 19:21:52+08:00,False
7c0d682b9efb416bd035ef73973e3ecda2e344fb,update,2018-09-04 18:28:57+08:00,False
2cc37110e4bd144920299b4a4b47662e6c738d61,update,2018-09-04 18:31:03+08:00,False
decf8614f029d0bc7b5462d180712506570f90f0,"added google fire to py.fire, so it's simpler for you to write a command line program using python",2018-09-05 20:21:51+08:00,False
227b1d19ebc2757f4b34f29b5b0b04e5a8439356,it's all right,2018-09-05 20:32:02+08:00,False
1ecae00f4f460bb2c134c6fdda52c3cd5948ffbb,it's all right,2018-09-05 20:34:44+08:00,False
d292c2593a5b495253e796aea1fd24ee732748a7,add os class for install or uninstall,2018-09-11 09:21:05+08:00,True
9db03cba4af61efee7db9973a664ca97e8317c1f,added inverval argument to python3 loop,2018-09-11 09:27:31+08:00,False
c43327c6c5178d82f405d926fe663bd4f23fb783,Who does not like colorful codes?,2018-09-22 11:45:08+08:00,True
20e10bf452df3f64d83702a6136d9d9d25571a9a,Who does not like colorful codes?,2018-09-22 11:47:46+08:00,False
a65ceeec8015610dfcddab045559923802a6eee3,remove useless function document,2018-12-24 10:42:26+08:00,False
5a43e3cf2a3fb983019584c8ffcd3de2a6a47788,add a invitation for request,2019-01-18 20:47:08+08:00,False
66558eb744a98dc599e6424d3c996ba8c24b39fc,fix a bug in creating a service,2019-11-01 12:19:51+08:00,True
5a413d6f4f3850034447db22a1957b1632672206,update readme,2019-11-01 12:28:07+08:00,True
31ac9806b82d8a331c85fc5da3729b9be564e0a4,update readme,2019-11-03 12:03:34+08:00,True
76bee8e7697a7b709ed139320df14cec864bf687,add py.make_it_global_runnable(); so you can run your python file at anywhere now,2020-03-26 19:38:05+08:00,True
4c03dd76c7f8e9dfa0a283e5c415c6d5b58023ed,add py.make_it_global_runnable(); so you can run your python file at anywhere now,2020-03-26 19:59:12+08:00,True
472d3c76a9ed4277e2ce912113a4f9c486689358,update README,2020-03-26 20:04:23+08:00,False
4b850b8b73859ea3e8d39238ea7ffd1d7f34e6ef,update readme,2020-03-26 20:08:58+08:00,True
59dbf38fa6ca78d8f9e4420fe95bf8d197e952ef,update readme,2020-03-26 20:10:51+08:00,False
4ac9aeb63c3ed794304a63a405d2d6c6a5ac40c5,change readme.md,2020-06-19 02:26:18+08:00,False
1b40ae45a9fde6cf03c59bde8fa3300230eb1252,update docs,2020-07-03 08:27:15+08:00,False
f321726e74e6f1c3b6c7c5a3c8aa10238e9821ac,update env_setup script,2020-07-03 23:53:31+08:00,False
58552d7b6f09c4179383c4e9258dd472a273566d,update readme,2020-07-11 01:42:48+08:00,True
eaffdc6ee5836bd68632ff6e67941141505474ef,update docs,2020-07-12 07:31:40+08:00,False
be2184289cd93d2cf0fd692c1bff6fab4b3e9e94,udpate readme,2020-10-29 18:39:37+08:00,False
d994d18189db4aa2abd5337eb0e8dd89a8480c2d,udpate readme,2020-10-29 22:21:52+08:00,False
c09fbb8a33261f48058db3ddd2d9b8c8fe6ef763,add donation icon,2020-11-08 06:11:56+08:00,False
