sha,message,date,result
b4d07b1c5a3e575253c3507a59fcea458a398308,Initial commit,2012-08-01 02:28:37-07:00,False
a7a2444ee3da99bd2ce223c3cbb86e3e176b262a,pass test monitor,2012-08-17 17:23:14+09:00,False
952b73eaea0ed0c7f716e72995aaba2734215ca0,pass timeout test,2012-08-20 18:32:28+09:00,False
430ab6a9d697cff39a11bb991b1f9b30928f749f,change project groupid from org.zeromq to org.jeromq,2012-08-21 16:13:29+09:00,True
6316d3cc088a85d053009f675f5363eef54422e7,Use thread interrupt to escape device,2012-08-21 21:04:58+09:00,False
5b5edfa756a02d44cccaac5cd497bebc60f4e10c,enhance socket termination,2012-08-22 16:10:55+09:00,False
38d6cbb18d4d580c987a69023add2e241787ab7d,resolve jdk7 issue,2012-08-23 17:28:51+09:00,False
ec56572a711348cdefbdcceac97ba05c3e42aaca,add tasksink guide,2012-08-30 14:39:06+09:00,True
fcb07fd34630c54e212c9edefce1080ddd71a3d7,add more guide example,2012-09-04 15:12:05+09:00,False
48b3cd0faedd6d91858fca6787aa730f306a4be0,"Update README.md

Added reference to C4 and made minor spelling fixes.",2012-10-19 15:37:02+09:00,False
e772e53a2c235bc8c6dd1098979e233daaa374d5,update pom and readme to apply moving to zeromq/jeromq,2012-11-02 14:03:56+09:00,True
b181713384fbf920b8b8b21284cd53424821046b,generate ant build files,2012-11-20 09:49:31+09:00,False
ecccb554137a520cc45a5385c1709d396e256833,remove persistence related code,2012-12-04 13:35:27+09:00,False
3249bfa213678359424524d057086fc86769b341,update README about 0.2.0 release,2012-12-07 18:30:00+09:00,False
a6b284f0b5e7f5fb3a16bf79d39d019f706ccf0a,add a pom helper for the latest sonatype snapshot,2013-05-27 12:52:06+09:00,False
b800bcd82bca18dbcde8dbbff7fc118064e8e227,Add build status icon,2013-11-03 18:08:22-04:00,False
a2b8a6df9d6c1f3c56472864988db4371fc911d8,"Change groupId to zeromq

Preparing to release to OSS sonatype",2013-11-03 18:19:45-04:00,False
2f7535c29776b5e0beeb3023f65727a12f0d267d,Prepare for release,2013-11-03 18:40:23-04:00,False
5f63efbd632d2dad4bd460f799ed7d54e63cf39b,Update README.md,2013-11-03 19:01:10-04:00,False
c939d883f780278734f62eb49cbeca8b9f508e2f,Update README.md,2013-12-10 16:01:26-04:00,False
2d658f57a7e2408e3d3b61b32e0e4b0cf21bb6d3,Update README.md,2014-06-18 00:20:50-03:00,False
4bbd1618f70f553e26dfe2cee3b085c35709f57c,Update README.md,2014-06-18 16:47:19-03:00,False
054a614deb0c1dfc4bb0a4376706cea9150724c7,typo readme,2014-06-20 20:12:51+02:00,False
