repo,sha
actris-cloudnet/cloudnetpy,791996f10312e691b4796e26d4eac10c7dcfe5e3
MinesJTK/jtk,3bf47889bfa18fdc048987ae8ccdf59ec21edfb1
vespa-engine/pyvespa,2c51a5689601d5140f1a5d28e191c28fbe941538
apache/maven-release,ab3b3c709f2dbfb9f409d82f6e11974e3ddb2b2e
fakereplace/fakereplace,351349f822ca9003d75c2367224c12fd524053f9
sktime/mlaut,ef6df144a8903253cae4eb028afb29944ca01944
storaged-project/blivet-gui,94a2f8f2fe8709414f0d5d747c1ef66e35dc68ff
NASA-IMPACT/pyQuARC,88383d8ce721a5a53be769a18e031fb0254d1a1b
actris-cloudnet/cloudnetpy,c05d5a98b2a22b6cba6e6346cf9231957072dccc
tellor-io/telliot-feeds,c65847ddee6c405b0eaf663ed438952f81c2b701
actris-cloudnet/cloudnetpy,1ecb7736496115721ecc44eb668b05862433f05b
JetBrains-Research/code2seq,b98dac5e6e4f876a3da0feafe99931af445735ad
thegeeklab/ansible-doctor,b48ea2fce0dd9223c548a755811f67a59d3de12b
Progether/JAdventure,e207ff22ce736d646c800fc23c0a47c8ce02b049
fakereplace/fakereplace,cfa1fbff8f392ae90512a88f0b639697de3bdb4f
googleapis/synthtool,aabf1e8f42c6096be235c04ce169c4d9458d013a
vanheeringen-lab/seq2science,4dfbb7978710d6518c5145550390017733758735
mansenfranzen/autodoc_pydantic,b486718f6a0ba58d83a4654da3fcfabc1a34c8f5
storaged-project/blivet-gui,a2b89a61ac7e31a2c95af150e49d18aeddd191a5
deepcurator/DCC,5c2b9d8ab926f2be82d1059800e33b5aa7478c54
manifold-systems/manifold,0bbe748a6f1a6dc5e2fd1d6937987a96b9e91fa9
karlch/vimiv-qt,2d6d454bc78fa95fd0c9b810b53a349e36aa7490
jfnavarro/st_pipeline,acaae148682efedd41f799402dd8c9505a05ec7e
vespa-engine/pyvespa,ae72c4eb4506d7e8e5dbfcbba039c46733a4850b
hashsploit/clank,e3d3e47dd553b3ca317334c542e1c38f287f8a7b
NVISOsecurity/ee-outliers,eabf1cd705aa14550b47303e3d0a8d61d6c147e7
fortwoone/Oracle-Project,092db0bc8906c0f2e5805ff4621ee0322e6b4360
failsafe-lib/failsafe,cb846c5fca23a8765f67456acac4073d3888b40a
quarkiverse/quarkus-amazon-services,c2f11b54fb9291a24c16bb3766a9287be0b8fee0
hentai-chan/hentai,87043bde4eb52eaee3f4cbddaf3c1a737c646cbb
alphagov/notifications-utils,6829efb5a1ec96f3934eccd4b9420739bca2beb7
Hack23/sonar-cloudformation-plugin,4b13c44df2658f393b0ca38ee4d5f5ee9940ae88
deepcurator/DCC,d75e792a3b7273466a4eaf16ffef0447c0e117f8
MichaelCurrin/twitterverse,5ccca25fc86b66374c37bcceb9ccd3333aa43d6d
napalm-automation/napalm-logs,00595f77ff8155db547eea79f7212033c6581cba
tellor-io/telliot-feeds,4012164df1db2f72c6a2524fa7818ce34d07057f
NVISOsecurity/ee-outliers,7d027da9102d2d65aa2ecf8f8160e161ef916d06
FlansMods/FlansMod,8f21f76208661bc72652225f03b5e78939752f81
hentai-chan/hentai,16009b745ad613588e40cb8f2a242e366cdbf503
jfnavarro/st_pipeline,12b3f281f4997ceb96a445125a310945825bcf40
jadolg/rocketchat_API,da423a1d2883c3b574a40a955c8388ae3d1daa58
platformio/platform-atmelsam,3abc420ac84e0b7d7ad2447a6990149adee2e97f
vanheeringen-lab/seq2science,d5ab8432c9578aff7c2a4af3f44fb2b07df6bf9a
alphagov/notifications-utils,f20275e27f54b10e9a7759c93f3a215840c01c14
actris-cloudnet/cloudnetpy,458623df6af9bd84451f291b2dff256120d2c265
ccnmtl/django-pagetree,2e4d84becdfcfafa5f6ab33ffcd302a1020f3c7f
huggingface/accelerate,889b64deb68103666f6fd5e9d9c556cffdbfc62c
django-hijack/django-hijack,e8cdc574e5c266cd00c5a614ef75078a75e7260a
hashsploit/clank,c0a06a27773e907e0e26c665c9803c463df82538
x-stream/xstream,482ccac3f5f6efcd330784d49897ca9f7e4512ae
CyclopsMC/EvilCraft,58801474f31809d3858384bca2810cb213715631
open-telemetry/opentelemetry-python-contrib,f279d396231ceb9e08429443234db6e9d4d6d437
platformio/platform-atmelsam,a70025717f47f960915be1735b30fc4878018ebb
airmessage/airmessage-android,eaf9b46a952a323f45f58ab7a288b5593b846c1f
agonyforge/arbitrader,094fe1986b9abcf5d139aa67f68fb561c41739e9
storaged-project/blivet-gui,23e8bd1d76b584292c73a022c5b4d01442c7643f
SMAT-Lab/Scalpel,9ad6ed1a1a237ee23b89ac0cc15671d336155370
tidalf/plugin.audio.qobuz,314c6c12999c4651257a924c5c95833d39454792
akvo/akvo-caddisfly,5119cba011b7d18be72260244c986131cd4e183d
Oneflow-Inc/OneFlow-Benchmark,ac3bbf001ecba9794972ca5d9615e10bacfea320
tidalf/plugin.audio.qobuz,b883998a2275c6153c94a927d2059ea660c9e2de
finos/common-domain-model,d1480dd5dd8a2eda80ed7bbbaed5e423f43d341d
Hack23/sonar-cloudformation-plugin,3dbb5aba9ce510e49e452830790dbbf1b6861ebe
apache/maven-release,a354a6d027d3d726b6b69d8d2e01ed696005d445
napalm-automation/napalm-logs,46c038678ae20480f7901206e2b9168d2adc3944
allenporter/python-google-nest-sdm,444e324bf02b1662a31c173ebe01adc58bf8eb57
nottinghamtec/PyRIGS,f8a98ed4ef5d9665f9878e68b53c8f4bd0b57cf1
alphagov/notifications-utils,0f7dbf7ed3ffb9c9c28aa720837f665826f02936
MetOffice/forest,2b628d0a30c52aea5a41c63eebe54bd74ba531f8
jakartaee/cdi-tck,e1925109757ae0fd1d8c45c477b34e75e0b135ce
ReactionMechanismGenerator/AutoTST,ff5396b6c10c332803a476e6acc951575b4d28e7
propublica/Capitol-Words,57eaca018d01ec6fa63a773f47d573f780245dae
x-stream/xstream,269e577f26548f55aa437245d760ffc0b5ce0940
NVISOsecurity/ee-outliers,4369b055343d421c8a281dc899d89f3967f0c55a
Hack23/sonar-cloudformation-plugin,d97724bfbb3e138d3bbafecf88af22c2f07389d1
confluentinc/kafka-connect-elasticsearch,433768601159da57a2436db5a7cd5892b79c688f
Kuifje02/vrpy,cf73b428ffb14c4688044770bc8fc3c10c34255e
goldsborough/cytogan,c98b4f420bba0017b8fe11d783af45ce94abd560
abw333/dominoes,1902cd47c3174df2247cb3e06011a45e91944333
propublica/Capitol-Words,ff57d2b1895907028cbdec2768ccf229a48fbe4b
Hack23/sonar-cloudformation-plugin,291cb746bf16e260ba676c8a24b99e9e40a8ed07
MetOffice/forest,2b34a4045e4869cb184c039fa7961e43c6bbf1fe
hentai-chan/hentai,624ed62778efdb5ff2edc8b4185cae5f714f8ec8
MichaelCurrin/twitterverse,89dd48acf42646c87946b61d4c26dead3cfb4a0a
CyclopsMC/EvilCraft,f56b736da30f5201eab4b23bb334d9b4490bfe4d
mj-will/nessai,3550aa56c053bd6a3e9583f54ac5c5ac43a717c9
